date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:16,3877,3877,3877,3877,0,0.0,14,14.0,0,0.0,1,2,2018-06-27 11:16:00
20180627 11:19,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,4,2018-06-27 11:19:00
20180627 11:20,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,2,2018-06-27 11:20:00
20180627 11:21,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 11:21:00
20180627 11:23,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,3,2018-06-27 11:23:00
20180627 11:26,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-27 11:26:00
20180627 11:28,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-27 11:28:00
20180627 11:29,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,12,4,2018-06-27 11:29:00
20180627 13:30,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,11,3,2018-06-27 13:30:00
20180627 13:31,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,4,2018-06-27 13:31:00
20180627 13:35,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,2,2018-06-27 13:35:00
20180627 13:37,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,17,25,2018-06-27 13:37:00
20180627 13:38,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,2,2018-06-27 13:38:00
20180627 13:40,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,15,12,2018-06-27 13:40:00
20180627 13:41,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,7,2018-06-27 13:41:00
20180627 13:46,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,4,2018-06-27 13:46:00
20180627 13:49,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,2,2018-06-27 13:49:00
20180627 13:51,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 13:51:00
20180627 13:54,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,15,9,2018-06-27 13:54:00
20180627 13:55,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 13:55:00
20180627 14:06,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,7,2018-06-27 14:06:00
20180627 14:13,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,7,2018-06-27 14:13:00
20180627 14:17,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-27 14:17:00
20180627 14:19,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 14:19:00
20180627 14:20,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,4,6,2018-06-27 14:20:00
20180627 14:21,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 14:21:00
20180627 14:28,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,4,2018-06-27 14:28:00
20180627 14:32,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,5,2018-06-27 14:32:00
20180627 14:33,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,3,12,2018-06-27 14:33:00
20180627 14:34,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 14:34:00
20180627 14:37,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,2,2018-06-27 14:37:00
20180627 14:38,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,4,2018-06-27 14:38:00
20180627 14:41,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,3,14,2018-06-27 14:41:00
20180627 14:45,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,2,2018-06-27 14:45:00
20180627 14:46,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,7,2018-06-27 14:46:00
20180627 14:47,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 14:47:00
20180627 14:48,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,5,2018-06-27 14:48:00
20180627 14:49,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 14:49:00
20180627 14:57,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-27 14:57:00
20180627 14:59,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,11,3,2018-06-27 14:59:00
20180627 15:00,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-27 15:00:00
20180628 09:00,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,68,44,2018-06-28 09:00:00
20180628 09:01,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,6,2018-06-28 09:01:00
20180628 09:02,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,5,2018-06-28 09:02:00
20180628 09:03,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 09:03:00
20180628 09:04,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,7,6,2018-06-28 09:04:00
20180628 09:08,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,6,2018-06-28 09:08:00
20180628 09:13,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,2,2018-06-28 09:13:00
20180628 09:14,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,2,2018-06-28 09:14:00
20180628 09:16,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,11,3,2018-06-28 09:16:00
20180628 09:17,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,2,2018-06-28 09:17:00
20180628 09:18,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 09:18:00
20180628 09:21,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 09:21:00
20180628 09:24,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,2,2018-06-28 09:24:00
20180628 09:33,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,15,74,2018-06-28 09:33:00
20180628 09:34,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 09:34:00
20180628 09:37,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-28 09:37:00
20180628 09:38,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 09:38:00
20180628 09:44,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 09:44:00
20180628 09:45,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,2,2018-06-28 09:45:00
20180628 09:54,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 09:54:00
20180628 10:00,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-28 10:00:00
20180628 10:09,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-28 10:09:00
20180628 10:10,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 10:10:00
20180628 10:14,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-28 10:14:00
20180628 10:37,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-28 10:37:00
20180628 10:38,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,5,2018-06-28 10:38:00
20180628 10:39,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-28 10:39:00
20180628 10:40,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,12,4,2018-06-28 10:40:00
20180628 10:44,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 10:44:00
20180628 10:52,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 10:52:00
20180628 10:54,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 10:54:00
20180628 10:58,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-28 10:58:00
20180628 11:12,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,58,12,2018-06-28 11:12:00
20180628 11:17,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-28 11:17:00
20180628 11:20,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-28 11:20:00
20180628 11:23,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 11:23:00
20180628 11:25,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 11:25:00
20180628 11:27,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 11:27:00
20180628 11:29,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,20,7,2018-06-28 11:29:00
20180628 13:30,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,11,3,2018-06-28 13:30:00
20180628 13:31,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-28 13:31:00
20180628 13:32,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 13:32:00
20180628 13:33,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,5,1,2018-06-28 13:33:00
20180628 13:34,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 13:34:00
20180628 13:39,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,6,2018-06-28 13:39:00
20180628 13:43,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-28 13:43:00
20180628 13:47,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,5,2018-06-28 13:47:00
20180628 13:49,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-28 13:49:00
20180628 13:51,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,5,2018-06-28 13:51:00
20180628 13:52,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,4,2018-06-28 13:52:00
20180628 13:53,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-28 13:53:00
20180628 13:55,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,3,2018-06-28 13:55:00
20180628 13:57,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 13:57:00
20180628 13:59,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,2,2018-06-28 13:59:00
20180628 14:01,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,3,3,2018-06-28 14:01:00
20180628 14:03,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 14:03:00
20180628 14:06,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 14:06:00
20180628 14:07,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 14:07:00
20180628 14:09,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,48,11,2018-06-28 14:09:00
20180628 14:10,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,2,2018-06-28 14:10:00
20180628 14:15,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-28 14:15:00
20180628 14:16,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 14:16:00
20180628 14:19,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-28 14:19:00
20180628 14:20,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 14:20:00
20180628 14:27,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 14:27:00
20180628 14:28,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,2,2,2018-06-28 14:28:00
20180628 14:29,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,1,1,2018-06-28 14:29:00
20180628 14:30,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,6,2,2018-06-28 14:30:00
20180628 14:31,3877,3877,3877,3877,0,0.0,14,0.0,0,0.0,13,58,2018-06-28 14:31:00
