date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:19,3802,3802,3802,3802,0,0.0,132,132.0,0.0,0.0,1,2,2018-06-27 11:19:00
20180627 11:20,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,3,4,2018-06-27 11:20:00
20180627 11:21,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,3,3,2018-06-27 11:21:00
20180627 11:22,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,28,85,2018-06-27 11:22:00
20180627 11:23,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,49,52,2018-06-27 11:23:00
20180627 11:24,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,2,2,2018-06-27 11:24:00
20180627 11:25,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,16,59,2018-06-27 11:25:00
20180627 11:26,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,64,39,2018-06-27 11:26:00
20180627 11:27,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,6,12,2018-06-27 11:27:00
20180627 11:29,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,152,196,2018-06-27 11:29:00
20180627 11:30,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,1,1,2018-06-27 11:30:00
20180627 13:30,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,105,151,2018-06-27 13:30:00
20180627 13:31,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,36,101,2018-06-27 13:31:00
20180627 13:32,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,5,6,2018-06-27 13:32:00
20180627 13:33,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,62,27,2018-06-27 13:33:00
20180627 13:34,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,29,75,2018-06-27 13:34:00
20180627 13:35,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,66,48,2018-06-27 13:35:00
20180627 13:36,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,4,8,2018-06-27 13:36:00
20180627 13:39,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,70,56,2018-06-27 13:39:00
20180627 13:40,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,71,54,2018-06-27 13:40:00
20180627 13:41,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,4,7,2018-06-27 13:41:00
20180627 13:42,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,50,78,2018-06-27 13:42:00
20180627 13:43,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,2,6,2018-06-27 13:43:00
20180627 13:45,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,44,141,2018-06-27 13:45:00
20180627 13:46,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,3,3,2018-06-27 13:46:00
20180627 13:47,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,54,48,2018-06-27 13:47:00
20180627 13:48,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,5,15,2018-06-27 13:48:00
20180627 13:49,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,2,6,2018-06-27 13:49:00
20180627 13:50,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,1,2,2018-06-27 13:50:00
20180627 13:51,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,54,50,2018-06-27 13:51:00
20180627 13:52,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,2,4,2018-06-27 13:52:00
20180627 13:53,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,9,16,2018-06-27 13:53:00
20180627 13:55,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,7,6,2018-06-27 13:55:00
20180627 13:56,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,4,4,2018-06-27 13:56:00
20180627 13:57,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,2,3,2018-06-27 13:57:00
20180627 13:58,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,9,8,2018-06-27 13:58:00
20180627 13:59,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,5,6,2018-06-27 13:59:00
20180627 14:01,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,13,12,2018-06-27 14:01:00
20180627 14:02,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,4,4,2018-06-27 14:02:00
20180627 14:03,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,24,79,2018-06-27 14:03:00
20180627 14:04,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,67,90,2018-06-27 14:04:00
20180627 14:06,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,61,57,2018-06-27 14:06:00
20180627 14:07,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,22,51,2018-06-27 14:07:00
20180627 14:09,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,57,69,2018-06-27 14:09:00
20180627 14:10,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,6,18,2018-06-27 14:10:00
20180627 14:12,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,56,84,2018-06-27 14:12:00
20180627 14:13,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,5,15,2018-06-27 14:13:00
20180627 14:15,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,61,81,2018-06-27 14:15:00
20180627 14:16,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,7,21,2018-06-27 14:16:00
20180627 14:18,3802,3802,3802,3802,0,0.0,132,0.0,0.0,0.0,100,30,2018-06-27 14:18:00
