date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:18,275.15,275.15,275.15,275.15,0,0.0,146,146.0,0.0,0.0,3,2,2018-06-27 11:18:00
20180627 11:21,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 11:21:00
20180627 11:24,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 11:24:00
20180627 11:26,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,77,38,2018-06-27 11:26:00
20180627 11:27,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,4,4,2018-06-27 11:27:00
20180627 11:29,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,37,45,2018-06-27 11:29:00
20180627 11:30,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,1,1,2018-06-27 11:30:00
20180627 13:30,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,177,171,2018-06-27 13:30:00
20180627 13:33,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,13,18,2018-06-27 13:33:00
20180627 13:34,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,7,12,2018-06-27 13:34:00
20180627 13:36,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,3,2018-06-27 13:36:00
20180627 13:37,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,6,3,2018-06-27 13:37:00
20180627 13:40,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,18,6,2018-06-27 13:40:00
20180627 13:41,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,12,6,2018-06-27 13:41:00
20180627 13:42,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,3,2018-06-27 13:42:00
20180627 13:44,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,6,3,2018-06-27 13:44:00
20180627 13:47,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 13:47:00
20180627 13:50,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 13:50:00
20180627 13:53,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,6,3,2018-06-27 13:53:00
20180627 13:56,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,1,2018-06-27 13:56:00
20180627 13:59,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,12,5,2018-06-27 13:59:00
20180627 14:02,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:02:00
20180627 14:05,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:05:00
20180627 14:08,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:08:00
20180627 14:11,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:11:00
20180627 14:14,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:14:00
20180627 14:17,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:17:00
20180627 14:20,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,1,2018-06-27 14:20:00
20180627 14:22,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,6,4,2018-06-27 14:22:00
20180627 14:23,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,3,2018-06-27 14:23:00
20180627 14:25,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,21,7,2018-06-27 14:25:00
20180627 14:28,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,1,2018-06-27 14:28:00
20180627 14:29,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,6,4,2018-06-27 14:29:00
20180627 14:32,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,3,2018-06-27 14:32:00
20180627 14:35,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:35:00
20180627 14:38,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:38:00
20180627 14:41,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,27,12,2018-06-27 14:41:00
20180627 14:45,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,3,2018-06-27 14:45:00
20180627 14:48,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:48:00
20180627 14:51,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:51:00
20180627 14:54,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 14:54:00
20180627 14:56,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,9,8,2018-06-27 14:56:00
20180627 14:57,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,1,2,2018-06-27 14:57:00
20180627 14:58,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,35,42,2018-06-27 14:58:00
20180627 14:59,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,29,36,2018-06-27 14:59:00
20180627 15:00,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,1,1,2018-06-27 15:00:00
20180627 15:19,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,1,1,2018-06-27 15:19:00
20180627 20:59,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,0,1,2018-06-27 20:59:00
20180627 21:00,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,69,79,2018-06-27 21:00:00
20180627 21:01,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,11,22,2018-06-27 21:01:00
20180627 21:02,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,33,30,2018-06-27 21:02:00
20180627 21:03,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,85,59,2018-06-27 21:03:00
20180627 21:04,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,2,2018-06-27 21:04:00
20180627 21:05,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,9,4,2018-06-27 21:05:00
20180627 21:06,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,8,3,2018-06-27 21:06:00
20180627 21:07,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,4,2,2018-06-27 21:07:00
20180627 21:08,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,9,3,2018-06-27 21:08:00
20180627 21:09,275.15,275.15,275.15,275.15,0,0.0,146,0.0,0.0,0.0,3,1,2018-06-27 21:09:00
20180627 21:10,275.15,275.6,275.15,275.6,2,2.0,146,0.0,551200.0,551200.0,40,26,2018-06-27 21:10:00
20180627 21:11,275.6,275.6,275.6,275.6,2,0.0,146,0.0,551200.0,0.0,30,11,2018-06-27 21:11:00
20180627 21:12,275.6,275.6,275.6,275.6,2,0.0,146,0.0,551200.0,0.0,4,1,2018-06-27 21:12:00
