date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180816 14:34,3541,3541,3541,3541,0,0.0,0,0.0,0,0.0,0,2,2018-08-16 14:34:00
20180816 14:47,3541,3541,3541,3541,0,0.0,0,0.0,0,0.0,3,4,2018-08-16 14:47:00
20180816 14:59,3541,3541,3541,3541,0,0.0,0,0.0,0,0.0,0,0,2018-08-16 14:59:00
20180816 15:00,3541,3541,3541,3541,0,0.0,0,0.0,0,0.0,0,0,2018-08-16 15:00:00
20180816 18:33,3541,3541,3541,3541,0,0.0,0,0.0,0,0.0,0,0,2018-08-16 18:33:00
20180817 15:00,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,0,2018-08-17 15:00:00
20180817 21:24,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,1,2018-08-17 21:24:00
20180817 21:29,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,2,2018-08-17 21:29:00
20180817 21:32,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,1,2018-08-17 21:32:00
20180817 21:33,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,1,2018-08-17 21:33:00
20180817 21:46,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,2,2018-08-17 21:46:00
20180817 21:55,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,1,2018-08-17 21:55:00
20180817 21:57,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,1,2018-08-17 21:57:00
20180817 22:01,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,1,2018-08-17 22:01:00
20180817 22:37,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,1,2018-08-17 22:37:00
20180817 23:25,3471,3471,3471,3471,0,0.0,0,0.0,0,0.0,0,0,2018-08-17 23:25:00
20180820 15:00,3468,3468,3468,3468,0,0.0,0,0.0,0,0.0,0,0,2018-08-20 15:00:00
20180820 19:00,3468,3468,3468,3468,0,0.0,0,0.0,0,0.0,0,0,2018-08-20 19:00:00
20180821 15:00,3452,3452,3452,3452,0,0.0,0,0.0,0,0.0,0,0,2018-08-21 15:00:00
