date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:19,3094,3094,3094,3094,0,0.0,2,2.0,0.0,0.0,1,1,2018-06-27 11:19:00
20180627 11:20,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 11:20:00
20180627 11:22,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 11:22:00
20180627 11:23,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 11:23:00
20180627 11:25,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,31,14,2018-06-27 11:25:00
20180627 11:26,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,2,2,2018-06-27 11:26:00
20180627 11:28,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 11:28:00
20180627 11:29,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,3,3,2018-06-27 11:29:00
20180627 11:30,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 11:30:00
20180627 13:30,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,91,22,2018-06-27 13:30:00
20180627 13:31,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,22,43,2018-06-27 13:31:00
20180627 13:34,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,17,40,2018-06-27 13:34:00
20180627 13:35,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,3,3,2018-06-27 13:35:00
20180627 13:37,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:37:00
20180627 13:38,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:38:00
20180627 13:40,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,33,16,2018-06-27 13:40:00
20180627 13:41,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,17,40,2018-06-27 13:41:00
20180627 13:42,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,3,3,2018-06-27 13:42:00
20180627 13:44,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:44:00
20180627 13:45,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:45:00
20180627 13:47,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:47:00
20180627 13:48,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,33,16,2018-06-27 13:48:00
20180627 13:50,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:50:00
20180627 13:51,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:51:00
20180627 13:53,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,1,1,2018-06-27 13:53:00
20180627 13:54,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,41,53,2018-06-27 13:54:00
20180627 13:55,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,6,6,2018-06-27 13:55:00
20180627 13:58,3094,3094,3094,3094,0,0.0,2,0.0,0.0,0.0,2,2,2018-06-27 13:58:00
