date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20181114 20:59,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,1,1,2018-11-14 20:59:00
20181114 21:00,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,5,5,2018-11-14 21:00:00
20181114 21:10,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-14 21:10:00
20181114 21:20,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-14 21:20:00
20181114 21:30,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-14 21:30:00
20181114 21:32,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,2,1,2018-11-14 21:32:00
20181114 21:40,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,2,2018-11-14 21:40:00
20181114 21:50,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,2,2018-11-14 21:50:00
20181114 22:00,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,2,2018-11-14 22:00:00
20181114 22:04,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,6,5,2018-11-14 22:04:00
20181114 22:05,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,2,2,2018-11-14 22:05:00
20181114 22:14,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,4,3,2018-11-14 22:14:00
20181114 22:24,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,4,3,2018-11-14 22:24:00
20181114 22:30,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,4,2018-11-14 22:30:00
20181114 22:31,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,8,7,2018-11-14 22:31:00
20181114 22:32,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,18,15,2018-11-14 22:32:00
20181114 22:33,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,5,5,2018-11-14 22:33:00
20181114 22:42,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,1,1,2018-11-14 22:42:00
20181114 22:43,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,4,8,2018-11-14 22:43:00
20181114 22:52,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,2,3,2018-11-14 22:52:00
20181114 22:53,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,8,14,2018-11-14 22:53:00
20181114 22:54,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,1,2,2018-11-14 22:54:00
20181114 23:04,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,2,3,2018-11-14 23:04:00
20181114 23:11,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,4,2018-11-14 23:11:00
20181114 23:14,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,2,3,2018-11-14 23:14:00
20181114 23:24,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,5,7,2018-11-14 23:24:00
20181114 23:29,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,4,1,2018-11-14 23:29:00
20181115 09:00,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,6,8,2018-11-15 09:00:00
20181115 09:10,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,4,3,2018-11-15 09:10:00
20181115 09:20,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,9,9,2018-11-15 09:20:00
20181115 09:30,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,7,7,2018-11-15 09:30:00
20181115 09:40,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,13,12,2018-11-15 09:40:00
20181115 09:50,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,7,7,2018-11-15 09:50:00
20181115 10:00,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,7,7,2018-11-15 10:00:00
20181115 10:10,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,4,2018-11-15 10:10:00
20181115 10:11,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,4,3,2018-11-15 10:11:00
20181115 10:14,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-15 10:14:00
20181115 10:30,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,10,9,2018-11-15 10:30:00
20181115 10:40,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,5,5,2018-11-15 10:40:00
20181115 10:50,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,7,7,2018-11-15 10:50:00
20181115 11:00,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,5,5,2018-11-15 11:00:00
20181115 11:10,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,7,7,2018-11-15 11:10:00
20181115 11:20,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,7,7,2018-11-15 11:20:00
20181115 11:29,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 11:29:00
20181115 13:30,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,5,5,2018-11-15 13:30:00
20181115 13:40,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-15 13:40:00
20181115 13:50,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-15 13:50:00
20181115 14:00,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-15 14:00:00
20181115 14:10,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-15 14:10:00
20181115 14:20,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,3,3,2018-11-15 14:20:00
20181115 14:30,15990,15990,15990,15990,0,0.0,0,0.0,0,0.0,2,2,2018-11-15 14:30:00
