date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:15,2189,2189,2189,2189,0,0.0,4,4.0,0,0.0,2,4,2018-06-27 11:15:00
20180627 11:20,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,1,4,2018-06-27 11:20:00
20180627 11:26,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,6,16,2018-06-27 11:26:00
20180627 11:27,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,4,12,2018-06-27 11:27:00
20180627 11:29,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,7,10,2018-06-27 11:29:00
20180627 13:30,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,50,150,2018-06-27 13:30:00
20180627 13:31,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,8,16,2018-06-27 13:31:00
20180627 13:55,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,6,20,2018-06-27 13:55:00
20180627 14:05,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,3,12,2018-06-27 14:05:00
20180627 14:15,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,3,12,2018-06-27 14:15:00
20180627 14:25,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,3,12,2018-06-27 14:25:00
20180627 14:35,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,3,12,2018-06-27 14:35:00
20180627 14:38,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,4,6,2018-06-27 14:38:00
20180627 14:45,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,1,4,2018-06-27 14:45:00
20180627 14:46,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-27 14:46:00
20180627 14:56,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,3,12,2018-06-27 14:56:00
20180627 14:57,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,4,6,2018-06-27 14:57:00
20180627 14:59,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-27 14:59:00
20180627 15:00,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,0,2,2018-06-27 15:00:00
20180628 08:58,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,1,0,2018-06-28 08:58:00
20180628 09:00,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,3,8,2018-06-28 09:00:00
20180628 09:03,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,23,70,2018-06-28 09:03:00
20180628 09:07,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,4,12,2018-06-28 09:07:00
20180628 09:12,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,3,6,2018-06-28 09:12:00
20180628 09:14,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:14:00
20180628 09:16,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:16:00
20180628 09:18,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,29,55,2018-06-28 09:18:00
20180628 09:20,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:20:00
20180628 09:22,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,1,2,2018-06-28 09:22:00
20180628 09:23,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,1,2,2018-06-28 09:23:00
20180628 09:25,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:25:00
20180628 09:27,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:27:00
20180628 09:29,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,5,8,2018-06-28 09:29:00
20180628 09:30,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:30:00
20180628 09:32,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:32:00
20180628 09:34,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:34:00
20180628 09:36,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:36:00
20180628 09:38,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:38:00
20180628 09:40,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,4,6,2018-06-28 09:40:00
20180628 09:42,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:42:00
20180628 09:44,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:44:00
20180628 09:46,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:46:00
20180628 09:48,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:48:00
20180628 09:50,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,6,8,2018-06-28 09:50:00
20180628 09:52,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:52:00
20180628 09:54,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:54:00
20180628 09:56,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:56:00
20180628 09:58,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 09:58:00
20180628 10:00,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 10:00:00
20180628 10:02,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 10:02:00
20180628 10:04,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,5,8,2018-06-28 10:04:00
20180628 10:06,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 10:06:00
20180628 10:08,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 10:08:00
20180628 10:10,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 10:10:00
20180628 10:12,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,1,2,2018-06-28 10:12:00
20180628 10:13,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,1,2,2018-06-28 10:13:00
20180628 10:30,2189,2189,2189,2189,0,0.0,4,0.0,0,0.0,2,4,2018-06-28 10:30:00
