date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 15:00,92.25,92.25,92.25,92.25,0,0.0,6,6.0,0.0,0.0,0,0,2018-06-27 15:00:00
20180627 18:35,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-06-27 18:35:00
20180628 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-06-28 15:00:00
20180628 18:36,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-06-28 18:36:00
20180629 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-06-29 15:00:00
20180629 18:32,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-06-29 18:32:00
20180702 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-02 15:00:00
20180702 18:33,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-02 18:33:00
20180703 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-03 15:00:00
20180703 18:34,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-03 18:34:00
20180704 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-04 15:00:00
20180704 18:34,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-04 18:34:00
20180705 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-05 15:00:00
20180705 18:34,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-05 18:34:00
20180706 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-06 15:00:00
20180706 18:35,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-06 18:35:00
20180709 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-09 15:00:00
20180710 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-10 15:00:00
20180710 18:34,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-10 18:34:00
20180711 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-11 15:00:00
20180711 18:34,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-11 18:34:00
20180712 15:00,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-12 15:00:00
20180712 18:35,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,0,2018-07-12 18:35:00
20180713 13:46,92.25,92.25,92.25,92.25,0,0.0,6,0.0,0.0,0.0,0,1,2018-07-13 13:46:00
20180713 13:50,88.0,88.0,88.0,88.0,2,2.0,6,0.0,88000.0,88000.0,9,14,2018-07-13 13:50:00
20180713 13:51,88.0,88.0,88.0,88.0,2,0.0,6,0.0,88000.0,0.0,17,17,2018-07-13 13:51:00
20180713 13:52,88.0,88.0,88.0,88.0,2,0.0,6,0.0,88000.0,0.0,14,14,2018-07-13 13:52:00
20180713 13:53,88.0,88.0,88.0,88.0,2,0.0,6,0.0,88000.0,0.0,2,2,2018-07-13 13:53:00
20180713 13:55,88.0,88.0,88.0,88.0,2,0.0,6,0.0,88000.0,0.0,4,4,2018-07-13 13:55:00
20180713 14:13,88.0,88.0,88.0,88.0,2,0.0,6,0.0,88000.0,0.0,2,2,2018-07-13 14:13:00
20180713 14:29,88.0,88.0,88.0,88.0,2,0.0,6,0.0,88000.0,0.0,0,1,2018-07-13 14:29:00
