date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:18,1415,1415,1415,1415,0,0.0,22,22.0,0,0.0,7,1,2018-06-27 11:18:00
20180627 11:21,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,5,1,2018-06-27 11:21:00
20180627 11:22,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 11:22:00
20180627 11:27,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 11:27:00
20180627 11:28,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,6,2,2018-06-27 11:28:00
20180627 11:29,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,5,1,2018-06-27 11:29:00
20180627 13:30,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,19,4,2018-06-27 13:30:00
20180627 13:32,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 13:32:00
20180627 13:33,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,21,5,2018-06-27 13:33:00
20180627 13:35,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,41,8,2018-06-27 13:35:00
20180627 13:36,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,15,4,2018-06-27 13:36:00
20180627 13:37,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,13,4,2018-06-27 13:37:00
20180627 13:39,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,4,1,2018-06-27 13:39:00
20180627 13:40,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,1,1,2018-06-27 13:40:00
20180627 13:41,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,2,2018-06-27 13:41:00
20180627 13:43,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,4,1,2018-06-27 13:43:00
20180627 13:45,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,4,1,2018-06-27 13:45:00
20180627 13:46,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,4,1,2018-06-27 13:46:00
20180627 13:50,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,43,11,2018-06-27 13:50:00
20180627 13:51,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,10,2,2018-06-27 13:51:00
20180627 13:52,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,24,4,2018-06-27 13:52:00
20180627 13:58,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,15,3,2018-06-27 13:58:00
20180627 13:59,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,20,5,2018-06-27 13:59:00
20180627 14:00,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,2,1,2018-06-27 14:00:00
20180627 14:01,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 14:01:00
20180627 14:02,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,2,1,2018-06-27 14:02:00
20180627 14:03,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,35,6,2018-06-27 14:03:00
20180627 14:05,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,12,2,2018-06-27 14:05:00
20180627 14:06,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,13,4,2018-06-27 14:06:00
20180627 14:07,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,16,4,2018-06-27 14:07:00
20180627 14:08,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,9,2,2018-06-27 14:08:00
20180627 14:11,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,2,1,2018-06-27 14:11:00
20180627 14:12,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 14:12:00
20180627 14:13,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,5,1,2018-06-27 14:13:00
20180627 14:14,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,8,2,2018-06-27 14:14:00
20180627 14:15,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,2,1,2018-06-27 14:15:00
20180627 14:16,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 14:16:00
20180627 14:19,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,9,2,2018-06-27 14:19:00
20180627 14:25,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,14,4,2018-06-27 14:25:00
20180627 14:26,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,9,3,2018-06-27 14:26:00
20180627 14:27,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,5,2,2018-06-27 14:27:00
20180627 14:30,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,43,15,2018-06-27 14:30:00
20180627 14:31,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,8,1,2018-06-27 14:31:00
20180627 14:33,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,13,4,2018-06-27 14:33:00
20180627 14:34,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 14:34:00
20180627 14:36,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,14,3,2018-06-27 14:36:00
20180627 14:40,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,23,5,2018-06-27 14:40:00
20180627 14:41,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,12,4,2018-06-27 14:41:00
20180627 14:42,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,19,4,2018-06-27 14:42:00
20180627 14:45,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,2,1,2018-06-27 14:45:00
20180627 14:46,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 14:46:00
20180627 14:49,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,2,1,2018-06-27 14:49:00
20180627 14:50,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 14:50:00
20180627 14:53,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,12,3,2018-06-27 14:53:00
20180627 14:54,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,8,2,2018-06-27 14:54:00
20180627 14:55,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,17,4,2018-06-27 14:55:00
20180627 14:57,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,8,2,2018-06-27 14:57:00
20180627 14:58,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,7,1,2018-06-27 14:58:00
20180627 14:59,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,10,2,2018-06-27 14:59:00
20180627 15:00,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,5,1,2018-06-27 15:00:00
20180627 21:00,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,106,56,2018-06-27 21:00:00
20180627 21:01,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,56,16,2018-06-27 21:01:00
20180627 21:02,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,52,13,2018-06-27 21:02:00
20180627 21:03,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,52,22,2018-06-27 21:03:00
20180627 21:04,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,16,4,2018-06-27 21:04:00
20180627 21:05,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,63,15,2018-06-27 21:05:00
20180627 21:06,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,27,9,2018-06-27 21:06:00
20180627 21:09,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,11,3,2018-06-27 21:09:00
20180627 21:10,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,18,4,2018-06-27 21:10:00
20180627 21:11,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,44,11,2018-06-27 21:11:00
20180627 21:13,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,25,7,2018-06-27 21:13:00
20180627 21:15,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,35,13,2018-06-27 21:15:00
20180627 21:16,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,51,16,2018-06-27 21:16:00
20180627 21:17,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,16,5,2018-06-27 21:17:00
20180627 21:19,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,8,2,2018-06-27 21:19:00
20180627 21:20,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,25,8,2018-06-27 21:20:00
20180627 21:21,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,2,1,2018-06-27 21:21:00
20180627 21:22,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,22,7,2018-06-27 21:22:00
20180627 21:23,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,15,4,2018-06-27 21:23:00
20180627 21:24,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,21,6,2018-06-27 21:24:00
20180627 21:25,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,12,4,2018-06-27 21:25:00
20180627 21:26,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,9,2,2018-06-27 21:26:00
20180627 21:29,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,5,1,2018-06-27 21:29:00
20180627 21:34,1415,1415,1415,1415,0,0.0,22,0.0,0,0.0,41,10,2018-06-27 21:34:00
