date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:18,4032,4032,4032,4032,10,10.0,72,72.0,401240.0,401240.0,5,3,2018-06-27 11:18:00
20180627 11:19,4033,4049,4033,4049,24,14.0,86,14.0,966380.0,565140.0,21,32,2018-06-27 11:19:00
20180627 11:21,4049,4049,4049,4049,24,0.0,86,0.0,966380.0,0.0,4,16,2018-06-27 11:21:00
20180627 11:22,4049,4049,4048,4048,26,2.0,88,2.0,1047340.0,80960.0,11,36,2018-06-27 11:22:00
20180627 11:23,4048,4048,4048,4048,26,0.0,88,0.0,1047340.0,0.0,10,20,2018-06-27 11:23:00
20180627 11:24,4048,4048,4048,4048,26,0.0,88,0.0,1047340.0,0.0,2,3,2018-06-27 11:24:00
20180627 11:25,4048,4048,4048,4048,26,0.0,88,0.0,1047340.0,0.0,16,34,2018-06-27 11:25:00
20180627 11:26,4048,4048,4048,4048,26,0.0,88,0.0,1047340.0,0.0,1,3,2018-06-27 11:26:00
20180627 11:29,4048,4048,4048,4048,26,0.0,88,0.0,1047340.0,0.0,7,31,2018-06-27 11:29:00
20180627 11:30,4048,4048,4048,4048,26,0.0,88,0.0,1047340.0,0.0,1,5,2018-06-27 11:30:00
20180627 13:30,4048,4048,4048,4048,26,0.0,88,0.0,1047340.0,0.0,12,27,2018-06-27 13:30:00
20180627 13:31,4048,4048,4028,4028,30,4.0,92,4.0,1208460.0,161120.0,8,15,2018-06-27 13:31:00
20180627 13:32,4028,4028,4028,4028,30,0.0,92,0.0,1208460.0,0.0,8,13,2018-06-27 13:32:00
20180627 13:35,4033,4033,4033,4033,32,2.0,94,2.0,1289120.0,80660.0,4,4,2018-06-27 13:35:00
20180627 13:36,4033,4033,4033,4033,32,0.0,94,0.0,1289120.0,0.0,7,25,2018-06-27 13:36:00
20180627 13:37,4033,4033,4033,4033,32,0.0,94,0.0,1289120.0,0.0,12,18,2018-06-27 13:37:00
20180627 13:39,4033,4033,4033,4033,34,2.0,96,2.0,1369780.0,80660.0,4,2,2018-06-27 13:39:00
20180627 13:40,4033,4033,4033,4033,34,0.0,96,0.0,1369780.0,0.0,12,24,2018-06-27 13:40:00
20180627 13:41,4029,4029,4029,4029,36,2.0,98,2.0,1450360.0,80580.0,4,7,2018-06-27 13:41:00
20180627 13:42,4029,4029,4029,4029,36,0.0,98,0.0,1450360.0,0.0,8,13,2018-06-27 13:42:00
20180627 13:47,4029,4029,4029,4029,36,0.0,98,0.0,1450360.0,0.0,3,5,2018-06-27 13:47:00
20180627 13:48,4029,4029,4029,4029,36,0.0,98,0.0,1450360.0,0.0,1,2,2018-06-27 13:48:00
20180627 13:49,4029,4029,4029,4029,36,0.0,98,0.0,1450360.0,0.0,2,7,2018-06-27 13:49:00
20180627 13:51,4029,4029,4029,4029,36,0.0,98,0.0,1450360.0,0.0,1,5,2018-06-27 13:51:00
20180627 13:56,4029,4029,4029,4029,36,0.0,98,0.0,1450360.0,0.0,4,10,2018-06-27 13:56:00
