date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20181119 09:29,3260.2,3260.2,3260.2,3260.2,1,1.0,1,1.0,978060.0,978060.0,2,1,2018-11-19 09:29:00
20181119 09:30,3260.2,3269.2,3260.2,3265.2,4,3.0,4,3.0,3917880.0,2939820.0,104,87,2018-11-19 09:30:00
20181119 09:31,3266.8,3270.8,3266.8,3270.8,7,3.0,7,3.0,6860160.0,2942280.0,104,95,2018-11-19 09:31:00
20181119 09:32,3269.0,3274.0,3269.0,3272.2,14,7.0,14,7.0,13731800.0,6871640.0,91,97,2018-11-19 09:32:00
20181119 09:33,3272.2,3273.6,3272.2,3273.6,17,3.0,17,3.0,16677600.0,2945800.0,88,84,2018-11-19 09:33:00
20181119 09:34,3273.6,3275.6,3273.6,3275.4,19,2.0,19,2.0,18642900.0,1965300.0,87,77,2018-11-19 09:34:00
20181119 09:35,3275.4,3275.4,3271.4,3271.4,21,2.0,21,2.0,20605800.0,1962900.0,108,90,2018-11-19 09:35:00
20181119 09:36,3271.4,3271.4,3271.4,3271.4,21,0.0,21,0.0,20605800.0,0.0,47,55,2018-11-19 09:36:00
20181119 09:37,3271.4,3271.4,3261.2,3261.2,23,2.0,23,2.0,22562800.0,1957000.0,37,35,2018-11-19 09:37:00
20181119 09:38,3261.2,3261.2,3261.2,3261.2,23,0.0,23,0.0,22562800.0,0.0,51,48,2018-11-19 09:38:00
20181119 09:39,3261.2,3262.6,3261.2,3262.6,28,5.0,28,5.0,27456700.0,4893900.0,52,53,2018-11-19 09:39:00
20181119 09:40,3261.4,3262.4,3255.0,3260.0,38,10.0,37,9.0,37237700.0,9781000.0,95,91,2018-11-19 09:40:00
20181119 09:41,3260.0,3260.0,3259.0,3259.0,39,1.0,38,1.0,38215400.0,977700.0,84,83,2018-11-19 09:41:00
20181119 09:42,3259.0,3259.0,3259.0,3259.0,39,0.0,38,0.0,38215400.0,0.0,90,96,2018-11-19 09:42:00
