date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20181115 09:00,1949.0,1949.0,1949.0,1949.0,6,6.0,4,4.0,1167000.0,1167000.0,164,79,2018-11-15 09:00:00
20181115 09:01,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,112,40,2018-11-15 09:01:00
20181115 09:02,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,6,2,2018-11-15 09:02:00
20181115 09:03,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,6,2,2018-11-15 09:03:00
20181115 09:04,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,44,29,2018-11-15 09:04:00
20181115 09:05,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,3,2,2018-11-15 09:05:00
20181115 09:08,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,1,2018-11-15 09:08:00
20181115 09:11,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,1,2018-11-15 09:11:00
20181115 09:13,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,4,2,2018-11-15 09:13:00
20181115 09:14,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,9,6,2018-11-15 09:14:00
20181115 09:17,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,1,2018-11-15 09:17:00
20181115 09:20,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,1,2018-11-15 09:20:00
20181115 09:23,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,6,3,2018-11-15 09:23:00
20181115 09:26,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,1,2018-11-15 09:26:00
20181115 09:27,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,4,2,2018-11-15 09:27:00
20181115 09:29,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,1,2018-11-15 09:29:00
20181115 09:31,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,12,6,2018-11-15 09:31:00
20181115 09:32,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,1,2018-11-15 09:32:00
20181115 09:33,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,19,17,2018-11-15 09:33:00
20181115 09:34,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,4,4,2018-11-15 09:34:00
20181115 09:36,1949.0,1949.0,1949.0,1949.0,6,0.0,4,0.0,1167000.0,0.0,2,2,2018-11-15 09:36:00
