date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180713 19:30,2660,2660,2660,2660,0,0.0,0,0.0,0,0.0,0,0,2018-07-13 19:30:00
20180716 08:59,2660,2660,2660,2660,0,0.0,0,0.0,0,0.0,0,1,2018-07-16 08:59:00
20180716 14:15,2660,2660,2660,2660,0,0.0,0,0.0,0,0.0,0,1,2018-07-16 14:15:00
20180716 14:17,2660,2660,2660,2660,0,0.0,0,0.0,0,0.0,0,1,2018-07-16 14:17:00
20180716 15:00,2660,2660,2660,2660,0,0.0,0,0.0,0,0.0,0,1,2018-07-16 15:00:00
20180717 08:59,2662,2662,2662,2662,0,0.0,0,0.0,0,0.0,0,1,2018-07-17 08:59:00
20180717 15:00,2662,2662,2662,2662,0,0.0,0,0.0,0,0.0,0,1,2018-07-17 15:00:00
20180717 19:29,2662,2669,2662,2669,0,0.0,0,0.0,0,0.0,0,0,2018-07-17 19:29:00
20180718 08:59,2669,2669,2669,2669,0,0.0,0,0.0,0,0.0,0,1,2018-07-18 08:59:00
20180718 09:40,2669,2669,2669,2669,0,0.0,0,0.0,0,0.0,0,0,2018-07-18 09:40:00
20180718 09:44,2669,2669,2669,2669,0,0.0,0,0.0,0,0.0,0,1,2018-07-18 09:44:00
20180718 13:49,2669,2669,2669,2669,0,0.0,0,0.0,0,0.0,0,1,2018-07-18 13:49:00
20180718 13:53,2669,2669,2669,2669,0,0.0,0,0.0,0,0.0,0,1,2018-07-18 13:53:00
20180718 15:00,2669,2669,2669,2669,0,0.0,0,0.0,0,0.0,0,1,2018-07-18 15:00:00
20180718 19:31,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,0,2018-07-18 19:31:00
20180719 08:59,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,1,2018-07-19 08:59:00
20180719 11:24,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,1,2018-07-19 11:24:00
20180719 11:29,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,1,2018-07-19 11:29:00
20180719 13:42,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,1,2018-07-19 13:42:00
20180719 13:52,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,1,2018-07-19 13:52:00
20180719 13:58,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,2,2018-07-19 13:58:00
20180719 14:01,2757,2757,2757,2757,0,0.0,0,0.0,0,0.0,0,1,2018-07-19 14:01:00
