date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20181022 09:00,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,157,170,2018-10-22 09:00:00
20181022 09:01,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 09:01:00
20181022 09:10,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 09:10:00
20181022 09:11,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,146,165,2018-10-22 09:11:00
20181022 09:19,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 09:19:00
20181022 09:20,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 09:20:00
20181022 09:24,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 09:24:00
20181022 09:29,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,119,135,2018-10-22 09:29:00
20181022 09:30,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,27,30,2018-10-22 09:30:00
20181022 09:31,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 09:31:00
20181022 09:34,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 09:34:00
20181022 09:37,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 09:37:00
20181022 09:41,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,101,115,2018-10-22 09:41:00
20181022 09:42,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,45,50,2018-10-22 09:42:00
20181022 09:44,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 09:44:00
20181022 09:52,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,146,165,2018-10-22 09:52:00
20181022 09:54,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 09:54:00
20181022 09:56,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,15,12,2018-10-22 09:56:00
20181022 10:02,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,65,75,2018-10-22 10:02:00
20181022 10:03,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,72,80,2018-10-22 10:03:00
20181022 10:06,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 10:06:00
20181022 10:07,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 10:07:00
20181022 10:13,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,114,130,2018-10-22 10:13:00
20181022 10:14,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,37,34,2018-10-22 10:14:00
20181022 10:30,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,139,147,2018-10-22 10:30:00
20181022 10:40,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,143,157,2018-10-22 10:40:00
20181022 10:50,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,48,52,2018-10-22 10:50:00
20181022 10:51,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,81,90,2018-10-22 10:51:00
20181022 11:00,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 11:00:00
20181022 11:01,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,110,125,2018-10-22 11:01:00
20181022 11:02,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 11:02:00
20181022 11:10,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 11:10:00
20181022 11:12,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,69,80,2018-10-22 11:12:00
20181022 11:13,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,41,45,2018-10-22 11:13:00
20181022 11:15,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 11:15:00
20181022 11:20,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 11:20:00
20181022 11:22,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 11:22:00
20181022 11:29,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,18,10,2018-10-22 11:29:00
20181022 13:30,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,147,161,2018-10-22 13:30:00
20181022 13:35,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 13:35:00
20181022 13:40,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 13:40:00
20181022 13:45,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,20,25,2018-10-22 13:45:00
20181022 13:46,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,117,130,2018-10-22 13:46:00
20181022 13:48,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 13:48:00
20181022 13:50,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 13:50:00
20181022 13:58,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,137,155,2018-10-22 13:58:00
20181022 13:59,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 13:59:00
20181022 14:00,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 14:00:00
20181022 14:09,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,142,160,2018-10-22 14:09:00
20181022 14:10,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 14:10:00
20181022 14:19,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,37,42,2018-10-22 14:19:00
20181022 14:29,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,6,4,2018-10-22 14:29:00
20181022 14:39,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,6,4,2018-10-22 14:39:00
20181022 14:49,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,13,16,2018-10-22 14:49:00
20181022 14:59,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,21,19,2018-10-22 14:59:00
20181022 15:00,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,0,0,2018-10-22 15:00:00
20181022 20:55,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,6,8,2018-10-22 20:55:00
20181022 21:00,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,137,148,2018-10-22 21:00:00
20181022 21:02,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,20,14,2018-10-22 21:02:00
20181022 21:03,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,15,14,2018-10-22 21:03:00
20181022 21:08,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,20,14,2018-10-22 21:08:00
20181022 21:10,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,47,77,2018-10-22 21:10:00
20181022 21:11,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,72,112,2018-10-22 21:11:00
20181022 21:12,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,14,2018-10-22 21:12:00
20181022 21:18,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 21:18:00
20181022 21:19,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,30,18,2018-10-22 21:19:00
20181022 21:22,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,128,145,2018-10-22 21:22:00
20181022 21:27,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,9,10,2018-10-22 21:27:00
20181022 21:29,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 21:29:00
20181022 21:31,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 21:31:00
20181022 21:32,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 21:32:00
20181022 21:37,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,119,135,2018-10-22 21:37:00
20181022 21:42,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,29,25,2018-10-22 21:42:00
20181022 21:52,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,124,139,2018-10-22 21:52:00
20181022 21:55,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,7,2018-10-22 21:55:00
20181022 22:02,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,29,42,2018-10-22 22:02:00
20181022 22:03,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,90,120,2018-10-22 22:03:00
20181022 22:05,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 22:05:00
20181022 22:13,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,119,135,2018-10-22 22:13:00
20181022 22:15,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,9,2018-10-22 22:15:00
20181022 22:18,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,20,12,2018-10-22 22:18:00
20181022 22:23,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,60,70,2018-10-22 22:23:00
20181022 22:24,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,50,55,2018-10-22 22:24:00
20181022 22:28,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,9,2018-10-22 22:28:00
20181022 22:32,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,6,2018-10-22 22:32:00
20181022 22:34,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,110,125,2018-10-22 22:34:00
20181022 22:42,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,10,9,2018-10-22 22:42:00
20181022 22:44,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,56,65,2018-10-22 22:44:00
20181022 22:45,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,69,66,2018-10-22 22:45:00
20181022 22:55,4998,4998,4998,4998,0,0.0,0,0.0,0.0,0.0,110,163,2018-10-22 22:55:00
