date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180917 20:59,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,4,5,2018-09-17 20:59:00
20180917 21:00,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,91,118,2018-09-17 21:00:00
20180917 21:01,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,10,12,2018-09-17 21:01:00
20180917 21:02,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,3,5,2018-09-17 21:02:00
20180917 21:06,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:06:00
20180917 21:07,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,3,2018-09-17 21:07:00
20180917 21:08,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,16,16,2018-09-17 21:08:00
20180917 21:11,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:11:00
20180917 21:12,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:12:00
20180917 21:13,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,2,5,2018-09-17 21:13:00
20180917 21:14,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-17 21:14:00
20180917 21:15,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:15:00
20180917 21:17,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:17:00
20180917 21:18,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:18:00
20180917 21:20,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:20:00
20180917 21:23,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:23:00
20180917 21:24,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:24:00
20180917 21:26,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:26:00
20180917 21:27,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-17 21:27:00
20180917 21:29,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:29:00
20180917 21:30,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:30:00
20180917 21:33,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:33:00
20180917 21:37,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:37:00
20180917 21:40,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:40:00
20180917 21:44,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:44:00
20180917 21:47,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:47:00
20180917 21:50,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:50:00
20180917 21:53,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:53:00
20180917 21:57,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:57:00
20180917 21:58,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:58:00
20180917 21:59,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 21:59:00
20180917 22:00,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,5,5,2018-09-17 22:00:00
20180917 22:01,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,3,3,2018-09-17 22:01:00
20180917 22:03,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:03:00
20180917 22:04,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:04:00
20180917 22:06,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:06:00
20180917 22:07,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:07:00
20180917 22:10,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:10:00
20180917 22:11,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:11:00
20180917 22:13,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:13:00
20180917 22:16,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-17 22:16:00
20180917 22:20,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:20:00
20180917 22:24,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:24:00
20180917 22:28,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:28:00
20180917 22:32,17370,17370,17370,17370,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 22:32:00
