date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180914 19:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,0,0,2018-09-14 19:30:00
20180917 09:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-17 09:00:00
20180917 14:59,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,0,2018-09-17 14:59:00
20180917 15:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,0,0,2018-09-17 15:00:00
20180918 09:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,1,2018-09-18 09:00:00
20180918 09:21,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-18 09:21:00
20180918 09:32,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 09:32:00
20180918 09:44,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 09:44:00
20180918 09:56,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 09:56:00
20180918 10:07,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 10:07:00
20180918 10:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 10:30:00
20180918 10:41,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 10:41:00
20180918 10:53,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 10:53:00
20180918 11:05,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 11:05:00
20180918 11:16,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 11:16:00
20180918 11:28,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,3,5,2018-09-18 11:28:00
20180918 13:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 13:30:00
20180918 13:41,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 13:41:00
20180918 13:53,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 13:53:00
20180918 14:05,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 14:05:00
20180918 14:16,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 14:16:00
20180918 14:28,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 14:28:00
20180918 14:40,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 14:40:00
20180918 14:51,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-18 14:51:00
20180918 15:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-18 15:00:00
20180918 19:31,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,0,0,2018-09-18 19:31:00
20180920 09:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,5,2018-09-20 09:00:00
20180920 09:12,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 09:12:00
20180920 09:18,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 09:18:00
20180920 09:23,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-20 09:23:00
20180920 09:29,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 09:29:00
20180920 09:35,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-20 09:35:00
20180920 09:41,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 09:41:00
20180920 09:47,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-20 09:47:00
20180920 09:53,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 09:53:00
20180920 10:04,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 10:04:00
20180920 10:10,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-20 10:10:00
20180920 10:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 10:30:00
20180920 10:41,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 10:41:00
20180920 10:53,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 10:53:00
20180920 11:05,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 11:05:00
20180920 11:16,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 11:16:00
20180920 11:28,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-20 11:28:00
20180920 13:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,3,4,2018-09-20 13:30:00
20180920 13:41,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-20 13:41:00
20180920 13:44,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,3,6,2018-09-20 13:44:00
20180920 14:07,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,8,2018-09-20 14:07:00
20180920 14:19,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-20 14:19:00
20180920 14:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-20 14:30:00
20180920 14:42,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,8,2018-09-20 14:42:00
20180920 14:54,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,8,2018-09-20 14:54:00
20180920 15:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-20 15:00:00
20180921 09:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,5,2018-09-21 09:00:00
20180921 09:01,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 09:01:00
20180921 09:24,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,7,2018-09-21 09:24:00
20180921 09:35,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,4,2018-09-21 09:35:00
20180921 09:36,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 09:36:00
20180921 09:59,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,7,2018-09-21 09:59:00
20180921 10:08,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-21 10:08:00
20180921 10:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 10:30:00
20180921 10:41,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,3,5,2018-09-21 10:41:00
20180921 10:53,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 10:53:00
20180921 11:05,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 11:05:00
20180921 11:16,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 11:16:00
20180921 11:28,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 11:28:00
20180921 13:30,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,6,2018-09-21 13:30:00
20180921 13:41,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,2,3,2018-09-21 13:41:00
20180921 13:53,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,7,2018-09-21 13:53:00
20180921 14:05,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,7,2018-09-21 14:05:00
20180921 14:16,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,7,2018-09-21 14:16:00
20180921 14:28,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,7,2018-09-21 14:28:00
20180921 14:40,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,4,7,2018-09-21 14:40:00
20180921 14:51,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-21 14:51:00
20180921 15:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-21 15:00:00
20180925 09:00,2312,2312,2312,2312,0,0.0,0,0.0,0,0.0,1,2,2018-09-25 09:00:00
