date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20181114 20:59,2286,2286,2286,2286,0,0.0,0,0.0,0.0,0.0,10,1,2018-11-14 20:59:00
20181114 21:00,2286,2286,2286,2286,0,0.0,0,0.0,0.0,0.0,17,24,2018-11-14 21:00:00
20181114 21:01,2286,2286,2286,2286,0,0.0,0,0.0,0.0,0.0,3,3,2018-11-14 21:01:00
20181114 21:02,2286,2286,2286,2286,0,0.0,0,0.0,0.0,0.0,3,3,2018-11-14 21:02:00
20181114 21:03,2286,2286,2286,2286,0,0.0,0,0.0,0.0,0.0,3,3,2018-11-14 21:03:00
20181114 21:04,2286,2286,2286,2286,0,0.0,0,0.0,0.0,0.0,6,11,2018-11-14 21:04:00
20181114 21:05,2239,2239,2239,2239,2,2.0,2,2.0,4478.0,4478.0,2,2,2018-11-14 21:05:00
20181114 21:06,2239,2243,2239,2243,4,2.0,4,2.0,8964.0,4486.0,3,5,2018-11-14 21:06:00
20181114 21:07,2243,2244,2243,2244,6,2.0,6,2.0,13452.0,4488.0,12,4,2018-11-14 21:07:00
20181114 21:08,2244,2244,2244,2244,6,0.0,6,0.0,13452.0,0.0,4,4,2018-11-14 21:08:00
20181114 21:09,2244,2244,2244,2244,6,0.0,6,0.0,13452.0,0.0,1,1,2018-11-14 21:09:00
20181114 21:10,2244,2244,2244,2244,6,0.0,6,0.0,13452.0,0.0,3,4,2018-11-14 21:10:00
20181114 21:12,2244,2249,2244,2249,12,6.0,12,6.0,26952.0,13500.0,6,5,2018-11-14 21:12:00
20181114 21:13,2249,2249,2249,2249,12,0.0,12,0.0,26952.0,0.0,9,6,2018-11-14 21:13:00
20181114 21:14,2249,2249,2249,2249,12,0.0,12,0.0,26952.0,0.0,12,6,2018-11-14 21:14:00
20181114 21:15,2249,2251,2249,2251,14,2.0,14,2.0,31444.0,4492.0,38,9,2018-11-14 21:15:00
20181114 21:16,2251,2252,2251,2252,16,2.0,16,2.0,35952.0,4508.0,42,9,2018-11-14 21:16:00
