date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:00,5500,5500,5500,5500,22,22.0,40,40.0,120802,120802.0,1,2,2018-06-27 11:00:00
20180627 13:32,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,3,3,2018-06-27 13:32:00
20180627 13:33,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,3,3,2018-06-27 13:33:00
20180627 13:37,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,2,2,2018-06-27 13:37:00
20180627 13:38,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,3,3,2018-06-27 13:38:00
20180627 13:39,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,2,2,2018-06-27 13:39:00
20180627 13:40,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,2,1,2018-06-27 13:40:00
20180627 13:41,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,1,1,2018-06-27 13:41:00
20180627 13:46,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,1,1,2018-06-27 13:46:00
20180627 13:49,5500,5500,5500,5500,22,0.0,40,0.0,120802,0.0,2,2,2018-06-27 13:49:00
20180627 13:55,5700,5743,5700,5743,34,12.0,50,10.0,188462,67660.0,92,118,2018-06-27 13:55:00
20180627 13:56,5743,5743,5743,5743,34,0.0,50,0.0,188462,0.0,41,30,2018-06-27 13:56:00
20180627 13:57,5743,5743,5743,5743,34,0.0,50,0.0,188462,0.0,66,33,2018-06-27 13:57:00
20180627 13:58,5743,5743,5743,5743,34,0.0,50,0.0,188462,0.0,28,15,2018-06-27 13:58:00
20180627 13:59,5743,5743,5743,5743,34,0.0,50,0.0,188462,0.0,8,4,2018-06-27 13:59:00
20180627 14:00,5743,5743,5621,5621,38,4.0,50,0.0,210786,22324.0,11,6,2018-06-27 14:00:00
20180627 14:01,5621,5621,5551,5551,44,6.0,54,4.0,244244,33458.0,37,31,2018-06-27 14:01:00
20180627 14:02,5551,5551,5551,5551,44,0.0,54,0.0,244244,0.0,22,20,2018-06-27 14:02:00
20180627 14:03,5551,5578,5551,5578,46,2.0,52,-2.0,255392,11148.0,55,38,2018-06-27 14:03:00
20180627 14:04,5578,5578,5578,5578,46,0.0,52,0.0,255392,0.0,61,41,2018-06-27 14:04:00
20180627 14:05,5578,5578,5578,5578,46,0.0,52,0.0,255392,0.0,17,15,2018-06-27 14:05:00
20180627 14:06,5578,5578,5578,5578,48,2.0,54,2.0,266544,11152.0,67,60,2018-06-27 14:06:00
20180627 14:07,5578,5578,5578,5578,48,0.0,54,0.0,266544,0.0,31,25,2018-06-27 14:07:00
20180627 14:08,5578,5581,5578,5581,50,2.0,54,0.0,277700,11156.0,71,55,2018-06-27 14:08:00
20180627 14:09,5581,5581,5581,5581,50,0.0,54,0.0,277700,0.0,41,32,2018-06-27 14:09:00
20180627 14:10,5581,5581,5581,5581,50,0.0,54,0.0,277700,0.0,20,19,2018-06-27 14:10:00
20180627 14:11,5581,5581,5581,5581,50,0.0,54,0.0,277700,0.0,19,15,2018-06-27 14:11:00
20180627 14:12,5581,5581,5568,5568,54,4.0,54,0.0,299970,22270.0,37,38,2018-06-27 14:12:00
20180627 14:13,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,39,43,2018-06-27 14:13:00
20180627 14:14,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,20,28,2018-06-27 14:14:00
20180627 14:15,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,18,18,2018-06-27 14:15:00
20180627 14:16,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,5,7,2018-06-27 14:16:00
20180627 14:17,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,7,6,2018-06-27 14:17:00
20180627 14:18,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,10,13,2018-06-27 14:18:00
20180627 14:19,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,14,13,2018-06-27 14:19:00
20180627 14:20,5568,5568,5568,5568,54,0.0,54,0.0,299970,0.0,11,11,2018-06-27 14:20:00
20180627 14:22,5568,5599,5568,5599,56,2.0,54,0.0,311192,11222.0,11,7,2018-06-27 14:22:00
20180627 14:23,5599,5599,5599,5599,56,0.0,54,0.0,311192,0.0,47,31,2018-06-27 14:23:00
20180627 14:24,5599,5599,5599,5599,56,0.0,54,0.0,311192,0.0,23,15,2018-06-27 14:24:00
20180627 14:25,5599,5599,5555,5555,58,2.0,52,-2.0,322306,11114.0,24,32,2018-06-27 14:25:00
20180627 14:26,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,3,4,2018-06-27 14:26:00
20180627 14:27,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,15,15,2018-06-27 14:27:00
20180627 14:29,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,3,3,2018-06-27 14:29:00
20180627 14:30,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,3,4,2018-06-27 14:30:00
20180627 14:31,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,6,6,2018-06-27 14:31:00
20180627 14:32,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,2,2,2018-06-27 14:32:00
20180627 14:34,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,2,2,2018-06-27 14:34:00
20180627 14:35,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,2,2,2018-06-27 14:35:00
20180627 14:36,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,3,3,2018-06-27 14:36:00
20180627 14:37,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,4,4,2018-06-27 14:37:00
20180627 14:39,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,1,1,2018-06-27 14:39:00
20180627 14:40,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,1,1,2018-06-27 14:40:00
20180627 14:42,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,11,17,2018-06-27 14:42:00
20180627 14:43,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,8,13,2018-06-27 14:43:00
20180627 14:44,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,8,9,2018-06-27 14:44:00
20180627 14:45,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,1,1,2018-06-27 14:45:00
20180627 14:46,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,5,5,2018-06-27 14:46:00
20180627 14:47,5555,5555,5555,5555,58,0.0,52,0.0,322306,0.0,1,1,2018-06-27 14:47:00
