date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:16,10230,10230,10230,10230,10,10.0,134,134.0,1028600.0,1028600.0,1,1,2018-06-27 11:16:00
20180627 11:19,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,8,3,2018-06-27 11:19:00
20180627 11:20,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,56,18,2018-06-27 11:20:00
20180627 11:21,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,3,3,2018-06-27 11:21:00
20180627 11:22,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,24,11,2018-06-27 11:22:00
20180627 11:23,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,1,2018-06-27 11:23:00
20180627 11:29,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,7,7,2018-06-27 11:29:00
20180627 11:30,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,1,2018-06-27 11:30:00
20180627 13:30,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,61,32,2018-06-27 13:30:00
20180627 13:31,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,5,2,2018-06-27 13:31:00
20180627 13:36,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,3,2018-06-27 13:36:00
20180627 13:39,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,3,5,2018-06-27 13:39:00
20180627 13:40,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,3,2018-06-27 13:40:00
20180627 13:41,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,1,2018-06-27 13:41:00
20180627 13:43,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,3,2018-06-27 13:43:00
20180627 13:55,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,5,10,2018-06-27 13:55:00
20180627 13:56,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,5,14,2018-06-27 13:56:00
20180627 13:57,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,8,9,2018-06-27 13:57:00
20180627 14:16,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,5,9,2018-06-27 14:16:00
20180627 14:25,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,3,2018-06-27 14:25:00
20180627 14:26,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,3,5,2018-06-27 14:26:00
20180627 14:36,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,3,2018-06-27 14:36:00
20180627 14:37,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,2,4,2018-06-27 14:37:00
20180627 14:38,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,5,9,2018-06-27 14:38:00
20180627 14:39,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,6,12,2018-06-27 14:39:00
20180627 14:40,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,9,19,2018-06-27 14:40:00
20180627 14:41,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,4,8,2018-06-27 14:41:00
20180627 14:46,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,11,21,2018-06-27 14:46:00
20180627 14:47,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,3,2018-06-27 14:47:00
20180627 14:48,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,1,2018-06-27 14:48:00
20180627 14:49,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,2,4,2018-06-27 14:49:00
20180627 14:50,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,6,12,2018-06-27 14:50:00
20180627 14:51,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,4,8,2018-06-27 14:51:00
20180627 14:52,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,2,4,2018-06-27 14:52:00
20180627 14:53,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,3,2018-06-27 14:53:00
20180627 14:54,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,7,29,2018-06-27 14:54:00
20180627 14:58,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,2,10,2018-06-27 14:58:00
20180627 14:59,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,6,14,2018-06-27 14:59:00
20180627 15:00,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,2,2018-06-27 15:00:00
20180627 15:19,10230,10230,10230,10230,10,0.0,134,0.0,1028600.0,0.0,1,2,2018-06-27 15:19:00
20180627 20:59,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,1,1,2018-06-27 20:59:00
20180627 21:00,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,62,67,2018-06-27 21:00:00
20180627 21:01,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,84,19,2018-06-27 21:01:00
20180627 21:02,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,39,11,2018-06-27 21:02:00
20180627 21:03,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,32,10,2018-06-27 21:03:00
20180627 21:04,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,13,5,2018-06-27 21:04:00
20180627 21:05,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,4,6,2018-06-27 21:05:00
20180627 21:06,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,1,1,2018-06-27 21:06:00
20180627 21:08,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,9,11,2018-06-27 21:08:00
20180627 21:09,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,9,8,2018-06-27 21:09:00
20180627 21:11,10230,10230,10230,10230,0,0.0,134,0.0,0.0,0.0,27,9,2018-06-27 21:11:00
