date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180920 20:59,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,0,0,2018-09-20 20:59:00
20180920 21:00,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,5,5,2018-09-20 21:00:00
20180920 21:05,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,36,68,2018-09-20 21:05:00
20180920 21:15,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,96,97,2018-09-20 21:15:00
20180920 21:19,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-20 21:19:00
20180920 21:24,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 21:24:00
20180920 21:25,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 21:25:00
20180920 21:31,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-20 21:31:00
20180920 21:34,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-20 21:34:00
20180920 21:35,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-20 21:35:00
20180920 21:39,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 21:39:00
20180920 21:40,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,14,14,2018-09-20 21:40:00
20180920 21:42,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,32,32,2018-09-20 21:42:00
20180920 21:44,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,10,10,2018-09-20 21:44:00
20180920 21:47,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 21:47:00
20180920 21:50,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-20 21:50:00
20180920 21:54,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 21:54:00
20180920 21:57,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-20 21:57:00
20180920 22:00,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,12,12,2018-09-20 22:00:00
20180920 22:04,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-20 22:04:00
20180920 22:05,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-20 22:05:00
20180920 22:10,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-20 22:10:00
20180920 22:14,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 22:14:00
20180920 22:15,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 22:15:00
20180920 22:24,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-20 22:24:00
20180920 22:25,525.3,525.3,525.3,525.3,0,0.0,0,0.0,0.0,0.0,6,6,2018-09-20 22:25:00
