date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 10:30,8628,8628,8628,8628,0,0.0,2,2.0,0,0.0,1,0,2018-06-27 10:30:00
20180627 13:30,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-27 13:30:00
20180627 13:31,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,0,2018-06-27 13:31:00
20180627 13:34,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-27 13:34:00
20180627 13:46,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-27 13:46:00
20180627 13:48,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-27 13:48:00
20180627 14:42,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-27 14:42:00
20180627 14:45,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-27 14:45:00
20180627 15:00,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-27 15:00:00
20180628 09:00,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,0,2018-06-28 09:00:00
20180628 09:01,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-28 09:01:00
20180628 09:21,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-28 09:21:00
20180628 09:30,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-28 09:30:00
20180628 09:48,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,2,2018-06-28 09:48:00
20180628 15:00,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-28 15:00:00
20180629 09:00,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,0,1,2018-06-29 09:00:00
20180629 09:01,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,0,1,2018-06-29 09:01:00
20180629 09:04,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-29 09:04:00
20180629 09:32,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-29 09:32:00
20180629 09:34,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-29 09:34:00
20180629 09:37,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,2,2018-06-29 09:37:00
20180629 09:38,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,2,2018-06-29 09:38:00
20180629 09:39,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,1,2018-06-29 09:39:00
20180629 09:40,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,2,4,2018-06-29 09:40:00
20180629 09:41,8628,8628,8628,8628,0,0.0,2,0.0,0,0.0,1,2,2018-06-29 09:41:00
20180629 09:42,8200,8200,8200,8200,2,2.0,0,-2.0,16400,16400.0,0,0,2018-06-29 09:42:00
20180702 15:00,8200,8200,8200,8200,0,0.0,0,0.0,0,0.0,0,0,2018-07-02 15:00:00
20180703 15:00,8140,8140,8140,8140,0,0.0,0,0.0,0,0.0,0,0,2018-07-03 15:00:00
20180704 15:00,8020,8020,8020,8020,0,0.0,0,0.0,0,0.0,0,0,2018-07-04 15:00:00
20180705 15:00,7906,7906,7906,7906,0,0.0,0,0.0,0,0.0,0,0,2018-07-05 15:00:00
20180706 15:00,7830,7830,7830,7830,0,0.0,0,0.0,0,0.0,0,0,2018-07-06 15:00:00
20180709 15:00,7826,7826,7826,7826,0,0.0,0,0.0,0,0.0,0,0,2018-07-09 15:00:00
20180709 19:31,7872,7872,7872,7872,0,0.0,0,0.0,0,0.0,0,0,2018-07-09 19:31:00
20180710 15:00,7872,7872,7872,7872,0,0.0,0,0.0,0,0.0,0,0,2018-07-10 15:00:00
20180711 15:00,7862,7862,7862,7862,0,0.0,0,0.0,0,0.0,0,0,2018-07-11 15:00:00
20180712 15:00,7802,7802,7802,7802,0,0.0,0,0.0,0,0.0,0,0,2018-07-12 15:00:00
20180712 19:33,7802,7802,7802,7802,0,0.0,0,0.0,0,0.0,0,0,2018-07-12 19:33:00
20180713 15:00,7956,7956,7956,7956,0,0.0,0,0.0,0,0.0,0,0,2018-07-13 15:00:00
