date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180917 09:14,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,1,1,2018-09-17 09:14:00
20180917 09:15,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,3,3,2018-09-17 09:15:00
20180917 09:23,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-17 09:23:00
20180917 09:24,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-17 09:24:00
20180917 09:25,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,5,5,2018-09-17 09:25:00
20180917 09:35,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-17 09:35:00
20180917 09:39,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,2,2,2018-09-17 09:39:00
20180917 09:54,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,4,4,2018-09-17 09:54:00
20180917 10:22,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,14,6,2018-09-17 10:22:00
20180917 10:23,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,3,4,2018-09-17 10:23:00
20180917 10:24,94.43,94.43,94.43,94.43,0,0.0,0,0.0,0.0,0.0,7,8,2018-09-17 10:24:00
20180917 10:25,94.43,94.5,94.43,94.5,1,1.0,1,1.0,945000.0,945000.0,5,4,2018-09-17 10:25:00
20180917 10:27,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,10,6,2018-09-17 10:27:00
20180917 10:29,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,5,3,2018-09-17 10:29:00
20180917 10:30,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,6,4,2018-09-17 10:30:00
20180917 10:35,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,6,4,2018-09-17 10:35:00
20180917 10:36,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,6,4,2018-09-17 10:36:00
20180917 10:40,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,2,2,2018-09-17 10:40:00
20180917 10:41,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,115,76,2018-09-17 10:41:00
20180917 10:42,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,3,2,2018-09-17 10:42:00
20180917 10:43,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,14,10,2018-09-17 10:43:00
20180917 10:44,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,20,16,2018-09-17 10:44:00
20180917 10:45,94.5,94.5,94.5,94.5,1,0.0,1,0.0,945000.0,0.0,20,15,2018-09-17 10:45:00
