date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 11:17,7010,7010,7010,7010,0,0.0,2,2.0,0,0.0,2,2,2018-06-27 11:17:00
20180627 11:19,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,10,11,2018-06-27 11:19:00
20180627 11:21,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,10,11,2018-06-27 11:21:00
20180627 11:23,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,10,11,2018-06-27 11:23:00
20180627 11:25,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,8,9,2018-06-27 11:25:00
20180627 11:26,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,2,2,2018-06-27 11:26:00
20180627 11:27,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 11:27:00
20180627 11:28,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,6,7,2018-06-27 11:28:00
20180627 11:29,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,7,8,2018-06-27 11:29:00
20180627 13:30,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,19,22,2018-06-27 13:30:00
20180627 13:32,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:32:00
20180627 13:34,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:34:00
20180627 13:36,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:36:00
20180627 13:37,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,2,2,2018-06-27 13:37:00
20180627 13:39,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,2,2,2018-06-27 13:39:00
20180627 13:41,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:41:00
20180627 13:43,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:43:00
20180627 13:45,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:45:00
20180627 13:47,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:47:00
20180627 13:49,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:49:00
20180627 13:51,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,4,4,2018-06-27 13:51:00
20180627 13:52,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,2,2,2018-06-27 13:52:00
20180627 14:06,7010,7010,7010,7010,0,0.0,2,0.0,0,0.0,16,16,2018-06-27 14:06:00
