date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20181114 19:30,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,0,0,2018-11-14 19:30:00
20181115 08:59,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 08:59:00
20181115 09:17,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 09:17:00
20181115 09:19,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 09:19:00
20181115 09:30,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 09:30:00
20181115 09:43,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 09:43:00
20181115 09:46,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 09:46:00
20181115 09:50,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 09:50:00
20181115 10:35,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 10:35:00
20181115 10:41,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 10:41:00
20181115 10:42,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 10:42:00
20181115 10:46,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,2,2018-11-15 10:46:00
20181115 10:47,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 10:47:00
20181115 11:23,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,2,2018-11-15 11:23:00
20181115 11:28,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,2,2018-11-15 11:28:00
20181115 11:29,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,4,4,2018-11-15 11:29:00
20181115 13:30,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 13:30:00
20181115 13:41,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 13:41:00
20181115 13:49,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 13:49:00
20181115 14:18,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 14:18:00
20181115 14:20,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 14:20:00
20181115 15:00,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-15 15:00:00
20181115 19:30,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,0,0,2018-11-15 19:30:00
20181116 08:59,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-16 08:59:00
20181116 09:49,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,1,2018-11-16 09:49:00
20181116 09:50,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,1,2018-11-16 09:50:00
20181116 09:57,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,1,2018-11-16 09:57:00
20181116 10:00,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,4,2,2018-11-16 10:00:00
20181116 10:01,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,1,2018-11-16 10:01:00
20181116 10:07,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,1,2018-11-16 10:07:00
20181116 10:13,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-16 10:13:00
20181116 10:14,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,1,2018-11-16 10:14:00
20181116 14:48,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-16 14:48:00
20181116 14:49,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-16 14:49:00
20181116 14:50,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,4,4,2018-11-16 14:50:00
20181116 14:53,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-16 14:53:00
20181116 14:54,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,2,2018-11-16 14:54:00
20181116 15:00,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-16 15:00:00
20181116 19:30,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,0,0,2018-11-16 19:30:00
20181119 08:59,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 08:59:00
20181119 10:11,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 10:11:00
20181119 10:14,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 10:14:00
20181119 10:30,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 10:30:00
20181119 10:32,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 10:32:00
20181119 10:35,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 10:35:00
20181119 10:36,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,3,3,2018-11-19 10:36:00
20181119 10:38,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 10:38:00
20181119 10:39,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 10:39:00
20181119 11:22,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 11:22:00
20181119 11:25,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,1,1,2018-11-19 11:25:00
20181119 11:28,2547,2547,2547,2547,0,0.0,0,0.0,0,0.0,2,2,2018-11-19 11:28:00
