date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20180627 10:30,3642,3642,3642,3642,0,0.0,0,0.0,0,0.0,0,0,2018-06-27 10:30:00
20180627 11:30,3642,3642,3642,3642,0,0.0,0,0.0,0,0.0,0,0,2018-06-27 11:30:00
20180627 13:30,3642,3642,3642,3642,0,0.0,0,0.0,0,0.0,0,0,2018-06-27 13:30:00
20180627 15:00,3642,3642,3642,3642,0,0.0,0,0.0,0,0.0,0,0,2018-06-27 15:00:00
20180627 15:19,3642,3642,3642,3642,0,0.0,0,0.0,0,0.0,0,0,2018-06-27 15:19:00
20180628 08:59,3642,3642,3642,3642,0,0.0,0,0.0,0,0.0,0,4,2018-06-28 08:59:00
20180628 09:00,3642,3642,3277,3277,4,4.0,4,4.0,131080,131080.0,2,11,2018-06-28 09:00:00
20180628 09:01,3277,3277,3277,3277,4,0.0,4,0.0,131080,0.0,7,5,2018-06-28 09:01:00
20180628 09:09,3278,3278,3278,3278,8,4.0,8,4.0,262200,131120.0,3,0,2018-06-28 09:09:00
20180628 09:10,3278,3278,3278,3278,8,0.0,8,0.0,262200,0.0,90,0,2018-06-28 09:10:00
20180628 09:11,3278,3278,3278,3278,8,0.0,8,0.0,262200,0.0,27,0,2018-06-28 09:11:00
20180628 09:12,3278,3278,3278,3278,8,0.0,8,0.0,262200,0.0,24,0,2018-06-28 09:12:00
20180628 09:13,3278,3278,3278,3278,8,0.0,8,0.0,262200,0.0,12,100,2018-06-28 09:13:00
20180628 09:14,3278,3278,3278,3278,8,0.0,8,0.0,262200,0.0,3,0,2018-06-28 09:14:00
20180628 09:16,3278,3278,3278,3278,8,0.0,8,0.0,262200,0.0,1,0,2018-06-28 09:16:00
20180628 09:21,3278,3349,3278,3349,12,4.0,4,-4.0,396160,133960.0,4,2,2018-06-28 09:21:00
20180628 09:22,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,3,0,2018-06-28 09:22:00
20180628 10:13,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,1,1,2018-06-28 10:13:00
20180628 10:14,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,1,1,2018-06-28 10:14:00
20180628 10:15,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,1,1,2018-06-28 10:15:00
20180628 10:30,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,1,1,2018-06-28 10:30:00
20180628 10:55,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,1,0,2018-06-28 10:55:00
20180628 11:25,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,6,0,2018-06-28 11:25:00
20180628 11:26,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,1,0,2018-06-28 11:26:00
20180628 11:27,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,4,0,2018-06-28 11:27:00
20180628 11:30,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,1,0,2018-06-28 11:30:00
20180628 13:30,3349,3349,3349,3349,12,0.0,4,0.0,396160,0.0,2,1,2018-06-28 13:30:00
