date_time,open,high,low,close,volume,amount,position,date,time
2020-01-22 09:08:00,4610.0,4610.0,4610.0,4610.0,1.0,46100.0,2.0,2020-01-22,09:08:00
2020-01-22 09:13:00,4612.0,4612.0,4612.0,4612.0,1.0,46120.0,3.0,2020-01-22,09:13:00
2020-01-22 09:30:00,4628.0,4628.0,4628.0,4628.0,1.0,46280.0,4.0,2020-01-22,09:30:00
2020-01-22 09:56:00,4618.0,4618.0,4618.0,4618.0,1.0,46180.0,5.0,2020-01-22,09:56:00
2020-01-22 13:46:00,4618.0,4618.0,4618.0,4618.0,1.0,46450.0,5.0,2020-01-22,13:46:00
2020-01-22 14:31:00,4648.0,4648.0,4648.0,4648.0,1.0,46480.0,4.0,2020-01-22,14:31:00
2020-01-22 15:00:00,4648.0,4648.0,4648.0,4648.0,0.0,0.0,4.0,2020-01-22,15:00:00
2020-01-22 21:13:00,4661.0,4661.0,4661.0,4661.0,1.0,46610.0,5.0,2020-01-22,21:13:00
2020-01-23 15:00:00,4661.0,4661.0,4661.0,4661.0,0.0,0.0,5.0,2020-01-23,15:00:00
2020-02-03 09:06:00,4461.0,4461.0,4461.0,4461.0,1.0,44610.0,5.0,2020-02-03,09:06:00
2020-02-03 09:07:00,4446.0,4446.0,4446.0,4446.0,1.0,44460.0,6.0,2020-02-03,09:07:00
2020-02-03 09:21:00,4517.0,4517.0,4517.0,4517.0,3.0,135350.0,9.0,2020-02-03,09:21:00
2020-02-03 09:27:00,4472.0,4472.0,4472.0,4472.0,1.0,44720.0,8.0,2020-02-03,09:27:00
2020-02-03 09:58:00,4487.0,4487.0,4487.0,4487.0,2.0,89720.0,10.0,2020-02-03,09:58:00
2020-02-03 10:59:00,4487.0,4487.0,4487.0,4487.0,1.0,44870.0,11.0,2020-02-03,10:59:00
2020-02-03 11:26:00,4455.0,4455.0,4455.0,4455.0,1.0,44550.0,12.0,2020-02-03,11:26:00
2020-02-03 11:27:00,4450.0,4450.0,4450.0,4450.0,1.0,44500.0,13.0,2020-02-03,11:27:00
2020-02-03 13:30:00,4436.0,4436.0,4436.0,4436.0,1.0,44360.0,14.0,2020-02-03,13:30:00
2020-02-03 13:32:00,4436.0,4436.0,4418.0,4418.0,2.0,88540.0,15.0,2020-02-03,13:32:00
2020-02-03 13:36:00,4409.0,4409.0,4409.0,4409.0,1.0,44090.0,16.0,2020-02-03,13:36:00
2020-02-03 13:38:00,4408.0,4408.0,4408.0,4408.0,2.0,88170.0,18.0,2020-02-03,13:38:00
2020-02-03 13:39:00,4408.0,4408.0,4408.0,4408.0,1.0,44080.0,18.0,2020-02-03,13:39:00
2020-02-03 13:40:00,4400.0,4400.0,4400.0,4400.0,1.0,44000.0,19.0,2020-02-03,13:40:00
2020-02-03 13:42:00,4400.0,4400.0,4400.0,4400.0,1.0,44000.0,20.0,2020-02-03,13:42:00
2020-02-03 13:52:00,4391.0,4391.0,4391.0,4391.0,1.0,43910.0,21.0,2020-02-03,13:52:00
2020-02-03 14:11:00,4390.0,4390.0,4390.0,4390.0,1.0,43900.0,22.0,2020-02-03,14:11:00
2020-02-03 14:33:00,4390.0,4390.0,4390.0,4390.0,1.0,43910.0,22.0,2020-02-03,14:33:00
2020-02-03 14:49:00,4388.0,4388.0,4385.0,4385.0,3.0,131580.0,25.0,2020-02-03,14:49:00
2020-02-03 14:56:00,4398.0,4398.0,4398.0,4398.0,8.0,351840.0,33.0,2020-02-03,14:56:00
2020-02-03 14:57:00,4398.0,4398.0,4398.0,4398.0,2.0,87960.0,35.0,2020-02-03,14:57:00
2020-02-03 14:58:00,4398.0,4398.0,4398.0,4398.0,7.0,307860.0,42.0,2020-02-03,14:58:00
2020-02-03 14:59:00,4398.0,4398.0,4398.0,4398.0,8.0,351840.0,50.0,2020-02-03,14:59:00
2020-02-03 15:00:00,4398.0,4398.0,4398.0,4398.0,0.0,0.0,50.0,2020-02-03,15:00:00
2020-02-04 09:00:00,4398.0,4398.0,4398.0,4398.0,1.0,43980.0,49.0,2020-02-04,09:00:00
2020-02-04 09:10:00,4429.0,4429.0,4429.0,4429.0,1.0,44290.0,48.0,2020-02-04,09:10:00
2020-02-04 09:25:00,4450.0,4450.0,4450.0,4450.0,3.0,133490.0,49.0,2020-02-04,09:25:00
2020-02-04 09:27:00,4450.0,4464.0,4450.0,4460.0,5.0,222950.0,52.0,2020-02-04,09:27:00
2020-02-04 10:30:00,4460.0,4460.0,4460.0,4460.0,1.0,44600.0,52.0,2020-02-04,10:30:00
2020-02-04 10:35:00,4466.0,4466.0,4466.0,4466.0,1.0,44660.0,53.0,2020-02-04,10:35:00
2020-02-04 10:42:00,4466.0,4466.0,4466.0,4466.0,2.0,89320.0,55.0,2020-02-04,10:42:00
2020-02-04 10:49:00,4466.0,4466.0,4466.0,4466.0,1.0,44660.0,56.0,2020-02-04,10:49:00
2020-02-04 10:50:00,4466.0,4466.0,4466.0,4466.0,2.0,89320.0,58.0,2020-02-04,10:50:00
2020-02-04 10:58:00,4466.0,4466.0,4466.0,4466.0,3.0,133980.0,61.0,2020-02-04,10:58:00
2020-02-04 10:59:00,4455.0,4455.0,4455.0,4455.0,2.0,89100.0,63.0,2020-02-04,10:59:00
2020-02-04 11:07:00,4466.0,4466.0,4466.0,4466.0,6.0,267950.0,68.0,2020-02-04,11:07:00
2020-02-04 11:21:00,4466.0,4466.0,4466.0,4466.0,1.0,44690.0,68.0,2020-02-04,11:21:00
2020-02-04 13:39:00,4466.0,4466.0,4466.0,4466.0,1.0,44740.0,69.0,2020-02-04,13:39:00
2020-02-04 14:04:00,4466.0,4466.0,4466.0,4466.0,1.0,44660.0,69.0,2020-02-04,14:04:00
