Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2018-12-05 12:56:00,1255.8,1255.7,1255.7,1255.8,2.0,3.0
2018-12-05 13:02:00,1255.1,1255.1,1255.1,1255.1,1.0,1.0
2018-12-05 13:13:00,1255.2,1255.2,1255.2,1255.2,1.0,5.0
2018-12-05 13:19:00,,,,,-1.0,4.0
2018-12-05 13:20:00,1255.3,1255.3,1255.3,1255.3,1.0,1.0
2018-12-05 13:36:00,1255.7,1255.7,1255.7,1255.7,1.0,1.0
2018-12-05 13:39:00,1255.5,1255.5,1255.5,1255.5,5.0,10.0
2018-12-05 13:41:00,1255.4,1255.4,1255.4,1255.4,1.0,2.0
2018-12-05 13:42:00,1255.4,1255.4,1255.4,1255.4,1.0,1.0
2018-12-05 13:43:00,1255.5,1255.5,1255.5,1255.5,1.0,1.0
2018-12-05 13:49:00,1255.3,1255.3,1255.3,1255.3,1.0,2.0
2018-12-05 14:11:00,1255.9,1255.9,1255.9,1255.9,1.0,1.0
2018-12-05 14:12:00,1256.0,1256.0,1256.0,1256.0,1.0,1.0
2018-12-05 14:18:00,1255.8,1255.8,1255.8,1255.8,1.0,1.0
2018-12-05 14:26:00,1255.9,1255.9,1255.9,1255.9,1.0,1.0
2018-12-05 14:28:00,,,,,-1.0,50.0
2018-12-05 14:30:00,1256.0,1256.0,1256.0,1256.0,1.0,1.0
2018-12-05 14:39:00,1255.7,1255.7,1255.7,1255.7,1.0,1.0
2018-12-05 14:40:00,1255.4,1255.4,1255.4,1255.4,1.0,1.0
2018-12-05 14:53:00,1254.8,1254.8,1254.8,1254.8,1.0,1.0
2018-12-05 14:56:00,1254.5,1254.5,1254.5,1254.5,1.0,1.0
2018-12-05 15:03:00,1253.5,1253.5,1253.5,1253.5,1.0,1.0
2018-12-05 15:08:00,1253.9,1253.8,1253.8,1253.9,2.0,2.0
2018-12-05 15:30:00,1253.9,1253.9,1253.9,1253.9,1.0,10.0
2018-12-05 15:36:00,1253.8,1253.8,1253.8,1253.8,2.0,2.0
