Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2019-06-10 14:04:00,15.405,15.405,15.405,15.405,1.0,1.0
2019-06-10 14:06:00,15.35,15.35,15.35,15.35,1.0,1.0
2019-09-04 17:11:00,19.985,19.985,19.985,19.985,1.0,1.0
2019-09-05 09:58:00,19.86,19.86,19.86,19.86,1.0,1.0
2019-09-06 13:07:00,19.31,19.31,19.31,19.31,1.0,1.0
2019-09-06 17:23:00,18.66,18.66,18.66,18.66,1.0,1.0
2019-11-29 17:27:00,17.58,17.58,17.58,17.58,2.0,2.0
2019-12-06 14:38:00,17.12,17.12,17.12,17.12,3.0,5.0
2019-12-09 18:03:00,,,,,-1.0,2.0
2019-12-10 10:21:00,17.14,17.14,17.14,17.14,2.0,4.0
2019-12-10 10:50:00,17.135,17.135,17.135,17.135,1.0,1.0
2019-12-10 10:51:00,17.135,17.135,17.135,17.135,1.0,1.0
2020-01-09 14:30:00,18.35,18.35,18.35,18.35,1.0,1.0
2020-01-10 14:35:00,18.42,18.42,18.42,18.42,1.0,2.0
2020-01-23 07:55:00,18.14,18.14,18.14,18.14,1.0,1.0
2020-01-24 08:56:00,18.2,18.2,18.2,18.2,1.0,2.0
2020-01-24 19:49:00,18.555,18.555,18.555,18.555,1.0,1.0
2020-01-24 20:31:00,18.54,18.54,18.54,18.54,1.0,1.0
2020-01-27 11:13:00,18.75,18.75,18.75,18.75,1.0,1.0
2020-01-28 20:17:00,17.89,17.89,17.89,17.89,1.0,2.0
2020-01-29 15:17:00,,,,,-1.0,1.0
2020-01-29 19:44:00,17.93,17.93,17.93,17.93,1.0,1.0
2020-01-30 14:28:00,,,,,-1.0,3.0
2020-01-30 15:15:00,,,,,-1.0,2.0
2020-02-03 15:34:00,,,,,-1.0,1.0
2020-02-03 17:50:00,,,,,-1.0,1.0
2020-02-05 15:33:00,,,,,-1.0,10.0
2020-02-05 15:36:00,,,,,-1.0,10.0
2020-02-05 17:06:00,,,,,-1.0,25.0
2020-02-05 17:07:00,,,,,-1.0,25.0
2020-02-06 19:06:00,18.23,18.23,18.23,18.23,1.0,1.0
2020-02-06 19:08:00,18.235,18.235,18.235,18.235,1.0,1.0
2020-02-06 19:10:00,18.23,18.23,18.23,18.23,1.0,2.0
