Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2018-12-05 14:05:00,14.48,14.48,14.48,14.48,1.0,5.0
2018-12-05 14:27:00,14.49,14.49,14.49,14.49,1.0,10.0
2018-12-05 14:41:00,14.47,14.47,14.47,14.47,1.0,2.0
2018-12-05 18:39:00,,,,,-1.0,9.0
2018-12-05 22:00:00,,,,,-1.0,39.0
2018-12-06 01:19:00,,,,,-1.0,4.0
2018-12-06 05:31:00,14.42,14.42,14.42,14.42,2.0,2.0
2018-12-06 08:00:00,14.33,14.33,14.33,14.33,1.0,1.0
2018-12-06 09:32:00,14.335,14.335,14.335,14.335,1.0,2.0
2018-12-06 09:35:00,14.35,14.35,14.35,14.35,1.0,1.0
2018-12-06 13:16:00,14.35,14.35,14.35,14.35,1.0,1.0
2018-12-06 13:21:00,14.395,14.395,14.395,14.395,1.0,1.0
2018-12-06 14:10:00,,,,,-1.0,3.0
2018-12-06 17:58:00,,,,,-1.0,20.0
2018-12-06 17:59:00,,,,,-1.0,1.0
2018-12-06 18:53:00,14.39,14.385,14.39,14.385,2.0,12.0
2018-12-07 01:44:00,14.405,14.405,14.405,14.405,1.0,2.0
2018-12-07 01:49:00,,,,,-1.0,2.0
2018-12-07 08:13:00,14.44,14.44,14.44,14.44,1.0,1.0
2018-12-07 13:31:00,14.475,14.475,14.475,14.475,1.0,1.0
2018-12-07 13:37:00,14.485,14.485,14.485,14.485,2.0,4.0
2018-12-07 16:16:00,,,,,-1.0,7.0
2018-12-07 16:17:00,,,,,-1.0,6.0
2018-12-07 17:15:00,,,,,-1.0,23.0
2018-12-07 17:29:00,14.53,14.53,14.53,14.53,1.0,1.0
2018-12-07 18:08:00,,,,,-1.0,1.0
2018-12-07 18:22:00,14.56,14.56,14.56,14.56,1.0,1.0
2018-12-07 19:22:00,,,,,-1.0,7.0
2018-12-07 19:31:00,,,,,-1.0,21.0
2018-12-07 19:32:00,,,,,-1.0,7.0
2018-12-07 19:33:00,,,,,-1.0,1.0
2018-12-07 20:11:00,,,,,-1.0,2.0
2018-12-07 20:35:00,,,,,-1.0,1.0
2018-12-10 00:36:00,14.565,14.565,14.565,14.565,1.0,1.0
2018-12-10 00:39:00,,,,,-1.0,1.0
2018-12-10 12:24:00,14.5,14.5,14.5,14.5,1.0,1.0
2018-12-10 12:31:00,14.5,14.5,14.5,14.5,1.0,2.0
2018-12-10 14:23:00,,,,,-1.0,1.0
2018-12-10 14:34:00,14.485,14.485,14.485,14.485,1.0,2.0
2018-12-10 15:37:00,,,,,-1.0,3.0
2018-12-10 15:38:00,,,,,-1.0,2.0
2018-12-10 16:12:00,14.525,14.525,14.525,14.525,1.0,1.0
2018-12-10 16:13:00,,,,,-1.0,1.0
2018-12-10 17:36:00,14.52,14.52,14.52,14.52,1.0,1.0
2018-12-10 18:51:00,,,,,-1.0,3.0
2018-12-10 20:20:00,,,,,-1.0,10.0
2018-12-10 22:00:00,,,,,-1.0,13.0
2018-12-11 00:41:00,14.5,14.5,14.5,14.5,1.0,1.0
2018-12-11 00:42:00,,,,,-1.0,1.0
2018-12-11 07:33:00,14.565,14.565,14.565,14.565,1.0,1.0
2018-12-11 07:52:00,14.555,14.555,14.555,14.555,1.0,1.0
2018-12-11 08:00:00,14.545,14.545,14.545,14.545,1.0,1.0
2018-12-11 11:52:00,,,,,-1.0,4.0
2018-12-11 12:16:00,,,,,-1.0,2.0
2018-12-11 12:20:00,,,,,-1.0,5.0
2018-12-11 12:35:00,,,,,-1.0,1.0
2018-12-11 13:09:00,,,,,-1.0,20.0
2018-12-11 13:17:00,,,,,-1.0,26.0
2018-12-11 13:18:00,,,,,-1.0,2.0
2018-12-11 15:06:00,14.685,14.685,14.685,14.685,1.0,1.0
2018-12-11 15:17:00,,,,,-1.0,7.0
2018-12-11 15:18:00,,,,,-1.0,20.0
2018-12-11 15:19:00,,,,,-1.0,10.0
2018-12-11 15:31:00,,,,,-1.0,4.0
2018-12-11 16:23:00,,,,,-1.0,53.0
2018-12-11 16:35:00,,,,,-1.0,2.0
2018-12-11 17:29:00,,,,,-1.0,12.0
2018-12-11 20:36:00,,,,,-1.0,47.0
2018-12-12 02:45:00,,,,,-1.0,3.0
2018-12-12 12:08:00,14.62,14.62,14.62,14.62,2.0,3.0
2018-12-12 13:19:00,,,,,-1.0,10.0
2018-12-12 13:27:00,,,,,-1.0,6.0
2018-12-12 13:44:00,,,,,-1.0,8.0
2018-12-12 14:00:00,,,,,-1.0,16.0
2018-12-12 14:01:00,,,,,-1.0,22.0
2018-12-12 14:05:00,,,,,-1.0,10.0
2018-12-12 14:06:00,14.66,14.66,14.66,14.66,1.0,3.0
2018-12-12 14:49:00,,,,,-1.0,10.0
2018-12-12 14:50:00,,,,,-1.0,25.0
2018-12-12 14:51:00,,,,,-1.0,11.0
2018-12-12 15:16:00,14.72,14.7,14.72,14.7,2.0,2.0
2018-12-12 15:18:00,14.705,14.705,14.705,14.705,1.0,5.0
2018-12-12 15:57:00,,,,,-1.0,2.0
2018-12-12 15:58:00,,,,,-1.0,2.0
2018-12-12 16:00:00,,,,,-1.0,4.0
2018-12-12 16:07:00,,,,,-1.0,2.0
2018-12-12 16:15:00,,,,,-1.0,2.0
2018-12-12 16:58:00,14.715,14.715,14.715,14.715,1.0,1.0
2018-12-12 17:55:00,14.73,14.73,14.73,14.73,1.0,5.0
2018-12-12 19:07:00,,,,,-1.0,2.0
2018-12-12 19:20:00,,,,,-1.0,2.0
2018-12-12 19:23:00,14.71,14.71,14.71,14.71,1.0,1.0
