,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
fgObj.rank(fgObj.rtn),0.011014324304104815,0.025558476114024977,0.003303929082008907,0.004568328867893862,0.00017648117494134804,0.021103824169698214,9.895355673133452
fgObj.scale(fgObj.rtn),-0.011185050971630665,-0.030816099499773212,-0.007676646481012528,-0.02579128358294307,-0.0005005573906410085,-0.045730500018437016,9.895355673133452
"fgObj.decay_linear(fgObj.rtn, 20, min_periods=15)",0.017065874420639875,0.03325352255031606,0.014548771359227415,0.025861770270803868,0.00010542899042861156,0.008058271493469271,9.895355673133452
"fgObj.delay(fgObj.rtn, 20)",-0.0022740774014449253,-0.011380038543437877,0.00041754307844586903,-0.004553507313054597,-3.074515176666418e-05,-0.015634718542259327,9.895355673133452
"fgObj.delta(fgObj.rtn, 20)",0.011009736906035843,0.030173635160752048,0.010283565178507564,0.028078732498424467,0.0002389828670822394,0.02983527835378773,9.895355673133452
"fgObj.ts_argmax(fgObj.rtn, 20, min_periods=15)",0.003820649179302889,0.017485032154785238,0.010108578989538864,0.03338942309628503,2.6545004193978827e-05,0.009640810594835104,9.895355673133452
"fgObj.ts_argmin(fgObj.rtn, 20, min_periods=15)",-0.0051696994306680046,-0.004427140389854596,-0.0035611677342934716,0.004351869939596714,1.1876150972973561e-05,-0.002821552199056623,9.895355673133452
"fgObj.ts_max(fgObj.rtn, 20, min_periods=15)",0.007233397475387741,0.016437984556952216,0.010275994354291364,0.0259662135034554,-3.806159843526753e-05,-0.002470923775678785,9.895355673133452
"fgObj.ts_mean(fgObj.rtn, 20, min_periods=15)",0.023088631077998033,0.04651437391794135,0.019943016789737235,0.041676772830106804,0.00039605234489134696,0.020872643157565932,9.895355673133452
"fgObj.ts_median(fgObj.rtn, 20, min_periods=15)",0.015563158220942477,0.03360648434652614,0.010294168177416987,0.022863091198118704,0.0003669048613147428,0.028006888733331885,9.895355673133452
"fgObj.ts_min(fgObj.rtn, 20, min_periods=15)",-0.007799187312245578,-0.01724095700549171,-0.012312245668852046,-0.02849085119170907,-0.00026140924609780635,-0.016072985928948,9.895355673133452
"fgObj.ts_prod(fgObj.rtn, 20, min_periods=15)",-0.0057560992912649616,-0.001001495602070488,0.004032468083395369,0.024181495650620638,0.00016205277504843324,0.006770187005049137,9.895355673133452
"fgObj.ts_rank(fgObj.rtn, 20, min_periods=15)",0.01658648024586487,0.03861126495733215,0.010898869922331198,0.020171053568368093,0.00039867405826475447,0.04057639153403117,9.895355673133452
"fgObj.ts_std(fgObj.rtn, 20, min_periods=15)",0.0032269130392728745,0.010088573736613385,0.00840564141739597,0.021341699381937262,-5.888895476101361e-06,-0.0002541788977095887,9.895355673133452
"fgObj.ts_sum(fgObj.rtn, 20, min_periods=15)",0.02305239263887719,0.046431386395810646,0.01981512650578309,0.04134529527411637,0.00039742669927659435,0.02103369374733621,9.895355673133452
"fgObj.correlation(fgObj.rtn, fgObj.cls, 20, min_periods=15)",-0.007599208577698538,-0.017011474586509874,-0.0052345784239152746,-0.00976703097678433,3.1040929372325443e-05,0.010792277012079458,9.895355673133452
"fgObj.correlation(fgObj.rtn, fgObj.opn, 20, min_periods=15)",-0.0015551318483647953,-0.014940923357424815,0.002246391806182531,-0.011395255478834982,-0.0003183545819430091,-0.023476892878701153,9.895355673133452
"fgObj.correlation(fgObj.rtn, fgObj.high, 20, min_periods=15)",-0.004058293907463447,-0.017589439902941227,0.0023223435952144226,-0.0050472936690569205,-0.0001872914508451147,-0.01649136515514025,9.895355673133452
"fgObj.correlation(fgObj.rtn, fgObj.low, 20, min_periods=15)",-0.00728063687354958,-0.02466611871015492,-0.0037056738098017556,-0.015225179722906457,-0.0001077310550098313,-0.007658986900285999,9.895355673133452
"fgObj.correlation(fgObj.rtn, fgObj.volume, 20, min_periods=15)",-0.004281000892607389,-0.004094754101702326,-0.007746077033252404,-0.017170864784024038,-0.00014443117690282096,0.002523091415751049,9.895355673133452
