date,L_feibiao
2015/6/24,375
2015/6/25,425
2015/6/26,475
2015/6/29,525
2015/6/30,525
2015/7/1,525
2015/7/2,550
2015/7/3,550
2015/7/6,550
2015/7/7,700
2015/7/8,875
2015/7/9,700
2015/7/10,650
2015/7/13,650
2015/7/14,650
2015/7/15,700
2015/7/16,700
2015/7/17,725
2015/7/20,725
2015/7/21,725
2015/7/22,725
2015/7/23,575
2015/7/24,625
2015/7/27,750
2015/7/28,875
2015/7/29,725
2015/7/30,675
2015/7/31,750
2015/8/3,875
2015/8/4,925
2015/8/5,825
2015/8/6,875
2015/8/7,850
2015/8/10,825
2015/8/11,675
2015/8/12,675
2015/8/13,675
2015/8/14,675
2015/8/17,650
2015/8/18,575
2015/8/19,550
2015/8/20,550
2015/8/21,575
2015/8/24,575
2015/8/25,500
2015/8/26,450
2015/8/27,425
2015/8/28,375
2015/8/31,400
2015/9/1,425
2015/9/2,425
2015/9/7,275
2015/9/8,325
2015/9/9,400
2015/9/10,425
2015/9/11,400
2015/9/14,250
2015/9/15,250
2015/9/16,250
2015/9/17,250
2015/9/18,250
2015/9/21,300
2015/9/22,400
2015/9/23,450
2015/9/24,350
2015/9/25,350
2015/9/28,300
2015/9/29,200
2015/9/30,250
2015/10/8,100
2015/10/9,100
2015/10/12,100
2015/10/13,100
2015/10/14,100
2015/10/15,50
2015/10/16,50
2015/10/19,-50
2015/10/20,-50
2015/10/21,0
2015/10/22,-250
2015/10/23,-150
2015/10/26,-200
2015/10/27,-150
2015/10/28,-200
2015/10/29,-250
2015/10/30,-250
2015/11/2,-350
2015/11/3,-400
2015/11/4,-400
2015/11/5,-350
2015/11/6,-350
2015/11/9,-500
2015/11/10,-500
2015/11/11,-550
2015/11/12,-650
2015/11/13,-700
2015/11/16,-750
2015/11/17,-830
2015/11/18,-750
2015/11/19,-650
2015/11/20,-650
2015/11/23,-800
2015/11/24,-850
2015/11/25,-900
2015/11/26,-800
2015/11/27,-750
2015/11/30,-700
2015/12/1,-700
2015/12/2,-800
2015/12/3,-800
2015/12/4,-800
2015/12/7,-650
2015/12/8,-700
2015/12/9,-700
2015/12/10,-700
2015/12/11,-700
2015/12/14,-650
2015/12/15,-650
2015/12/16,-650
2015/12/17,-650
2015/12/18,-600
2015/12/21,-800
2015/12/22,-800
2015/12/23,-750
2015/12/24,-750
2015/12/25,-750
2015/12/28,-800
2015/12/29,-900
2015/12/30,-900
2015/12/31,-900
2016/1/4,-950
2016/1/5,-1050
2016/1/6,-1050
2016/1/7,-850
2016/1/8,-850
2016/1/11,-800
2016/1/12,-750
2016/1/13,-700
2016/1/14,-700
2016/1/15,-630
2016/1/18,-700
2016/1/19,-650
2016/1/20,-550
2016/1/21,-550
2016/1/22,-550
2016/1/25,-500
2016/1/26,-200
2016/1/27,-400
2016/1/28,-400
2016/1/29,-350
2016/2/1,-380
2016/2/2,-380
2016/2/3,-400
2016/2/4,-400
2016/2/5,-400
2016/2/15,-450
2016/2/16,-450
2016/2/17,-350
2016/2/18,-200
2016/2/19,-300
2016/2/22,-430
2016/2/23,-390
2016/2/24,-370
2016/2/25,-400
2016/2/26,-350
2016/2/29,-270
2016/3/1,-290
2016/3/2,-370
2016/3/3,-370
2016/3/4,-250
2016/3/7,-120
2016/3/8,-100
2016/3/9,-50
2016/3/10,-50
2016/3/11,-20
2016/3/14,30
2016/3/15,0
2016/3/16,-100
2016/3/17,-100
2016/3/18,-200
2016/3/21,-150
2016/3/22,-100
2016/3/23,20
2016/3/24,0
2016/3/25,-50
2016/3/28,-100
2016/3/29,-50
2016/3/30,0
2016/3/31,0
2016/4/1,-100
2016/4/5,-100
2016/4/6,-150
2016/4/7,-100
2016/4/8,-100
2016/4/11,-150
2016/4/12,-150
2016/4/13,-170
2016/4/14,-150
2016/4/15,-180
2016/4/18,-170
2016/4/19,-40
2016/4/20,-130
2016/4/21,-300
2016/4/22,-200
2016/4/25,-220
2016/4/26,-170
2016/4/27,-150
2016/4/28,-270
2016/4/29,-230
2016/5/3,-290
2016/5/4,-280
2016/5/5,-280
2016/5/6,-230
2016/5/9,-220
2016/5/10,-290
2016/5/11,-230
2016/5/12,-170
2016/5/13,-170
2016/5/16,-180
2016/5/17,-180
2016/5/18,-120
2016/5/19,-200
2016/5/20,-190
2016/5/23,-200
2016/5/24,-170
2016/5/25,-140
2016/5/26,-30
2016/5/27,-30
2016/5/30,-50
2016/5/31,30
2016/6/1,-75
2016/6/2,-80
2016/6/3,-20
2016/6/6,-70
2016/6/7,-80
2016/6/8,-100
2016/6/13,-20
2016/6/14,-50
2016/6/15,-30
2016/6/16,-50
2016/6/17,-50
2016/6/20,-100
2016/6/21,-70
2016/6/22,-50
2016/6/23,20
2016/6/24,100
2016/6/27,80
2016/6/28,-50
2016/6/29,-50
2016/6/30,-50
2016/7/1,-50
2016/7/4,50
2016/7/5,100
2016/7/6,100
2016/7/7,100
2016/7/8,200
2016/7/11,200
2016/7/12,100
2016/7/13,80
2016/7/14,100
2016/7/15,100
2016/7/18,-20
2016/7/19,0
2016/7/20,150
2016/7/21,150
2016/7/22,150
2016/7/25,220
2016/7/26,250
2016/7/27,200
2016/7/28,200
2016/7/29,200
2016/8/1,150
2016/8/2,150
2016/8/3,150
2016/8/4,250
2016/8/5,250
2016/8/8,250
2016/8/9,250
2016/8/10,100
2016/8/11,100
2016/8/12,130
2016/8/15,100
2016/8/16,70
2016/8/17,70
2016/8/18,50
2016/8/19,-50
2016/8/22,-100
2016/8/23,-100
2016/8/24,-100
2016/8/25,-150
2016/8/26,-150
2016/8/29,-150
2016/8/30,-150
2016/8/31,-150
2016/9/1,-100
2016/9/2,-100
2016/9/5,0
2016/9/6,100
2016/9/7,150
2016/9/8,150
2016/9/9,150
2016/9/12,150
2016/9/13,150
2016/9/14,200
2016/9/18,200
2016/9/19,300
2016/9/20,250
2016/9/21,250
2016/9/22,250
2016/9/23,300
2016/9/26,300
2016/9/27,350
2016/9/28,350
2016/9/29,100
2016/9/30,150
2016/10/8,50
2016/10/9,0
2016/10/10,-190
2016/10/11,-170
2016/10/12,-150
2016/10/13,-170
2016/10/14,-270
2016/10/17,-250
2016/10/18,-270
2016/10/19,-170
2016/10/20,-100
2016/10/21,-150
2016/10/24,-150
2016/10/25,-200
2016/10/26,-230
2016/10/27,-200
2016/10/28,-150
2016/10/31,-100
2016/11/1,-350
2016/11/2,-370
2016/11/3,-350
2016/11/4,-430
2016/11/7,-380
2016/11/8,-380
2016/11/9,-300
2016/11/10,-320
2016/11/11,-300
2016/11/14,-300
2016/11/15,-350
2016/11/16,-300
2016/11/17,-400
2016/11/18,-430
2016/11/21,-220
2016/11/22,-200
2016/11/23,-250
2016/11/24,-120
2016/11/25,-100
2016/11/28,-200
2016/11/29,-130
2016/11/30,-130
2016/12/1,-100
2016/12/2,-50
2016/12/5,-50
2016/12/6,0
2016/12/7,-50
2016/12/8,-170
2016/12/9,-200
2016/12/12,-250
2016/12/13,-100
2016/12/14,-50
2016/12/15,-50
2016/12/16,-100
2016/12/19,-100
2016/12/20,-100
2016/12/21,-100
2016/12/22,-270
2016/12/23,-300
2016/12/26,-350
2016/12/27,-350
2016/12/28,-200
2016/12/29,-250
2016/12/30,-250
2017/1/3,-300
2017/1/4,-170
2017/1/5,-250
2017/1/6,-320
2017/1/9,-300
2017/1/10,-350
2017/1/11,-370
2017/1/12,-330
2017/1/13,-330
2017/1/16,-350
2017/1/17,-350
2017/1/18,-350
2017/1/19,-370
2017/1/20,-300
2017/1/23,-300
2017/1/24,-250
2017/1/25,-300
2017/1/26,-300
2017/2/3,-300
2017/2/6,-100
2017/2/7,-100
2017/2/8,-200
2017/2/9,-150
2017/2/10,-100
2017/2/13,-200
2017/2/14,-250
2017/2/15,-50
2017/2/16,150
2017/2/17,200
2017/2/20,150
2017/2/21,250
2017/2/22,250
2017/2/23,450
2017/2/24,350
2017/2/27,250
2017/2/28,200
2017/3/1,250
2017/3/2,300
2017/3/3,250
2017/3/6,200
2017/3/7,250
2017/3/8,500
2017/3/9,500
2017/3/10,750
2017/3/13,800
2017/3/14,750
2017/3/15,750
2017/3/16,700
2017/3/17,700
2017/3/20,700
2017/3/21,700
2017/3/22,900
2017/3/23,900
2017/3/24,990
2017/3/27,1150
2017/3/28,1100
2017/3/29,1050
2017/3/30,1020
2017/3/31,1050
2017/4/5,850
2017/4/6,800
2017/4/7,750
2017/4/10,610
2017/4/11,650
2017/4/12,650
2017/4/13,700
2017/4/14,500
2017/4/17,800
2017/4/18,850
2017/4/19,850
2017/4/20,850
2017/4/21,900
2017/4/24,900
2017/4/25,1000
2017/4/26,920
2017/4/27,920
2017/4/28,900
2017/5/2,800
2017/5/3,850
2017/5/4,850
2017/5/5,850
2017/5/8,870
2017/5/9,870
2017/5/10,800
2017/5/11,700
2017/5/12,650
2017/5/15,650
2017/5/16,470
2017/5/17,400
2017/5/18,420
2017/5/19,200
2017/5/22,320
2017/5/23,320
2017/5/24,250
2017/5/25,270
2017/5/26,330
2017/5/31,300
2017/6/1,250
2017/6/2,300
2017/6/5,300
2017/6/6,300
2017/6/7,350
2017/6/8,200
2017/6/9,200
2017/6/12,150
2017/6/13,100
2017/6/14,150
2017/6/15,230
2017/6/16,100
2017/6/19,50
2017/6/20,100
2017/6/21,50
2017/6/22,100
2017/6/23,-50
2017/6/26,0
2017/6/27,0
2017/6/28,-50
2017/6/29,0
2017/6/30,0
2017/7/3,-50
2017/7/4,50
2017/7/5,70
2017/7/6,-50
2017/7/7,-100
2017/7/10,-20
2017/7/11,-100
2017/7/12,0
2017/7/13,0
2017/7/14,0
2017/7/17,0
2017/7/18,-20
2017/7/19,-50
2017/7/20,-100
2017/7/21,0
2017/7/24,-50
2017/7/25,-250
2017/7/26,30
2017/7/27,0
2017/7/28,110
2017/7/31,50
2017/8/1,-50
2017/8/2,0
2017/8/3,70
2017/8/4,-150
2017/8/7,-250
2017/8/8,-100
2017/8/9,-100
2017/8/10,-120
2017/8/11,100
2017/8/14,0
2017/8/15,102.85
2017/8/16,40
2017/8/17,-50
2017/8/18,-50
2017/8/21,-70
2017/8/22,-70
2017/8/23,-100
2017/8/24,-50
2017/8/25,0
2017/8/28,0
2017/8/29,-50
2017/8/30,50
2017/8/31,50
2017/9/1,100
2017/9/4,-100
2017/9/5,-100
2017/9/6,20
2017/9/7,140
2017/9/8,0
2017/9/11,150
2017/9/12,150
2017/9/13,120
2017/9/14,450
2017/9/15,500
2017/9/18,300
2017/9/19,280
2017/9/20,250
2017/9/21,400
2017/9/22,350
2017/9/25,250
2017/9/26,300
2017/9/27,300
2017/9/28,400
2017/9/29,400
2017/10/9,300
2017/10/10,280
2017/10/11,370
2017/10/12,380
2017/10/13,280
2017/10/16,250
2017/10/17,200
2017/10/18,150
2017/10/19,250
2017/10/20,50
2017/10/23,50
2017/10/24,50
2017/10/25,0
2017/10/26,100
2017/10/27,150
2017/10/30,100
2017/10/31,0
2017/11/1,0
2017/11/2,0
2017/11/3,-100
2017/11/6,20
2017/11/7,50
2017/11/8,100
2017/11/9,-30
2017/11/10,50
2017/11/13,-50
2017/11/14,40
2017/11/15,50
2017/11/16,100
2017/11/17,100
2017/11/20,-50
2017/11/21,0
2017/11/22,-80
2017/11/23,-10
2017/11/24,0
2017/11/27,0
2017/11/28,-50
2017/11/29,-100
2017/11/30,100
2017/12/1,100
2017/12/4,-10
2017/12/5,0
2017/12/6,0
2017/12/7,50
2017/12/8,-100
2017/12/11,-50
2017/12/12,0
2017/12/13,0
2017/12/14,0
2017/12/15,100
2017/12/18,50
2017/12/19,130
2017/12/20,100
2017/12/21,-50
2017/12/22,50
2017/12/25,200
2017/12/26,0
2017/12/27,-70
2017/12/28,-70
2017/12/29,-70
2018/1/2,0
2018/1/3,50
2018/1/4,50
2018/1/5,0
2018/1/8,0
2018/1/9,50
2018/1/10,0
2018/1/11,0
2018/1/12,0
2018/1/15,-50
2018/1/16,250
2018/1/17,300
2018/1/18,300
2018/1/19,350
2018/1/22,250
2018/1/23,300
2018/1/24,350
2018/1/25,200
2018/1/26,200
2018/1/29,230
2018/1/30,280
2018/1/31,380
2018/2/1,380
2018/2/2,430
2018/2/5,580
2018/2/6,580
2018/2/7,580
2018/2/8,580
2018/2/9,450
2018/2/12,450
2018/2/13,450
2018/2/14,450
2018/2/22,500
2018/2/23,605
2018/2/26,580
2018/2/27,600
2018/2/28,600
2018/3/1,450
2018/3/2,400
2018/3/5,400
2018/3/6,520
2018/3/7,580
2018/3/8,610
2018/3/9,570
2018/3/12,540
2018/3/13,500
2018/3/14,420
2018/3/15,400
2018/3/16,450
2018/3/19,370
2018/3/20,350
2018/3/21,400
2018/3/22,400
2018/3/23,500
2018/3/26,510
2018/3/27,400
2018/3/28,380
2018/3/29,520
2018/3/30,350
2018/4/2,370
2018/4/3,380
2018/4/4,430
2018/4/9,400
2018/4/10,400
2018/4/11,400
2018/4/12,450
2018/4/13,400
2018/4/16,400
2018/4/17,370
2018/4/18,400
2018/4/19,230
2018/4/20,230
2018/4/23,250
2018/4/24,200
2018/4/25,200
2018/4/26,200
2018/4/27,250
2018/5/2,220
2018/5/3,200
2018/5/4,200
2018/5/7,220
2018/5/8,200
2018/5/9,200
2018/5/10,250
2018/5/11,250
2018/5/14,200
2018/5/15,200
2018/5/16,200
2018/5/17,270
2018/5/18,300
2018/5/21,300
2018/5/22,300
2018/5/23,350
2018/5/24,450
2018/5/25,450
2018/5/28,500
2018/5/29,500
2018/5/30,550
2018/5/31,550
2018/6/1,500
2018/6/4,450
2018/6/5,500
2018/6/6,550
2018/6/7,550
2018/6/8,650
2018/6/11,700
2018/6/12,700
2018/6/13,720
2018/6/14,670
2018/6/15,750
2018/6/19,800
2018/6/20,800
2018/6/21,750
2018/6/22,850
2018/6/25,800
2018/6/26,750
2018/6/27,700
2018/6/28,700
2018/6/29,650
2018/7/2,700
2018/7/3,700
2018/7/4,720
2018/7/5,750
2018/7/6,750
2018/7/9,830
2018/7/10,780
2018/7/11,800
2018/7/12,850
2018/7/13,800
2018/7/16,800
2018/7/17,850
2018/7/18,850
2018/7/19,900
2018/7/20,950
2018/7/23,1000
2018/7/24,1050
2018/7/25,1000
2018/7/26,1050
2018/7/27,1050
2018/7/30,1000
2018/7/31,1070
2018/8/1,1050
2018/8/2,1050
2018/8/3,1000
2018/8/6,1000
2018/8/7,1000
2018/8/8,1050
2018/8/9,1000
2018/8/10,1000
2018/8/13,950
2018/8/14,950
2018/8/15,950
2018/8/16,850
2018/8/17,900
2018/8/20,950
2018/8/21,850
2018/8/22,850
2018/8/23,850
2018/8/24,950
2018/8/27,1000
2018/8/28,950
2018/8/29,1000
2018/8/30,1000
2018/8/31,1150
2018/9/3,1120
2018/9/4,1050
2018/9/5,1050
2018/9/6,1050
2018/9/7,1020
2018/9/10,950
2018/9/11,950
2018/9/12,990
2018/9/13,900
2018/9/14,900
2018/9/17,900
2018/9/18,850
2018/9/19,800
2018/9/20,800
2018/9/21,800
2018/9/25,800
2018/9/26,900
2018/9/27,750
2018/9/28,750
2018/10/8,770
2018/10/9,720
2018/10/10,700
2018/10/11,770
2018/10/12,750
2018/10/15,750
2018/10/16,870
2018/10/17,870
2018/10/18,800
2018/10/19,800
2018/10/22,870
2018/10/23,900
2018/10/24,870
2018/10/25,950
2018/10/26,950
2018/10/29,950
2018/10/30,900
2018/10/31,750
2018/11/1,800
2018/11/2,800
2018/11/5,750
2018/11/6,700
2018/11/7,700
2018/11/8,700
2018/11/9,680
2018/11/12,500
2018/11/13,200
2018/11/14,80
2018/11/15,-100
2018/11/16,-170
2018/11/19,-220
2018/11/20,-150
2018/11/21,-280
2018/11/22,-250
2018/11/23,-100
2018/11/26,-150
2018/11/27,-250
2018/11/28,-300
2018/11/29,-250
2018/11/30,-350
2018/12/3,-250
2018/12/4,-50
2018/12/5,-80
2018/12/6,-150
2018/12/7,-250
2018/12/10,-300
2018/12/11,-200
2018/12/12,-450
2018/12/13,-450
2018/12/14,-450
2018/12/17,-450
2018/12/18,-350
2018/12/19,-250
2018/12/20,-350
2018/12/21,-300
2018/12/24,-250
2018/12/25,-200
2018/12/26,-150
2018/12/27,-200
2018/12/28,-150
2019/1/2,-130
2019/1/3,0
2019/1/4,100
2019/1/7,50
2019/1/8,100
2019/1/9,170
2019/1/10,170
2019/1/11,180
2019/1/14,160
2019/1/15,230
2019/1/16,270
2019/1/17,250
2019/1/18,240
2019/1/21,150
2019/1/22,150
2019/1/23,210
2019/1/24,90
2019/1/25,100
2019/1/28,50
2019/1/29,130
2019/1/30,170
2019/1/31,50
2019/2/1,50
2019/2/11,50
2019/2/12,220
2019/2/13,0
2019/2/14,0
2019/2/15,50
2019/2/18,50
2019/2/19,50
2019/2/20,50
2019/2/21,70
2019/2/22,90
2019/2/25,150
2019/2/26,100
2019/2/27,100
2019/2/28,140
2019/3/1,80
2019/3/4,0
2019/3/5,0
2019/3/6,-50
