date,PP_feibiao
2015/6/24,650
2015/6/25,600
2015/6/26,550
2015/6/29,600
2015/6/30,600
2015/7/1,700
2015/7/2,700
2015/7/3,700
2015/7/6,600
2015/7/7,900
2015/7/8,850
2015/7/9,850
2015/7/10,750
2015/7/13,750
2015/7/14,750
2015/7/15,750
2015/7/16,750
2015/7/17,750
2015/7/20,750
2015/7/21,700
2015/7/22,720
2015/7/23,550
2015/7/24,600
2015/7/27,650
2015/7/28,700
2015/7/29,750
2015/7/30,700
2015/7/31,800
2015/8/3,820
2015/8/4,750
2015/8/5,600
2015/8/6,600
2015/8/7,550
2015/8/10,400
2015/8/11,200
2015/8/12,350
2015/8/13,400
2015/8/14,650
2015/8/17,750
2015/8/18,850
2015/8/19,550
2015/8/20,550
2015/8/21,600
2015/8/24,750
2015/8/25,650
2015/8/26,550
2015/8/27,600
2015/8/28,500
2015/8/31,450
2015/9/1,450
2015/9/2,500
2015/9/7,700
2015/9/8,900
2015/9/9,850
2015/9/10,800
2015/9/11,700
2015/9/14,800
2015/9/15,850
2015/9/16,700
2015/9/17,700
2015/9/18,750
2015/9/21,750
2015/9/22,800
2015/9/23,800
2015/9/24,700
2015/9/25,750
2015/9/28,750
2015/9/29,850
2015/9/30,850
2015/10/8,700
2015/10/9,650
2015/10/12,800
2015/10/13,900
2015/10/14,1000
2015/10/15,1050
2015/10/16,1100
2015/10/19,1100
2015/10/20,1050
2015/10/21,1050
2015/10/22,1100
2015/10/23,1100
2015/10/26,850
2015/10/27,850
2015/10/28,900
2015/10/29,800
2015/10/30,900
2015/11/2,900
2015/11/3,950
2015/11/4,900
2015/11/5,1000
2015/11/6,850
2015/11/9,950
2015/11/10,800
2015/11/11,900
2015/11/12,900
2015/11/13,950
2015/11/16,1050
2015/11/17,1050
2015/11/18,950
2015/11/19,900
2015/11/20,1050
2015/11/23,1200
2015/11/24,1100
2015/11/25,1300
2015/11/26,1200
2015/11/27,1100
2015/11/30,1150
2015/12/1,1350
2015/12/2,1450
2015/12/3,1500
2015/12/4,1530
2015/12/7,1500
2015/12/8,1300
2015/12/9,1250
2015/12/10,1250
2015/12/11,1350
2015/12/14,1400
2015/12/15,1250
2015/12/16,1150
2015/12/17,1100
2015/12/18,1075
2015/12/21,1100
2015/12/22,1000
2015/12/23,950
2015/12/24,1000
2015/12/25,950
2015/12/28,1000
2015/12/29,1050
2015/12/30,1050
2015/12/31,1100
2016/1/4,1500
2016/1/5,1460
2016/1/6,1550
2016/1/7,1200
2016/1/8,1250
2016/1/11,1200
2016/1/12,1130
2016/1/13,1130
2016/1/14,1000
2016/1/15,950
2016/1/18,980
2016/1/19,1050
2016/1/20,1000
2016/1/21,850
2016/1/22,850
2016/1/25,850
2016/1/26,900
2016/1/27,950
2016/1/28,1000
2016/1/29,1000
2016/2/1,1000
2016/2/2,1000
2016/2/3,1000
2016/2/4,1000
2016/2/5,950
2016/2/15,830
2016/2/16,780
2016/2/17,900
2016/2/18,730
2016/2/19,680
2016/2/22,680
2016/2/23,700
2016/2/24,670
2016/2/25,680
2016/2/26,630
2016/2/29,630
2016/3/1,650
2016/3/2,600
2016/3/3,700
2016/3/4,600
2016/3/7,575
2016/3/8,575
2016/3/9,550
2016/3/10,600
2016/3/11,680
2016/3/14,730
2016/3/15,750
2016/3/16,700
2016/3/17,550
2016/3/18,500
2016/3/21,450
2016/3/22,700
2016/3/23,730
2016/3/24,630
2016/3/25,650
2016/3/28,780
2016/3/29,750
2016/3/30,750
2016/3/31,780
2016/4/1,800
2016/4/5,650
2016/4/6,950
2016/4/7,900
2016/4/8,1030
2016/4/11,900
2016/4/12,950
2016/4/13,920
2016/4/14,870
2016/4/15,920
2016/4/18,800
2016/4/19,900
2016/4/20,880
2016/4/21,820
2016/4/22,910
2016/4/25,730
2016/4/26,680
2016/4/27,580
2016/4/28,680
2016/4/29,670
2016/5/3,680
2016/5/4,780
2016/5/5,650
2016/5/6,700
2016/5/9,670
2016/5/10,720
2016/5/11,550
2016/5/12,550
2016/5/13,630
2016/5/16,550
2016/5/17,590
2016/5/18,640
2016/5/19,640
2016/5/20,660
2016/5/23,740
2016/5/24,680
2016/5/25,700
2016/5/26,630
2016/5/27,730
2016/5/30,680
2016/5/31,630
2016/6/1,630
2016/6/2,580
2016/6/3,570
2016/6/6,650
2016/6/7,600
2016/6/8,700
2016/6/13,680
2016/6/14,700
2016/6/15,680
2016/6/16,690
2016/6/17,660
2016/6/20,620
2016/6/21,530
2016/6/22,520
2016/6/23,530
2016/6/24,500
2016/6/27,400
2016/6/28,220
2016/6/29,330
2016/6/30,350
2016/7/1,450
2016/7/4,200
2016/7/5,350
2016/7/6,300
2016/7/7,250
2016/7/8,400
2016/7/11,270
2016/7/12,130
2016/7/13,150
2016/7/14,100
2016/7/15,150
2016/7/18,150
2016/7/19,180
2016/7/20,80
2016/7/21,30
2016/7/22,50
2016/7/25,150
2016/7/26,70
2016/7/27,80
2016/7/28,10
2016/7/29,40
2016/8/1,80
2016/8/2,80
2016/8/3,80
2016/8/4,70
2016/8/5,100
2016/8/8,100
2016/8/9,150
2016/8/10,150
2016/8/11,170
2016/8/12,180
2016/8/15,250
2016/8/16,220
2016/8/17,240
2016/8/18,250
2016/8/19,320
2016/8/22,350
2016/8/23,350
2016/8/24,300
2016/8/25,350
2016/8/26,400
2016/8/29,370
2016/8/30,400
2016/8/31,430
2016/9/1,450
2016/9/2,450
2016/9/5,430
2016/9/6,450
2016/9/7,450
2016/9/8,520
2016/9/9,550
2016/9/12,580
2016/9/13,700
2016/9/14,700
