日期,PP
2013/1/4,-0.021434
2013/1/7,-0.026035
2013/1/8,-0.035363
2013/1/9,-0.040776
2013/1/10,-0.040368
2013/1/11,-0.057124
2013/1/14,-0.069499
2013/1/15,-0.079115
2013/1/16,-0.077741
2013/1/17,-0.077453
2013/1/18,-0.06646
2013/1/21,-0.074883
2013/1/22,-0.075255
2013/1/23,-0.069978
2013/1/24,-0.070617
2013/1/25,-0.067062
2013/1/28,-0.059068
2013/1/29,-0.056966
2013/1/30,-0.057331
2013/1/31,-0.057547
2013/2/1,-0.072598
2013/2/4,-0.057158
2013/2/5,-0.056975
2013/2/6,-0.057373
2013/2/7,-0.058055
2013/2/8,-0.08149
2013/2/18,-0.079552
2013/2/19,-0.084782
2013/2/20,-0.09048
2013/2/21,-0.09048
2013/2/22,-0.101297
2013/2/25,-0.108963
2013/2/26,-0.111542
2013/2/27,-0.114133
2013/2/28,-0.114536
2013/3/1,-0.07959
2013/3/4,-0.086902
2013/3/5,-0.090179
2013/3/6,-0.09836
2013/3/7,-0.098722
2013/3/8,-0.083254
2013/3/11,-0.088173
2013/3/12,-0.089691
2013/3/13,-0.090016
2013/3/14,-0.090427
2013/3/15,-0.067589
2013/3/18,-0.054138
2013/3/19,-0.052319
2013/3/20,-0.046304
2013/3/21,-0.047127
2013/3/22,-0.054072
2013/3/25,-0.056214
2013/3/26,-0.056646
2013/3/27,-0.05865
2013/3/28,-0.058949
2013/3/29,-0.059232
2013/4/1,-0.061029
2013/4/2,-0.06128
2013/4/3,-0.060946
2013/4/8,-0.060629
2013/4/9,-0.068573
2013/4/10,-0.07132
2013/4/11,-0.071573
2013/4/12,-0.05952
2013/4/15,-0.056754
2013/4/16,-0.070548
2013/4/17,-0.073523
2013/4/18,-0.078734
2013/4/19,-0.061163
2013/4/22,-0.061848
2013/4/23,-0.06426
2013/4/24,-0.062735
2013/4/25,-0.047866
2013/4/26,-0.019381
2013/5/2,-0.020976
2013/5/3,-0.025127
2013/5/6,-0.011925
2013/5/7,-0.013109
2013/5/8,-0.012773
2013/5/9,-0.013093
2013/5/10,-0.029383
2013/5/13,-0.029774
2013/5/14,-0.030855
2013/5/15,-0.029354
