date,macro_inv
2008/3/31,5.775
2008/4/30,6.861
2008/5/31,7.713
2008/6/30,8.249
2008/7/31,8.403
2008/8/31,8.132
2008/9/30,7.419
2008/10/31,6.273
2008/11/30,4.734
2008/12/31,2.866
2009/1/31,0.752
2009/2/28,-1.507
2009/3/31,-3.804
2009/4/30,-6.031
2009/5/31,-8.085
2009/6/30,-9.881
2009/7/31,-11.347
2009/8/31,-12.436
2009/9/30,-13.122
2009/10/31,-13.403
2009/11/30,-13.298
2009/12/31,-12.839
2010/1/31,-12.073
2010/2/28,-11.054
2010/3/31,-9.838
2010/4/30,-8.477
2010/5/31,-7.019
2010/6/30,-5.505
2010/7/31,-3.965
2010/8/31,-2.424
2010/9/30,-0.897
2010/10/31,0.603
2010/11/30,2.068
2010/12/31,3.486
2011/1/31,4.845
2011/2/28,6.128
2011/3/31,7.314
2011/4/30,8.377
2011/5/31,9.288
2011/6/30,10.017
2011/7/31,10.538
2011/8/31,10.828
2011/9/30,10.871
2011/10/31,10.66
2011/11/30,10.202
2011/12/31,9.512
2012/1/31,8.618
2012/2/29,7.556
2012/3/31,6.372
2012/4/30,5.112
2012/5/31,3.827
2012/6/30,2.563
2012/7/31,1.363
2012/8/31,0.262
2012/9/30,-0.715
2012/10/31,-1.55
2012/11/30,-2.236
2012/12/31,-2.773
2013/1/31,-3.168
2013/2/28,-3.431
2013/3/31,-3.575
2013/4/30,-3.614
2013/5/31,-3.56
2013/6/30,-3.422
2013/7/31,-3.207
2013/8/31,-2.92
2013/9/30,-2.563
2013/10/31,-2.138
2013/11/30,-1.651
2013/12/31,-1.105
2014/1/31,-0.513
2014/2/28,0.114
2014/3/31,0.755
2014/4/30,1.388
2014/5/31,1.985
2014/6/30,2.52
2014/7/31,2.964
2014/8/31,3.29
2014/9/30,3.477
2014/10/31,3.51
2014/11/30,3.378
2014/12/31,3.08
2015/1/31,2.624
2015/2/28,2.022
2015/3/31,1.296
2015/4/30,0.47
2015/5/31,-0.427
2015/6/30,-1.365
2015/7/31,-2.314
2015/8/31,-3.246
2015/9/30,-4.133
2015/10/31,-4.954
2015/11/30,-5.689
2015/12/31,-6.32
2016/1/31,-6.834
2016/2/29,-7.22
2016/3/31,-7.469
2016/4/30,-7.574
2016/5/31,-7.531
2016/6/30,-7.336
2016/7/31,-6.991
2016/8/31,-6.498
2016/9/30,-5.867
2016/10/31,-5.109
2016/11/30,-4.243
2016/12/31,-3.291
2017/1/31,-2.281
2017/2/28,-1.242
2017/3/31,-0.209
2017/4/30,0.787
2017/5/31,1.713
2017/6/30,2.544
2017/7/31,3.258
2017/8/31,3.841
2017/9/30,4.288
2017/10/31,4.601
2017/11/30,4.791
2017/12/31,4.877
2018/1/31,4.88
2018/2/28,4.825
2018/3/31,4.736
2018/4/30,4.635
2018/5/31,4.539
2018/6/30,4.457
2018/7/31,4.392
2018/8/31,4.339
2018/9/30,4.285
2018/10/31,4.214
2018/11/30,4.105
2018/12/31,3.939
2019/1/31,3.697699541
2019/2/28,3.369909827
2019/3/31,2.950497831
2019/4/30,2.443269086
2019/5/31,1.861004332
2019/6/30,1.224860608
2019/7/31,0.562831471
2019/8/31,-0.092588525
2019/9/30,
2019/10/31,
