date,chg_macro_inv
2008/4/30,1.086
2008/5/31,0.852
2008/6/30,0.536
2008/7/31,0.154
2008/8/31,-0.271
2008/9/30,-0.713
2008/10/31,-1.146
2008/11/30,-1.539
2008/12/31,-1.868
2009/1/31,-2.114
2009/2/28,-2.259
2009/3/31,-2.297
2009/4/30,-2.227
2009/5/31,-2.054
2009/6/30,-1.796
2009/7/31,-1.466
2009/8/31,-1.089
2009/9/30,-0.686
2009/10/31,-0.281
2009/11/30,0.105
2009/12/31,0.459
2010/1/31,0.766
2010/2/28,1.019
2010/3/31,1.216
2010/4/30,1.361
2010/5/31,1.458
2010/6/30,1.514
2010/7/31,1.54
2010/8/31,1.541
2010/9/30,1.527
2010/10/31,1.5
2010/11/30,1.465
2010/12/31,1.418
2011/1/31,1.359
2011/2/28,1.283
2011/3/31,1.186
2011/4/30,1.063
2011/5/31,0.911
2011/6/30,0.729
2011/7/31,0.521
2011/8/31,0.29
2011/9/30,0.043
2011/10/31,-0.211
2011/11/30,-0.458
2011/12/31,-0.69
2012/1/31,-0.894
2012/2/29,-1.062
2012/3/31,-1.184
2012/4/30,-1.26
2012/5/31,-1.285
2012/6/30,-1.264
2012/7/31,-1.2
2012/8/31,-1.101
2012/9/30,-0.977
2012/10/31,-0.835
2012/11/30,-0.686
2012/12/31,-0.537
2013/1/31,-0.395
2013/2/28,-0.263
2013/3/31,-0.144
2013/4/30,-0.039
2013/5/31,0.054
2013/6/30,0.138
2013/7/31,0.215
2013/8/31,0.287
2013/9/30,0.357
2013/10/31,0.425
2013/11/30,0.487
2013/12/31,0.546
2014/1/31,0.592
2014/2/28,0.627
2014/3/31,0.641
2014/4/30,0.633
2014/5/31,0.597
2014/6/30,0.535
2014/7/31,0.444
2014/8/31,0.326
2014/9/30,0.187
2014/10/31,0.033
2014/11/30,-0.132
2014/12/31,-0.298
2015/1/31,-0.456
2015/2/28,-0.602
2015/3/31,-0.726
2015/4/30,-0.826
2015/5/31,-0.897
2015/6/30,-0.938
2015/7/31,-0.949
2015/8/31,-0.932
2015/9/30,-0.887
2015/10/31,-0.821
2015/11/30,-0.735
2015/12/31,-0.631
2016/1/31,-0.514
2016/2/29,-0.386
2016/3/31,-0.249
2016/4/30,-0.105
2016/5/31,0.043
2016/6/30,0.195
2016/7/31,0.345
2016/8/31,0.493
2016/9/30,0.631
2016/10/31,0.758
2016/11/30,0.866
2016/12/31,0.952
2017/1/31,1.01
2017/2/28,1.039
2017/3/31,1.033
2017/4/30,0.996
2017/5/31,0.926
2017/6/30,0.831
2017/7/31,0.714
2017/8/31,0.583
2017/9/30,0.447
2017/10/31,0.313
2017/11/30,0.19
2017/12/31,0.086
2018/1/31,0.003
2018/2/28,-0.055
2018/3/31,-0.089
2018/4/30,-0.101
2018/5/31,-0.096
2018/6/30,-0.082
2018/7/31,-0.065
2018/8/31,-0.053
2018/9/30,-0.054
2018/10/31,-0.071
2018/11/30,-0.109
2018/12/31,-0.166
2019/1/31,-0.241300459
2019/2/28,-0.327789714
2019/3/31,-0.419411996
2019/4/30,-0.507228745
2019/5/31,-0.582264754
2019/6/30,-0.636143724
2019/7/31,-0.662029137
2019/8/31,-0.655419996
