dt,JMBF rmb
2014/3/21,690.0
2014/3/24,690.0
2014/3/25,695.0
2014/3/26,705.0
2014/3/27,710.0
2014/3/28,710.0
2014/3/31,710.0
2014/4/1,725.0
2014/4/2,745.0
2014/4/3,740.0
2014/4/4,735.0
2014/4/8,745.0
2014/4/9,765.0
2014/4/10,775.0
2014/4/11,775.0
2014/4/14,775.0
2014/4/15,770.0
2014/4/16,765.0
2014/4/17,755.0
2014/4/18,755.0
2014/4/21,745.0
2014/4/22,740.0
2014/4/23,730.0
2014/4/24,725.0
2014/4/25,725.0
2014/4/28,725.0
2014/4/29,715.0
2014/4/30,705.0
2014/5/5,700.0
2014/5/6,700.0
2014/5/7,695.0
2014/5/8,690.0
2014/5/9,685.0
2014/5/12,685.0
2014/5/13,675.0
2014/5/14,675.0
2014/5/15,675.0
2014/5/16,675.0
2014/5/19,675.0
2014/5/20,665.0
2014/5/21,660.0
2014/5/22,655.0
2014/5/23,655.0
2014/5/26,655.0
2014/5/27,655.0
2014/5/28,650.0
2014/5/29,645.0
2014/5/30,645.0
2014/6/3,635.0
2014/6/4,630.0
2014/6/5,625.0
2014/6/6,625.0
2014/6/9,625.0
2014/6/10,625.0
2014/6/11,620.0
2014/6/12,615.0
2014/6/13,605.0
2014/6/16,585.0
2014/6/17,585.0
2014/6/18,580.0
2014/6/19,580.0
2014/6/20,580.0
2014/6/23,580.0
2014/6/24,590.0
2014/6/25,595.0
2014/6/26,600.0
2014/6/27,610.0
2014/6/30,610.0
2014/7/1,605.0
2014/7/2,600.0
2014/7/3,605.0
2014/7/4,620.0
2014/7/7,625.0
2014/7/8,625.0
2014/7/9,625.0
2014/7/10,625.0
2014/7/11,625.0
2014/7/14,630.0
2014/7/15,635.0
2014/7/16,635.0
2014/7/17,640.0
2014/7/18,640.0
2014/7/21,635.0
2014/7/22,625.0
2014/7/23,620.0
2014/7/24,620.0
2014/7/25,615.0
2014/7/28,615.0
2014/7/29,615.0
2014/7/30,620.0
2014/7/31,620.0
2014/8/1,620.0
2014/8/4,620.0
2014/8/5,620.0
2014/8/6,625.0
2014/8/7,625.0
2014/8/8,625.0
2014/8/11,625.0
2014/8/12,620.0
2014/8/13,615.0
2014/8/14,610.0
2014/8/15,605.0
2014/8/18,605.0
2014/8/19,600.0
2014/8/20,600.0
2014/8/21,600.0
2014/8/22,595.0
2014/8/25,590.0
2014/8/26,585.0
2014/8/27,585.0
2014/8/28,585.0
2014/8/29,580.0
2014/9/1,580.0
2014/9/2,580.0
2014/9/3,580.0
2014/9/4,570.0
2014/9/5,565.0
2014/9/9,555.0
2014/9/10,555.0
2014/9/11,550.0
2014/9/12,545.0
2014/9/15,550.0
2014/9/16,570.0
2014/9/17,570.0
2014/9/18,565.0
