dt,NHGF rmb
2013/1/4,1040.0
2013/1/7,1085.0
2013/1/8,1085.0
2013/1/9,1095.0
2013/1/10,1095.0
2013/1/11,1085.0
2013/1/14,1075.0
2013/1/15,1065.0
2013/1/16,1055.0
2013/1/17,1040.0
2013/1/18,1015.0
2013/1/21,1015.0
2013/1/22,1025.0
2013/1/23,1030.0
2013/1/24,1035.0
2013/1/25,1040.0
2013/1/28,1040.0
2013/1/29,1040.0
2013/1/30,1040.0
2013/1/31,1040.0
2013/2/1,1040.0
2013/2/4,1040.0
2013/2/5,1055.0
2013/2/6,1055.0
2013/2/7,1055.0
2013/2/8,1055.0
2013/2/18,1075.0
2013/2/19,1085.0
2013/2/20,1095.0
2013/2/21,1095.0
2013/2/22,1085.0
2013/2/25,1075.0
2013/2/26,1065.0
2013/2/27,1060.0
2013/2/28,1060.0
2013/3/1,1055.0
2013/3/4,1055.0
2013/3/5,1050.0
2013/3/6,1040.0
2013/3/7,1040.0
2013/3/8,1040.0
2013/3/11,1040.0
2013/3/12,1035.0
2013/3/13,1025.0
2013/3/14,1015.0
2013/3/15,975.0
2013/3/18,975.0
2013/3/19,955.0
2013/3/20,950.0
2013/3/21,950.0
2013/3/22,950.0
2013/3/25,955.0
2013/3/26,955.0
2013/3/27,965.0
2013/3/28,975.0
2013/3/29,970.0
2013/4/1,965.0
2013/4/2,960.0
2013/4/3,960.0
2013/4/8,965.0
2013/4/9,975.0
2013/4/10,985.0
2013/4/11,995.0
2013/4/12,995.0
2013/4/15,995.0
2013/4/16,995.0
2013/4/17,985.0
2013/4/18,985.0
2013/4/19,985.0
2013/4/22,975.0
2013/4/23,970.0
2013/4/24,965.0
2013/4/25,965.0
2013/4/26,960.0
2013/5/2,950.0
2013/5/3,945.0
2013/5/6,935.0
2013/5/7,935.0
2013/5/8,935.0
2013/5/9,935.0
2013/5/10,935.0
2013/5/13,935.0
2013/5/14,925.0
2013/5/15,920.0
2013/5/16,915.0
2013/5/17,905.0
2013/5/20,900.0
2013/5/21,890.0
2013/5/22,890.0
2013/5/23,885.0
2013/5/24,885.0
2013/5/27,885.0
2013/5/28,870.0
2013/5/29,855.0
2013/5/30,845.0
2013/5/31,805.0
2013/6/3,805.0
2013/6/4,815.0
2013/6/5,830.0
2013/6/6,835.0
2013/6/7,825.0
2013/6/13,805.0
2013/6/14,815.0
2013/6/17,825.0
2013/6/18,840.0
2013/6/19,850.0
2013/6/20,865.0
2013/6/21,865.0
2013/6/24,855.0
2013/6/25,845.0
2013/6/26,835.0
2013/6/27,830.0
2013/6/28,835.0
2013/7/1,845.0
2013/7/2,850.0
2013/7/3,855.0
2013/7/4,865.0
2013/7/5,865.0
2013/7/8,865.0
2013/7/9,865.0
2013/7/10,865.0
2013/7/11,865.0
2013/7/12,875.0
2013/7/15,880.0
2013/7/16,885.0
2013/7/17,885.0
2013/7/18,890.0
2013/7/19,900.0
2013/7/22,895.0
2013/7/23,895.0
2013/7/24,895.0
2013/7/25,905.0
2013/7/26,905.0
2013/7/29,905.0
2013/7/30,900.0
2013/7/31,900.0
2013/8/1,895.0
2013/8/2,895.0
2013/8/5,895.0
2013/8/6,900.0
2013/8/7,905.0
2013/8/8,915.0
2013/8/9,915.0
2013/8/12,920.0
2013/8/13,930.0
2013/8/14,950.0
2013/8/15,965.0
2013/8/16,960.0
2013/8/19,950.0
2013/8/20,950.0
2013/8/21,950.0
2013/8/22,945.0
2013/8/23,940.0
2013/8/26,940.0
2013/8/27,945.0
2013/8/28,945.0
2013/8/29,950.0
2013/8/30,950.0
2013/9/2,945.0
2013/9/3,955.0
2013/9/4,955.0
2013/9/5,955.0
2013/9/6,950.0
2013/9/9,950.0
2013/9/10,950.0
2013/9/11,950.0
2013/9/12,950.0
2013/9/13,945.0
2013/9/16,945.0
2013/9/17,945.0
2013/9/18,940.0
2013/9/23,940.0
2013/9/24,940.0
2013/9/25,940.0
2013/9/26,935.0
2013/9/27,930.0
2013/9/30,930.0
2013/10/8,930.0
2013/10/9,925.0
2013/10/10,925.0
2013/10/11,930.0
2013/10/14,935.0
2013/10/15,935.0
2013/10/16,935.0
2013/10/17,935.0
2013/10/18,935.0
2013/10/21,935.0
2013/10/22,935.0
2013/10/23,930.0
2013/10/24,930.0
2013/10/25,925.0
2013/10/28,920.0
2013/10/29,920.0
2013/10/30,915.0
2013/10/31,915.0
2013/11/1,915.0
2013/11/4,920.0
2013/11/5,930.0
2013/11/6,930.0
2013/11/7,935.0
2013/11/8,935.0
2013/11/11,935.0
2013/11/12,930.0
2013/11/13,930.0
2013/11/14,930.0
2013/11/15,930.0
2013/11/18,930.0
2013/11/19,925.0
2013/11/20,920.0
2013/11/21,920.0
2013/11/22,920.0
2013/11/25,920.0
2013/11/26,920.0
2013/11/27,920.0
2013/11/28,920.0
2013/11/29,925.0
2013/12/2,925.0
2013/12/3,925.0
2013/12/4,925.0
2013/12/5,925.0
2013/12/6,925.0
2013/12/9,925.0
2013/12/10,925.0
2013/12/11,925.0
2013/12/12,925.0
2013/12/13,925.0
2013/12/16,925.0
2013/12/17,920.0
2013/12/18,920.0
2013/12/19,915.0
2013/12/20,910.0
2013/12/23,910.0
2013/12/24,905.0
2013/12/25,900.0
2013/12/26,900.0
2013/12/27,900.0
2013/12/30,900.0
2013/12/31,900.0
2014/1/2,905.0
2014/1/3,910.0
2014/1/6,915.0
2014/1/7,915.0
2014/1/8,915.0
2014/1/9,910.0
2014/1/10,910.0
2014/1/13,910.0
2014/1/14,910.0
2014/1/15,900.0
2014/1/16,895.0
2014/1/17,890.0
2014/1/20,885.0
2014/1/21,875.0
2014/1/22,870.0
2014/1/23,860.0
2014/1/24,860.0
2014/1/27,870.0
2014/1/28,870.0
2014/1/29,865.0
2014/1/30,865.0
2014/2/7,865.0
2014/2/10,855.0
2014/2/11,855.0
2014/2/12,845.0
2014/2/13,845.0
2014/2/14,845.0
