dt,YDF rmb
2013/1/4,925.0
2013/1/7,985.0
2013/1/8,985.0
2013/1/9,1000.0
2013/1/10,1000.0
2013/1/11,990.0
2013/1/14,980.0
2013/1/15,975.0
2013/1/16,965.0
2013/1/17,950.0
2013/1/18,935.0
2013/1/21,935.0
2013/1/22,945.0
2013/1/23,945.0
2013/1/24,950.0
2013/1/25,955.0
2013/1/28,955.0
2013/1/29,955.0
2013/1/30,955.0
2013/1/31,955.0
2013/2/1,955.0
2013/2/4,955.0
2013/2/5,970.0
2013/2/6,970.0
2013/2/7,970.0
2013/2/8,970.0
2013/2/18,990.0
2013/2/19,1000.0
2013/2/20,1010.0
2013/2/21,1010.0
2013/2/22,1000.0
2013/2/25,990.0
2013/2/26,985.0
2013/2/27,980.0
2013/2/28,980.0
2013/3/1,975.0
2013/3/4,975.0
2013/3/5,970.0
2013/3/6,960.0
2013/3/7,960.0
2013/3/8,960.0
2013/3/11,960.0
2013/3/12,955.0
2013/3/13,945.0
2013/3/14,935.0
2013/3/15,895.0
2013/3/18,895.0
2013/3/19,885.0
2013/3/20,880.0
2013/3/21,880.0
2013/3/22,880.0
2013/3/25,885.0
2013/3/26,885.0
2013/3/27,895.0
2013/3/28,905.0
2013/3/29,900.0
2013/4/1,895.0
2013/4/2,890.0
2013/4/3,890.0
2013/4/8,895.0
2013/4/9,900.0
2013/4/10,910.0
2013/4/11,915.0
2013/4/12,915.0
2013/4/15,915.0
2013/4/16,915.0
2013/4/17,905.0
2013/4/18,905.0
2013/4/19,905.0
2013/4/22,895.0
2013/4/23,890.0
2013/4/24,885.0
2013/4/25,885.0
2013/4/26,880.0
2013/5/2,865.0
2013/5/3,860.0
2013/5/6,850.0
2013/5/7,850.0
2013/5/8,850.0
2013/5/9,850.0
2013/5/10,850.0
2013/5/13,850.0
2013/5/14,840.0
2013/5/15,840.0
2013/5/16,835.0
2013/5/17,830.0
2013/5/20,820.0
2013/5/21,810.0
2013/5/22,810.0
2013/5/23,800.0
2013/5/24,800.0
2013/5/27,800.0
2013/5/28,785.0
2013/5/29,770.0
2013/5/30,760.0
2013/5/31,720.0
2013/6/3,720.0
2013/6/4,730.0
2013/6/5,745.0
2013/6/6,750.0
2013/6/7,740.0
2013/6/13,720.0
2013/6/14,730.0
2013/6/17,740.0
2013/6/18,750.0
2013/6/19,755.0
2013/6/20,765.0
2013/6/21,765.0
2013/6/24,755.0
2013/6/25,745.0
2013/6/26,735.0
2013/6/27,730.0
2013/6/28,735.0
2013/7/1,745.0
2013/7/2,755.0
2013/7/3,755.0
2013/7/4,765.0
2013/7/5,765.0
2013/7/8,765.0
2013/7/9,765.0
2013/7/10,765.0
2013/7/11,765.0
2013/7/12,775.0
2013/7/15,780.0
2013/7/16,785.0
2013/7/17,785.0
2013/7/18,785.0
2013/7/19,790.0
2013/7/22,785.0
2013/7/23,785.0
2013/7/24,785.0
2013/7/25,795.0
2013/7/26,795.0
2013/7/29,795.0
2013/7/30,795.0
2013/7/31,795.0
2013/8/1,795.0
2013/8/2,795.0
2013/8/5,795.0
2013/8/6,795.0
2013/8/7,800.0
2013/8/8,810.0
2013/8/9,810.0
2013/8/12,815.0
2013/8/13,825.0
2013/8/14,845.0
2013/8/15,860.0
2013/8/16,855.0
2013/8/19,845.0
2013/8/20,845.0
2013/8/21,845.0
2013/8/22,840.0
2013/8/23,835.0
2013/8/26,835.0
2013/8/27,840.0
2013/8/28,840.0
2013/8/29,845.0
2013/8/30,845.0
2013/9/2,840.0
2013/9/3,850.0
2013/9/4,850.0
2013/9/5,850.0
2013/9/6,845.0
2013/9/9,845.0
2013/9/10,845.0
2013/9/11,845.0
2013/9/12,845.0
2013/9/13,840.0
2013/9/16,840.0
2013/9/17,835.0
2013/9/18,830.0
2013/9/23,830.0
2013/9/24,830.0
2013/9/25,830.0
2013/9/26,825.0
2013/9/27,820.0
2013/9/30,820.0
2013/10/8,820.0
2013/10/9,815.0
2013/10/10,815.0
2013/10/11,820.0
2013/10/14,825.0
2013/10/15,825.0
2013/10/16,825.0
2013/10/17,825.0
2013/10/18,825.0
2013/10/21,820.0
2013/10/22,820.0
2013/10/23,815.0
2013/10/24,815.0
2013/10/25,810.0
2013/10/28,810.0
2013/10/29,810.0
2013/10/30,805.0
2013/10/31,805.0
2013/11/1,805.0
2013/11/4,805.0
2013/11/5,815.0
2013/11/6,815.0
2013/11/7,820.0
2013/11/8,820.0
2013/11/11,820.0
2013/11/12,815.0
2013/11/13,815.0
2013/11/14,815.0
2013/11/15,815.0
2013/11/18,815.0
2013/11/19,810.0
2013/11/20,805.0
2013/11/21,805.0
2013/11/22,805.0
2013/11/25,805.0
2013/11/26,805.0
2013/11/27,815.0
2013/11/28,815.0
2013/11/29,820.0
2013/12/2,820.0
2013/12/3,820.0
2013/12/4,825.0
2013/12/5,830.0
2013/12/6,830.0
2013/12/9,830.0
2013/12/10,830.0
2013/12/11,830.0
2013/12/12,830.0
2013/12/13,830.0
2013/12/16,830.0
2013/12/17,825.0
2013/12/18,825.0
2013/12/19,820.0
2013/12/20,815.0
2013/12/23,815.0
2013/12/24,810.0
2013/12/25,810.0
2013/12/26,810.0
2013/12/27,810.0
2013/12/30,810.0
2013/12/31,815.0
2014/1/2,820.0
2014/1/3,820.0
2014/1/6,820.0
2014/1/7,820.0
2014/1/8,815.0
2014/1/9,810.0
2014/1/10,810.0
2014/1/13,810.0
2014/1/14,810.0
2014/1/15,805.0
2014/1/16,800.0
2014/1/17,800.0
2014/1/20,795.0
2014/1/21,790.0
2014/1/22,785.0
2014/1/23,780.0
2014/1/24,780.0
2014/1/27,790.0
2014/1/28,785.0
2014/1/29,780.0
2014/1/30,780.0
2014/2/7,780.0
2014/2/10,775.0
2014/2/11,770.0
2014/2/12,765.0
2014/2/13,765.0
2014/2/14,765.0
2014/2/17,765.0
2014/2/18,765.0
2014/2/19,765.0
2014/2/20,765.0
2014/2/21,760.0
2014/2/24,755.0
2014/2/25,750.0
2014/2/26,740.0
2014/2/27,735.0
2014/2/28,730.0
2014/3/3,730.0
2014/3/4,725.0
2014/3/5,720.0
2014/3/6,710.0
2014/3/7,705.0
2014/3/10,700.0
2014/3/11,670.0
2014/3/12,655.0
2014/3/13,655.0
2014/3/14,660.0
2014/3/17,665.0
2014/3/18,665.0
2014/3/19,665.0
2014/3/20,660.0
2014/3/21,655.0
2014/3/24,655.0
2014/3/25,655.0
2014/3/26,660.0
2014/3/27,665.0
2014/3/28,665.0
2014/3/31,665.0
2014/4/1,680.0
2014/4/2,700.0
2014/4/3,690.0
2014/4/4,685.0
2014/4/8,695.0
2014/4/9,715.0
2014/4/10,725.0
2014/4/11,725.0
2014/4/14,725.0
2014/4/15,720.0
2014/4/16,715.0
2014/4/17,705.0
2014/4/18,705.0
2014/4/21,695.0
2014/4/22,690.0
2014/4/23,680.0
2014/4/24,675.0
2014/4/25,675.0
2014/4/28,675.0
2014/4/29,665.0
2014/4/30,655.0
2014/5/5,655.0
2014/5/6,650.0
2014/5/7,645.0
2014/5/8,645.0
2014/5/9,640.0
2014/5/12,640.0
2014/5/13,630.0
2014/5/14,630.0
2014/5/15,630.0
2014/5/16,625.0
2014/5/19,625.0
2014/5/20,615.0
2014/5/21,610.0
2014/5/22,610.0
2014/5/23,610.0
2014/5/26,600.0
2014/5/27,595.0
2014/5/28,590.0
2014/5/29,590.0
2014/5/30,585.0
2014/6/3,575.0
2014/6/4,565.0
2014/6/5,565.0
2014/6/6,565.0
2014/6/9,565.0
2014/6/10,565.0
2014/6/11,565.0
2014/6/12,560.0
2014/6/13,550.0
2014/6/16,540.0
2014/6/17,540.0
2014/6/18,535.0
2014/6/19,535.0
2014/6/20,535.0
2014/6/23,535.0
2014/6/24,545.0
2014/6/25,545.0
2014/6/26,545.0
2014/6/27,555.0
2014/6/30,555.0
2014/7/1,550.0
2014/7/2,545.0
2014/7/3,545.0
2014/7/4,560.0
2014/7/7,560.0
2014/7/8,560.0
2014/7/9,560.0
2014/7/10,560.0
2014/7/11,560.0
2014/7/14,560.0
2014/7/15,565.0
2014/7/16,565.0
2014/7/17,570.0
2014/7/18,570.0
2014/7/21,565.0
2014/7/22,560.0
2014/7/23,555.0
2014/7/24,550.0
2014/7/25,545.0
2014/7/28,545.0
2014/7/29,550.0
2014/7/30,555.0
2014/7/31,555.0
2014/8/1,555.0
2014/8/4,555.0
2014/8/5,555.0
2014/8/6,560.0
2014/8/7,560.0
2014/8/8,560.0
2014/8/11,560.0
2014/8/12,560.0
2014/8/13,555.0
2014/8/14,545.0
2014/8/15,540.0
2014/8/18,540.0
2014/8/19,540.0
2014/8/20,540.0
2014/8/21,540.0
2014/8/22,535.0
2014/8/25,535.0
2014/8/26,530.0
2014/8/27,530.0
2014/8/28,530.0
2014/8/29,525.0
2014/9/1,525.0
2014/9/2,525.0
2014/9/3,525.0
2014/9/4,520.0
2014/9/5,520.0
2014/9/9,510.0
2014/9/10,510.0
2014/9/11,505.0
2014/9/12,500.0
2014/9/15,505.0
2014/9/16,515.0
2014/9/17,515.0
2014/9/18,515.0
2014/9/19,515.0
2014/9/22,510.0
2014/9/23,505.0
2014/9/24,500.0
2014/9/25,495.0
2014/9/26,490.0
2014/9/29,490.0
2014/9/30,490.0
2014/10/8,500.0
2014/10/9,495.0
2014/10/10,495.0
2014/10/13,500.0
2014/10/14,510.0
2014/10/15,510.0
2014/10/16,510.0
2014/10/17,505.0
2014/10/20,500.0
2014/10/21,500.0
2014/10/22,500.0
2014/10/23,500.0
2014/10/24,495.0
2014/10/27,495.0
2014/10/28,490.0
