dt,bu cfr
2013/1/4,612.5
2013/1/7,612.5
2013/1/8,612.5
2013/1/9,612.5
2013/1/10,612.5
2013/1/11,612.5
2013/1/14,612.5
2013/1/15,612.5
2013/1/16,612.5
2013/1/17,612.5
2013/1/18,612.5
2013/1/21,615.0
2013/1/22,615.0
2013/1/23,615.0
2013/1/24,615.0
2013/1/25,620.0
2013/1/28,620.0
2013/1/29,620.0
2013/1/30,620.0
2013/1/31,620.0
2013/2/1,620.0
2013/2/4,625.0
2013/2/5,625.0
2013/2/6,625.0
2013/2/7,625.0
2013/2/8,625.0
2013/2/18,625.0
2013/2/19,625.0
2013/2/20,625.0
2013/2/21,625.0
2013/2/22,625.0
2013/2/25,625.0
2013/2/26,625.0
2013/2/27,625.0
2013/2/28,625.0
2013/3/1,625.0
2013/3/4,625.0
2013/3/5,625.0
2013/3/6,625.0
2013/3/7,625.0
2013/3/8,625.0
2013/3/11,625.0
2013/3/12,635.0
2013/3/13,635.0
2013/3/14,635.0
2013/3/15,635.0
2013/3/18,635.0
2013/3/19,635.0
2013/3/20,635.0
2013/3/21,635.0
2013/3/22,635.0
2013/3/25,635.0
2013/3/26,635.0
2013/3/27,635.0
2013/3/28,635.0
2013/3/29,635.0
2013/4/1,635.0
2013/4/2,635.0
2013/4/3,635.0
2013/4/4,635.0
2013/4/5,635.0
2013/4/8,635.0
2013/4/9,635.0
2013/4/10,635.0
2013/4/11,635.0
2013/4/12,635.0
2013/4/15,635.0
2013/4/16,635.0
2013/4/17,635.0
2013/4/18,635.0
2013/4/19,635.0
2013/4/22,635.0
2013/4/23,635.0
2013/4/24,635.0
2013/4/25,635.0
2013/4/26,635.0
2013/5/2,630.0
2013/5/3,630.0
2013/5/6,630.0
2013/5/7,630.0
2013/5/8,630.0
2013/5/9,630.0
2013/5/10,625.0
2013/5/13,625.0
2013/5/14,625.0
2013/5/15,625.0
2013/5/16,625.0
2013/5/17,625.0
2013/5/20,625.0
2013/5/21,625.0
2013/5/22,625.0
2013/5/23,625.0
2013/5/24,625.0
2013/5/27,625.0
2013/5/28,625.0
2013/5/29,625.0
2013/5/30,625.0
2013/5/31,625.0
2013/6/3,615.0
2013/6/4,615.0
2013/6/5,615.0
2013/6/6,615.0
2013/6/7,615.0
2013/6/13,615.0
2013/6/14,615.0
2013/6/17,615.0
2013/6/18,615.0
2013/6/19,615.0
2013/6/20,615.0
2013/6/21,615.0
2013/6/24,615.0
2013/6/25,615.0
2013/6/26,615.0
2013/6/27,615.0
2013/6/28,615.0
2013/7/1,615.0
2013/7/2,615.0
2013/7/3,615.0
2013/7/4,607.5
2013/7/5,607.5
2013/7/8,607.5
2013/7/9,607.5
2013/7/10,607.5
2013/7/11,607.5
2013/7/12,607.5
2013/7/15,607.5
2013/7/16,607.5
2013/7/17,607.5
2013/7/18,607.5
2013/7/19,607.5
2013/7/22,607.5
2013/7/23,607.5
2013/7/24,607.5
2013/7/25,607.5
2013/7/26,607.5
2013/7/29,607.5
2013/7/30,607.5
2013/7/31,607.5
2013/8/1,607.5
2013/8/2,607.5
2013/8/5,607.5
2013/8/6,607.5
2013/8/7,607.5
2013/8/8,607.5
2013/8/9,607.5
2013/8/12,607.5
2013/8/13,607.5
2013/8/14,607.5
2013/8/15,607.5
2013/8/16,607.5
2013/8/19,607.5
2013/8/20,607.5
2013/8/21,607.5
2013/8/22,607.5
2013/8/23,607.5
2013/8/26,607.5
2013/8/27,607.5
2013/8/28,607.5
2013/8/29,607.5
2013/8/30,607.5
2013/9/2,607.5
2013/9/3,607.5
2013/9/4,607.5
2013/9/5,607.5
2013/9/6,607.5
2013/9/9,607.5
2013/9/10,607.5
2013/9/11,607.5
2013/9/12,607.5
2013/9/13,607.5
2013/9/16,607.5
2013/9/17,607.5
2013/9/18,607.5
2013/9/23,607.5
2013/9/24,607.5
2013/9/25,607.5
2013/9/26,607.5
2013/9/27,607.5
2013/9/30,607.5
2013/10/8,607.5
2013/10/9,607.5
2013/10/10,607.5
2013/10/11,607.5
2013/10/14,607.5
2013/10/15,607.5
2013/10/16,607.5
2013/10/17,607.5
2013/10/18,607.5
2013/10/21,607.5
2013/10/22,607.5
2013/10/23,597.5
2013/10/24,597.5
2013/10/25,597.5
2013/10/28,597.5
2013/10/29,597.5
2013/10/30,597.5
2013/10/31,597.5
2013/11/1,597.5
2013/11/4,597.5
2013/11/5,597.5
2013/11/6,597.5
2013/11/7,585.0
2013/11/8,585.0
2013/11/11,585.0
2013/11/12,585.0
2013/11/13,585.0
2013/11/14,580.0
2013/11/15,580.0
2013/11/18,580.0
2013/11/19,580.0
2013/11/20,580.0
2013/11/21,580.0
2013/11/22,580.0
2013/11/25,580.0
2013/11/26,580.0
2013/11/27,580.0
2013/11/28,580.0
2013/11/29,580.0
2013/12/2,580.0
2013/12/3,575.0
2013/12/4,575.0
2013/12/5,575.0
2013/12/6,575.0
2013/12/9,575.0
2013/12/10,575.0
2013/12/11,575.0
2013/12/12,575.0
2013/12/13,575.0
2013/12/16,575.0
2013/12/17,575.0
2013/12/18,575.0
2013/12/19,575.0
2013/12/20,575.0
2013/12/23,575.0
2013/12/24,575.0
2013/12/25,575.0
2013/12/26,575.0
2013/12/27,575.0
2013/12/30,575.0
2013/12/31,570.0
2014/1/2,570.0
2014/1/3,570.0
2014/1/6,570.0
2014/1/7,570.0
2014/1/8,570.0
2014/1/9,570.0
2014/1/10,570.0
2014/1/13,570.0
2014/1/14,570.0
2014/1/15,570.0
2014/1/16,570.0
2014/1/17,570.0
2014/1/20,570.0
2014/1/21,570.0
2014/1/22,570.0
2014/1/23,570.0
2014/1/24,570.0
2014/1/27,570.0
2014/1/28,570.0
2014/1/29,570.0
2014/1/30,570.0
2014/2/7,570.0
2014/2/10,570.0
2014/2/11,570.0
2014/2/12,570.0
2014/2/13,570.0
2014/2/14,570.0
2014/2/17,570.0
2014/2/18,570.0
2014/2/19,570.0
2014/2/20,570.0
2014/2/21,570.0
2014/2/24,570.0
2014/2/25,570.0
2014/2/26,570.0
2014/2/27,570.0
2014/2/28,570.0
2014/3/3,570.0
2014/3/4,570.0
2014/3/5,570.0
2014/3/6,570.0
2014/3/7,570.0
2014/3/10,570.0
2014/3/11,570.0
2014/3/12,570.0
2014/3/13,570.0
2014/3/14,570.0
2014/3/17,570.0
2014/3/18,570.0
2014/3/19,570.0
2014/3/20,570.0
2014/3/21,570.0
2014/3/24,570.0
2014/3/25,570.0
2014/3/26,570.0
2014/3/27,570.0
2014/3/28,570.0
2014/3/31,570.0
2014/4/1,570.0
2014/4/2,570.0
2014/4/3,570.0
2014/4/4,570.0
2014/4/8,570.0
2014/4/9,570.0
2014/4/10,570.0
2014/4/11,570.0
2014/4/14,570.0
2014/4/15,570.0
2014/4/16,570.0
2014/4/17,570.0
2014/4/18,570.0
2014/4/21,570.0
2014/4/22,560.0
2014/4/23,560.0
2014/4/24,560.0
2014/4/25,560.0
2014/4/28,555.0
2014/4/29,555.0
2014/4/30,555.0
2014/5/5,555.0
2014/5/6,555.0
2014/5/7,555.0
2014/5/8,555.0
2014/5/9,555.0
2014/5/12,555.0
2014/5/13,555.0
2014/5/14,555.0
2014/5/15,555.0
2014/5/16,555.0
2014/5/19,555.0
2014/5/20,555.0
2014/5/21,555.0
