dt,hd rmb
2013/1/4,10700.0
2013/1/7,11000.0
2013/1/8,10950.0
2013/1/9,10850.0
2013/1/10,10850.0
2013/1/11,10850.0
2013/1/14,10850.0
2013/1/15,10850.0
2013/1/16,10850.0
2013/1/17,10850.0
2013/1/18,10850.0
2013/1/21,10800.0
2013/1/22,10800.0
2013/1/23,10800.0
2013/1/24,10800.0
2013/1/25,10800.0
2013/1/28,10800.0
2013/1/29,10800.0
2013/1/30,10800.0
2013/1/31,10800.0
2013/2/1,10800.0
2013/2/4,10800.0
2013/2/5,10800.0
2013/2/6,10800.0
2013/2/7,10800.0
2013/2/8,10800.0
2013/2/18,10850.0
2013/2/19,10850.0
2013/2/20,10850.0
2013/2/21,10800.0
2013/2/22,10800.0
2013/2/25,10750.0
2013/2/26,10750.0
2013/2/27,10750.0
2013/2/28,10750.0
2013/3/1,10750.0
2013/3/4,10750.0
2013/3/5,10750.0
2013/3/6,10750.0
2013/3/7,10750.0
2013/3/8,10750.0
2013/3/11,10700.0
2013/3/12,10700.0
2013/3/13,10700.0
2013/3/14,10650.0
2013/3/15,10625.0
2013/3/18,10600.0
2013/3/19,10625.0
2013/3/20,10700.0
2013/3/21,10750.0
2013/3/22,10750.0
2013/3/25,10750.0
2013/3/26,10750.0
2013/3/27,10750.0
2013/3/28,10750.0
2013/3/29,10725.0
2013/4/1,10725.0
2013/4/2,10725.0
2013/4/3,10800.0
2013/4/8,11000.0
2013/4/9,11100.0
2013/4/10,11100.0
2013/4/11,11150.0
2013/4/12,11150.0
2013/4/15,11100.0
2013/4/16,11100.0
2013/4/17,11100.0
2013/4/18,11100.0
2013/4/19,11100.0
2013/4/22,11100.0
2013/4/23,11050.0
2013/4/24,11000.0
2013/4/25,10950.0
2013/4/26,10950.0
2013/5/2,10925.0
2013/5/3,11000.0
2013/5/6,11050.0
2013/5/7,11050.0
2013/5/8,11100.0
2013/5/9,11175.0
2013/5/10,11200.0
2013/5/13,11200.0
2013/5/14,11200.0
2013/5/15,11200.0
2013/5/16,11200.0
2013/5/17,11200.0
2013/5/20,11200.0
2013/5/21,11200.0
2013/5/22,11200.0
2013/5/23,11100.0
2013/5/24,11100.0
2013/5/27,11100.0
2013/5/28,11100.0
2013/5/29,11100.0
2013/5/30,11200.0
2013/5/31,11200.0
2013/6/3,11200.0
2013/6/4,11200.0
2013/6/5,11200.0
2013/6/6,11200.0
2013/6/7,11200.0
2013/6/13,11200.0
2013/6/14,11200.0
2013/6/17,11250.0
2013/6/18,11200.0
2013/6/19,11150.0
2013/6/20,11150.0
2013/6/21,11150.0
2013/6/24,11150.0
2013/6/25,11100.0
2013/6/26,11100.0
2013/6/27,11000.0
2013/6/28,11000.0
2013/7/1,10900.0
2013/7/2,10900.0
2013/7/3,10925.0
2013/7/4,10950.0
2013/7/5,10925.0
2013/7/8,10925.0
2013/7/9,10925.0
2013/7/10,10925.0
2013/7/11,10925.0
2013/7/12,10900.0
2013/7/15,10900.0
2013/7/16,10900.0
2013/7/17,10950.0
2013/7/18,10950.0
2013/7/19,10950.0
2013/7/22,10950.0
2013/7/23,10950.0
2013/7/24,10950.0
2013/7/25,10950.0
2013/7/26,10950.0
2013/7/29,10950.0
2013/7/30,10950.0
2013/7/31,10950.0
2013/8/1,10950.0
2013/8/2,11000.0
2013/8/5,11000.0
2013/8/6,10900.0
2013/8/7,10900.0
2013/8/8,10875.0
2013/8/9,10850.0
2013/8/12,10750.0
2013/8/13,10750.0
2013/8/14,10730.0
2013/8/15,10730.0
2013/8/16,10730.0
2013/8/19,10725.0
2013/8/20,10600.0
2013/8/21,10600.0
2013/8/22,10650.0
2013/8/23,10650.0
2013/8/26,10700.0
2013/8/27,10725.0
2013/8/28,10800.0
2013/8/29,10950.0
2013/8/30,10950.0
