dt,ma cfr
2013-1-4,353.0
2013-1-7,354.0
2013-1-8,355.0
2013-1-9,354.0
2013-1-10,354.0
2013-1-11,355.0
2013-1-14,355.0
2013-1-15,356.0
2013-1-16,356.0
2013-1-17,356.0
2013-1-18,359.0
2013-1-21,359.0
2013-1-22,357.0
2013-1-23,358.0
2013-1-24,360.0
2013-1-25,361.0
2013-1-28,361.0
2013-1-29,362.0
2013-1-30,362.0
2013-1-31,363.0
2013-2-1,364.0
2013-2-4,366.0
2013-2-5,367.0
2013-2-6,367.0
2013-2-7,367.0
2013-2-8,367.0
2013-2-11,367.0
2013-2-12,367.0
2013-2-13,367.0
2013-2-14,367.0
2013-2-15,371.0
2013-2-18,371.0
2013-2-19,371.0
2013-2-20,373.0
2013-2-21,374.0
2013-2-22,374.0
2013-2-25,374.0
2013-2-26,373.0
2013-2-27,373.0
2013-2-28,374.0
2013-3-1,374.0
2013-3-4,372.0
2013-3-5,371.0
2013-3-6,370.5
2013-3-7,368.0
2013-3-8,368.0
2013-3-11,366.0
2013-3-12,367.0
2013-3-13,367.0
2013-3-14,367.0
2013-3-15,368.0
2013-3-18,367.0
2013-3-19,366.0
2013-3-20,365.0
2013-3-21,365.0
2013-3-22,365.0
2013-3-25,368.0
2013-3-26,367.0
2013-3-27,366.0
2013-3-28,366.0
2013-3-29,366.0
2013-4-1,365.0
2013-4-2,365.0
2013-4-3,365.0
2013-4-4,365.0
2013-4-5,366.0
2013-4-8,366.0
2013-4-9,366.0
2013-4-10,366.0
2013-4-11,367.0
2013-4-12,367.0
2013-4-15,366.0
2013-4-16,365.0
2013-4-17,365.0
2013-4-18,363.0
2013-4-19,362.0
2013-4-22,362.0
2013-4-23,361.0
2013-4-24,361.0
2013-4-25,361.0
2013-4-26,361.0
2013-4-29,361.0
2013-4-30,361.0
2013-5-1,361.0
2013-5-2,361.0
2013-5-3,362.0
2013-5-6,363.0
2013-5-7,364.0
2013-5-8,365.0
2013-5-9,366.0
2013-5-10,367.0
2013-5-13,368.0
2013-5-14,368.0
2013-5-15,367.0
2013-5-16,366.0
2013-5-17,367.0
2013-5-20,367.0
2013-5-21,368.0
2013-5-22,368.5
2013-5-23,368.5
2013-5-24,368.0
2013-5-27,368.0
2013-5-28,367.0
2013-5-29,366.5
2013-5-30,366.0
2013-5-31,366.0
2013-6-3,366.0
2013-6-4,365.0
2013-6-5,365.0
2013-6-6,363.0
2013-6-7,363.0
2013-6-10,363.0
2013-6-11,363.0
2013-6-12,363.0
2013-6-13,361.0
2013-6-14,358.0
2013-6-17,358.0
2013-6-18,358.0
2013-6-19,357.0
2013-6-20,356.0
2013-6-21,356.0
2013-6-24,355.5
2013-6-25,355.5
2013-6-26,355.0
2013-6-27,355.0
2013-6-28,355.0
2013-7-1,356.0
2013-7-2,356.0
2013-7-3,358.0
2013-7-4,358.0
2013-7-5,358.0
2013-7-8,358.0
2013-7-9,358.0
2013-7-10,358.0
