dt,ma rmb
2013/1/4,2720.0
2013/1/7,2725.0
2013/1/8,2740.0
2013/1/9,2735.0
2013/1/10,2730.0
2013/1/11,2740.0
2013/1/14,2735.0
2013/1/15,2730.0
2013/1/16,2715.0
2013/1/17,2735.0
2013/1/18,2765.0
2013/1/21,2810.0
2013/1/22,2795.0
2013/1/23,2800.0
2013/1/24,2775.0
2013/1/25,2770.0
2013/1/28,2775.0
2013/1/29,2775.0
2013/1/30,2800.0
2013/1/31,2795.0
2013/2/1,2790.0
2013/2/4,2800.0
2013/2/5,2815.0
2013/2/6,2815.0
2013/2/7,2840.0
2013/2/8,2840.0
2013/2/11,2840.0
2013/2/12,2840.0
2013/2/13,2840.0
2013/2/14,2840.0
2013/2/15,2840.0
2013/2/18,2865.0
2013/2/19,2855.0
2013/2/20,2865.0
2013/2/21,2815.0
2013/2/22,2815.0
2013/2/25,2800.0
2013/2/26,2785.0
2013/2/27,2785.0
2013/2/28,2775.0
2013/3/1,2785.0
2013/3/4,2760.0
2013/3/5,2775.0
2013/3/6,2775.0
2013/3/7,2760.0
2013/3/8,2755.0
2013/3/11,2735.0
2013/3/12,2735.0
2013/3/13,2720.0
2013/3/14,2710.0
2013/3/15,2725.0
2013/3/18,2725.0
2013/3/19,2725.0
2013/3/20,2725.0
2013/3/21,2730.0
2013/3/22,2720.0
2013/3/25,2735.0
2013/3/26,2730.0
2013/3/27,2735.0
2013/3/28,2725.0
2013/3/29,2735.0
2013/4/1,2720.0
2013/4/2,2710.0
2013/4/3,2715.0
2013/4/4,2715.0
2013/4/5,2715.0
2013/4/8,2715.0
2013/4/9,2715.0
2013/4/10,2720.0
2013/4/11,2710.0
2013/4/12,2705.0
2013/4/15,2695.0
2013/4/16,2675.0
2013/4/17,2675.0
2013/4/18,2665.0
2013/4/19,2665.0
2013/4/22,2650.0
2013/4/23,2635.0
2013/4/24,2627.5
2013/4/25,2625.0
2013/4/26,2635.0
2013/4/29,2635.0
2013/4/30,2635.0
2013/5/1,2635.0
2013/5/2,2645.0
2013/5/3,2655.0
2013/5/6,2675.0
2013/5/7,2675.0
2013/5/8,2675.0
2013/5/9,2700.0
2013/5/10,2685.0
2013/5/13,2685.0
2013/5/14,2675.0
2013/5/15,2675.0
2013/5/16,2650.0
2013/5/17,2650.0
2013/5/20,2650.0
2013/5/21,2650.0
2013/5/22,2650.0
2013/5/23,2630.0
2013/5/24,2620.0
2013/5/27,2600.0
2013/5/28,2620.0
2013/5/29,2625.0
2013/5/30,2620.0
2013/5/31,2630.0
2013/6/3,2625.0
2013/6/4,2625.0
2013/6/5,2620.0
2013/6/6,2610.0
2013/6/7,2605.0
2013/6/10,2605.0
2013/6/11,2605.0
2013/6/12,2605.0
2013/6/13,2600.0
2013/6/14,2590.0
2013/6/17,2580.0
2013/6/18,2590.0
2013/6/19,2585.0
2013/6/20,2580.0
2013/6/21,2580.0
2013/6/24,2570.0
2013/6/25,2555.0
2013/6/26,2555.0
2013/6/27,2545.0
2013/6/28,2520.0
2013/7/1,2520.0
2013/7/2,2535.0
2013/7/3,2535.0
2013/7/4,2540.0
2013/7/5,2545.0
2013/7/8,2540.0
2013/7/9,2550.0
2013/7/10,2580.0
2013/7/11,2585.0
2013/7/12,2625.0
2013/7/15,2605.0
2013/7/16,2610.0
2013/7/17,2610.0
2013/7/18,2620.0
2013/7/19,2670.0
2013/7/22,2660.0
2013/7/23,2670.0
2013/7/24,2655.0
