dt,meg cfr
2013/1/4,1217.0
2013/1/7,1215.0
2013/1/8,1202.0
2013/1/9,1190.0
2013/1/10,1190.0
2013/1/11,1180.0
2013/1/14,1180.0
2013/1/15,1173.0
2013/1/16,1165.0
2013/1/17,1168.0
2013/1/18,1178.0
2013/1/21,1176.0
2013/1/22,1169.0
2013/1/23,1166.0
2013/1/24,1166.0
2013/1/25,1163.0
2013/1/28,1168.0
2013/1/29,1173.0
2013/1/30,1177.0
2013/1/31,1173.0
2013/2/1,1179.0
2013/2/4,1187.0
2013/2/5,1190.0
2013/2/6,1190.0
2013/2/7,1190.0
2013/2/8,1190.0
2013/2/11,1190.0
2013/2/12,1190.0
2013/2/13,1190.0
2013/2/14,1190.0
2013/2/15,1190.0
2013/2/18,1183.0
2013/2/19,1166.0
2013/2/20,1159.0
2013/2/21,1128.0
2013/2/22,1144.0
2013/2/25,1141.0
2013/2/26,1108.0
2013/2/27,1080.0
2013/2/28,1075.0
2013/3/1,1045.0
2013/3/4,1036.0
2013/3/5,1054.0
2013/3/6,1055.0
2013/3/7,1042.0
2013/3/8,1050.0
2013/3/11,1054.0
2013/3/12,1034.0
2013/3/13,1020.0
2013/3/14,1028.0
2013/3/15,1055.0
2013/3/18,1042.0
2013/3/19,1030.0
2013/3/20,1030.0
2013/3/21,1033.0
2013/3/22,1018.0
2013/3/25,1002.0
2013/3/26,988.0
2013/3/27,985.0
2013/3/28,990.0
2013/3/29,992.0
2013/4/1,975.0
2013/4/2,988.0
2013/4/3,1007.0
2013/4/4,1007.0
2013/4/5,1007.0
2013/4/8,1002.0
2013/4/9,1011.0
2013/4/10,1032.0
2013/4/11,1030.0
2013/4/12,1027.0
2013/4/15,1012.0
2013/4/16,1037.0
2013/4/17,998.0
2013/4/18,975.0
2013/4/19,987.0
2013/4/22,990.0
2013/4/23,983.0
2013/4/24,984.0
2013/4/25,990.0
2013/4/26,987.0
2013/4/29,987.0
2013/4/30,987.0
2013/5/1,987.0
2013/5/2,978.0
2013/5/3,988.0
2013/5/6,995.0
2013/5/7,998.0
2013/5/8,1003.0
2013/5/9,1010.0
2013/5/10,1006.0
2013/5/13,1015.0
2013/5/14,1012.0
2013/5/15,1003.0
2013/5/16,1003.0
2013/5/17,1004.0
2013/5/20,1002.0
2013/5/21,1001.0
2013/5/22,1001.0
2013/5/23,995.0
2013/5/24,987.0
2013/5/27,985.0
2013/5/28,983.0
2013/5/29,980.0
2013/5/30,967.0
2013/5/31,955.0
2013/6/3,934.0
2013/6/4,942.0
2013/6/5,950.0
2013/6/6,949.0
2013/6/7,947.0
2013/6/11,947.0
2013/6/12,947.0
2013/6/13,950.0
2013/6/14,949.0
2013/6/17,955.0
2013/6/18,967.0
2013/6/19,968.0
2013/6/20,955.0
2013/6/21,953.0
2013/6/24,945.0
2013/6/25,945.0
2013/6/26,948.0
2013/6/27,940.0
2013/6/28,942.0
2013/7/1,955.0
2013/7/2,966.0
2013/7/3,970.0
2013/7/4,977.0
2013/7/5,982.0
2013/7/8,995.0
2013/7/9,1003.0
2013/7/10,1009.0
2013/7/11,1017.0
2013/7/12,1010.0
2013/7/15,1013.0
2013/7/16,1012.0
2013/7/17,1018.0
2013/7/18,1032.0
2013/7/19,1066.0
2013/7/22,1076.0
2013/7/23,1070.0
2013/7/24,1073.0
2013/7/25,1085.0
2013/7/26,1079.0
2013/7/29,1071.0
2013/7/30,1078.0
