dt,pp cfr
2013/1/4,1435.0
2013/1/7,1435.0
2013/1/8,1435.0
2013/1/9,1435.0
2013/1/10,1435.0
2013/1/11,1460.0
2013/1/14,1460.0
2013/1/15,1460.0
2013/1/16,1460.0
2013/1/17,1460.0
2013/1/18,1445.0
2013/1/21,1445.0
2013/1/22,1445.0
2013/1/23,1445.0
2013/1/24,1445.0
2013/1/25,1440.0
2013/1/28,1440.0
2013/1/29,1440.0
2013/1/30,1440.0
2013/1/31,1440.0
2013/2/1,1460.0
2013/2/4,1460.0
2013/2/5,1460.0
2013/2/6,1460.0
2013/2/7,1460.0
2013/2/8,1493.0
2013/2/18,1493.0
2013/2/19,1493.0
2013/2/20,1493.0
2013/2/21,1493.0
2013/2/22,1508.0
2013/2/25,1508.0
2013/2/26,1508.0
2013/2/27,1508.0
2013/2/28,1508.0
2013/3/1,1460.0
2013/3/4,1460.0
2013/3/5,1460.0
2013/3/6,1460.0
2013/3/7,1460.0
2013/3/8,1440.0
2013/3/11,1440.0
2013/3/12,1440.0
2013/3/13,1440.0
2013/3/14,1440.0
2013/3/15,1410.0
2013/3/18,1410.0
2013/3/19,1410.0
2013/3/20,1410.0
2013/3/21,1410.0
2013/3/22,1420.0
2013/3/25,1420.0
2013/3/26,1420.0
2013/3/27,1420.0
2013/3/28,1420.0
2013/3/29,1420.0
2013/4/1,1420.0
2013/4/2,1420.0
2013/4/3,1420.0
2013/4/8,1420.0
2013/4/9,1420.0
2013/4/10,1420.0
2013/4/11,1420.0
2013/4/12,1405.0
2013/4/15,1405.0
2013/4/16,1405.0
2013/4/17,1405.0
2013/4/18,1405.0
2013/4/19,1375.0
2013/4/22,1375.0
2013/4/23,1375.0
2013/4/24,1375.0
2013/4/25,1375.0
2013/4/26,1355.0
2013/5/2,1355.0
2013/5/3,1355.0
2013/5/6,1355.0
2013/5/7,1355.0
2013/5/8,1355.0
2013/5/9,1355.0
2013/5/10,1375.0
2013/5/13,1375.0
2013/5/14,1375.0
2013/5/15,1375.0
2013/5/16,1375.0
2013/5/17,1380.0
2013/5/20,1380.0
2013/5/21,1380.0
2013/5/22,1380.0
2013/5/23,1380.0
2013/5/24,1380.0
2013/5/27,1380.0
2013/5/28,1380.0
2013/5/29,1380.0
2013/5/30,1380.0
2013/5/31,1390.0
2013/6/3,1390.0
2013/6/4,1390.0
2013/6/5,1390.0
2013/6/6,1390.0
2013/6/7,1405.0
2013/6/13,1405.0
2013/6/14,1420.0
2013/6/17,1420.0
2013/6/18,1420.0
2013/6/19,1420.0
2013/6/20,1420.0
2013/6/21,1415.0
2013/6/24,1415.0
2013/6/25,1415.0
2013/6/26,1415.0
2013/6/27,1415.0
2013/6/28,1410.0
2013/7/1,1410.0
2013/7/2,1410.0
2013/7/3,1410.0
2013/7/4,1410.0
2013/7/5,1410.0
2013/7/8,1410.0
2013/7/9,1410.0
2013/7/10,1410.0
2013/7/11,1410.0
2013/7/12,1420.0
2013/7/15,1420.0
2013/7/16,1420.0
2013/7/17,1420.0
2013/7/18,1420.0
2013/7/19,1420.0
2013/7/22,1420.0
2013/7/23,1420.0
2013/7/24,1420.0
2013/7/25,1420.0
2013/7/26,1430.0
2013/7/29,1430.0
2013/7/30,1430.0
2013/7/31,1430.0
2013/8/1,1430.0
2013/8/2,1440.0
2013/8/5,1440.0
2013/8/6,1440.0
2013/8/7,1440.0
2013/8/8,1440.0
2013/8/9,1475.0
2013/8/12,1475.0
2013/8/13,1475.0
2013/8/14,1475.0
2013/8/15,1475.0
2013/8/16,1458.0
2013/8/19,1458.0
2013/8/20,1458.0
2013/8/21,1458.0
2013/8/22,1458.0
2013/8/23,1458.0
2013/8/26,1458.0
2013/8/27,1458.0
2013/8/28,1458.0
2013/8/29,1458.0
2013/8/30,1475.0
2013/9/2,1475.0
2013/9/3,1475.0
2013/9/4,1475.0
2013/9/5,1475.0
2013/9/6,1480.0
2013/9/9,1480.0
2013/9/10,1480.0
2013/9/11,1480.0
2013/9/12,1480.0
2013/9/13,1495.0
2013/9/16,1495.0
2013/9/17,1495.0
2013/9/18,1495.0
2013/9/23,1495.0
2013/9/24,1495.0
2013/9/25,1495.0
2013/9/26,1495.0
2013/9/27,1487.5
2013/10/8,1487.5
2013/10/9,1487.5
2013/10/10,1487.5
2013/10/11,1510.0
2013/10/14,1510.0
2013/10/15,1510.0
2013/10/16,1510.0
2013/10/17,1510.0
2013/10/18,1520.0
2013/10/21,1520.0
2013/10/22,1520.0
2013/10/23,1520.0
2013/10/24,1520.0
2013/10/25,1510.0
2013/10/28,1510.0
2013/10/29,1510.0
2013/10/30,1510.0
2013/10/31,1510.0
2013/11/1,1505.0
2013/11/4,1505.0
2013/11/5,1505.0
2013/11/6,1505.0
2013/11/7,1505.0
2013/11/8,1517.5
2013/11/11,1517.5
2013/11/12,1517.5
2013/11/13,1517.5
2013/11/14,1517.5
2013/11/15,1520.0
2013/11/18,1520.0
2013/11/19,1520.0
2013/11/20,1520.0
2013/11/21,1520.0
2013/11/22,1510.0
2013/11/25,1510.0
2013/11/26,1510.0
2013/11/27,1510.0
2013/11/28,1510.0
2013/11/29,1520.0
2013/12/2,1520.0
2013/12/3,1520.0
2013/12/4,1520.0
2013/12/5,1520.0
2013/12/6,1532.5
2013/12/9,1532.5
2013/12/10,1532.5
2013/12/11,1532.5
2013/12/12,1532.5
2013/12/13,1532.5
2013/12/16,1532.5
2013/12/17,1532.5
2013/12/18,1532.5
2013/12/19,1532.5
2013/12/20,1520.0
2013/12/23,1520.0
2013/12/24,1520.0
2013/12/25,1520.0
2013/12/26,1520.0
2013/12/27,1520.0
2013/12/30,1520.0
2013/12/31,1520.0
2014/1/2,1520.0
2014/1/3,1525.0
2014/1/6,1525.0
2014/1/7,1525.0
2014/1/8,1525.0
2014/1/9,1525.0
2014/1/10,1510.0
2014/1/13,1510.0
2014/1/14,1510.0
2014/1/15,1510.0
2014/1/16,1510.0
2014/1/17,1510.0
2014/1/20,1510.0
2014/1/21,1510.0
2014/1/22,1510.0
2014/1/23,1510.0
2014/1/24,1495.0
2014/1/27,1495.0
2014/1/28,1495.0
2014/1/29,1495.0
2014/1/30,1495.0
2014/2/7,1495.0
2014/2/10,1495.0
2014/2/11,1495.0
2014/2/12,1495.0
2014/2/13,1495.0
2014/2/14,1480.0
2014/2/17,1480.0
2014/2/18,1480.0
2014/2/19,1480.0
2014/2/20,1480.0
2014/2/21,1465.0
2014/2/24,1465.0
2014/2/25,1465.0
2014/2/26,1465.0
2014/2/27,1465.0
2014/2/28,1477.5
2014/3/3,1477.5
2014/3/4,1477.5
2014/3/5,1477.5
2014/3/6,1477.5
2014/3/7,1470.0
2014/3/10,1470.0
2014/3/11,1470.0
2014/3/12,1470.0
