dt,px cfr
2013/1/4,1656.25
2013/1/7,1660.0
2013/1/8,1651.25
2013/1/9,1646.25
2013/1/10,1641.25
2013/1/11,1647.5
2013/1/14,1644.0
2013/1/15,1642.5
2013/1/16,1643.75
2013/1/17,1643.75
2013/1/18,1649.5
2013/1/21,1652.5
2013/1/22,1651.5
2013/1/23,1651.5
2013/1/24,1651.5
2013/1/25,1659.75
2013/1/28,1662.5
2013/1/29,1668.75
2013/1/30,1666.25
2013/1/31,1663.75
2013/2/1,1697.75
2013/2/4,1698.75
2013/2/5,1692.75
2013/2/6,1690.75
2013/2/7,1690.75
2013/2/8,1690.75
2013/2/18,1702.75
2013/2/19,1697.75
2013/2/20,1697.75
2013/2/21,1690.25
2013/2/22,1691.25
2013/2/25,1687.0
2013/2/26,1676.0
2013/2/27,1672.5
2013/2/28,1671.25
2013/3/1,801.25
2013/3/4,766.25
2013/3/5,788.75
2013/3/6,793.75
2013/3/7,776.25
2013/3/8,776.25
2013/3/11,778.5
2013/3/12,778.5
2013/3/13,776.25
2013/3/14,767.75
2013/3/15,770.25
2013/3/18,758.75
2013/3/19,756.25
2013/3/20,748.75
2013/3/21,751.25
2013/3/22,740.25
2013/3/25,740.25
2013/3/26,721.25
2013/3/27,697.75
2013/3/28,697.75
2013/3/29,716.25
2013/4/1,1403.75
2013/4/2,1421.25
2013/4/3,1433.75
2013/4/8,1438.75
2013/4/9,1442.75
2013/4/10,1463.75
2013/4/11,1470.0
2013/4/12,1452.75
2013/4/15,1432.75
2013/4/16,1423.75
2013/4/17,1423.75
2013/4/18,1412.75
2013/4/19,1427.75
2013/4/22,1427.75
2013/4/23,1426.25
2013/4/24,1426.25
2013/4/25,1431.25
2013/4/26,1428.75
2013/5/2,703.75
2013/5/3,716.25
2013/5/6,726.25
2013/5/7,716.25
2013/5/8,716.25
2013/5/9,716.25
2013/5/10,723.75
2013/5/13,722.5
2013/5/14,713.75
2013/5/15,716.25
2013/5/16,713.75
2013/5/17,710.75
2013/5/20,710.25
2013/5/21,712.75
2013/5/22,711.25
2013/5/23,698.25
2013/5/24,703.25
2013/5/27,698.25
2013/5/28,698.75
2013/5/29,706.25
2013/5/30,711.0
2013/5/31,723.75
2013/6/3,1423.75
2013/6/4,1425.5
2013/6/5,1426.25
2013/6/6,1423.75
2013/6/7,1423.75
2013/6/13,1418.75
2013/6/14,1420.75
2013/6/17,1420.25
2013/6/18,1418.75
2013/6/19,1417.25
2013/6/20,1415.75
2013/6/21,1413.75
2013/6/24,1403.75
2013/6/25,1405.25
2013/6/26,1406.25
2013/6/27,1413.75
2013/6/28,1416.25
2013/7/1,1423.75
2013/7/2,1423.75
2013/7/3,1426.25
2013/7/4,1423.75
2013/7/5,1419.75
2013/7/8,1424.25
2013/7/9,1422.25
2013/7/10,1422.25
2013/7/11,1431.75
2013/7/12,1428.25
2013/7/15,1431.75
2013/7/16,1430.75
2013/7/17,1431.25
2013/7/18,1431.25
2013/7/19,1438.75
2013/7/22,1438.75
2013/7/23,1438.75
2013/7/24,1438.75
2013/7/25,1438.75
2013/7/26,1438.75
2013/7/29,1433.75
