dt,sm cfr
2013/1/4,1790.0
2013/1/7,1792.5
2013/1/8,1755.0
2013/1/9,1740.0
2013/1/10,1745.0
2013/1/11,1717.5
2013/1/14,1715.0
2013/1/15,1720.0
2013/1/16,1720.0
2013/1/17,1720.0
2013/1/18,1735.0
2013/1/21,1750.0
2013/1/22,1740.0
2013/1/23,1730.0
2013/1/24,1725.0
2013/1/25,1710.0
2013/1/28,1705.0
2013/1/29,1715.0
2013/1/30,1720.0
2013/1/31,1725.0
2013/2/1,1725.0
2013/2/4,1730.0
2013/2/5,1747.5
2013/2/6,1755.0
2013/2/7,1762.5
2013/2/8,1762.5
2013/2/11,1762.5
2013/2/12,1762.5
2013/2/13,1762.5
2013/2/14,1762.5
2013/2/15,1762.5
2013/2/18,1760.0
2013/2/19,1750.0
2013/2/20,1755.0
2013/2/21,1730.0
2013/2/22,1732.5
2013/2/25,1737.5
2013/2/26,1732.5
2013/2/27,1720.0
2013/2/28,1707.5
2013/3/1,1682.5
2013/3/4,1615.0
2013/3/5,1647.5
2013/3/6,1650.0
2013/3/7,1642.5
2013/3/8,1635.0
2013/3/11,1640.0
2013/3/12,1655.0
2013/3/13,1655.0
2013/3/14,1655.0
2013/3/15,1655.0
2013/3/18,1637.5
2013/3/19,1635.0
2013/3/20,1647.5
2013/3/21,1670.0
2013/3/22,1670.0
2013/3/25,1687.5
2013/3/26,1692.5
2013/3/27,1680.0
2013/3/28,1660.0
2013/3/29,1670.0
2013/4/1,1670.0
2013/4/2,1685.0
2013/4/3,1700.0
2013/4/4,1700.0
2013/4/5,1700.0
2013/4/8,1700.0
2013/4/9,1697.5
2013/4/10,1697.5
2013/4/11,1697.5
2013/4/12,1680.0
2013/4/15,1652.5
2013/4/16,1645.0
2013/4/17,1657.5
2013/4/18,1652.5
2013/4/19,1667.5
2013/4/22,1665.0
2013/4/23,1660.0
2013/4/24,1660.0
2013/4/25,1655.0
2013/4/26,1657.5
2013/4/29,1657.5
2013/4/30,1657.5
2013/5/1,1657.5
2013/5/2,1657.5
2013/5/3,1662.5
2013/5/6,1670.0
2013/5/7,1672.5
2013/5/8,1682.5
2013/5/9,1695.0
2013/5/10,1697.5
2013/5/13,1715.0
2013/5/14,1715.0
2013/5/15,1700.0
2013/5/16,1700.0
2013/5/17,1700.0
2013/5/20,1692.5
2013/5/21,1712.5
2013/5/22,1712.5
2013/5/23,1705.0
2013/5/24,1705.0
2013/5/27,1695.0
2013/5/28,1687.5
2013/5/29,1682.5
2013/5/30,1680.0
2013/5/31,1680.0
2013/6/3,1672.5
2013/6/4,1687.5
2013/6/5,1695.0
2013/6/6,1705.0
2013/6/7,1695.0
2013/6/10,1695.0
2013/6/11,1695.0
2013/6/12,1695.0
2013/6/13,1715.0
2013/6/14,1715.0
2013/6/17,1735.0
2013/6/18,1715.0
2013/6/19,1717.5
2013/6/20,1725.0
2013/6/21,1710.0
2013/6/24,1717.5
2013/6/25,1717.5
2013/6/26,1700.0
2013/6/27,1700.0
2013/6/28,1705.0
2013/7/1,1742.5
2013/7/2,1732.5
2013/7/3,1732.5
2013/7/4,1735.0
2013/7/5,1747.5
2013/7/8,1760.0
2013/7/9,1780.0
2013/7/10,1800.0
2013/7/11,1835.0
2013/7/12,1812.5
2013/7/15,1810.0
2013/7/16,1820.0
2013/7/17,1817.5
2013/7/18,1830.0
2013/7/19,1840.0
2013/7/22,1840.0
2013/7/23,1837.5
2013/7/24,1832.5
2013/7/25,1835.0
2013/7/26,1820.0
2013/7/29,1817.5
2013/7/30,1820.0
2013/7/31,1835.0
2013/8/1,1845.0
2013/8/2,1847.5
2013/8/5,1842.5
2013/8/6,1830.0
2013/8/7,1815.0
2013/8/8,1817.5
2013/8/9,1817.5
2013/8/12,1815.0
2013/8/13,1800.0
2013/8/14,1790.0
2013/8/15,1785.0
2013/8/16,1770.0
2013/8/19,1747.5
2013/8/20,1727.5
2013/8/21,1735.0
2013/8/22,1762.5
2013/8/23,1770.0
2013/8/26,1775.0
2013/8/27,1767.5
2013/8/28,1767.5
