dt,zc cfr
2017/5/26,36.7
2017/5/29,36.7
2017/5/30,36.7
2017/5/31,36.7
2017/6/1,36.7
2017/6/2,37.3
2017/6/5,37.3
2017/6/6,37.3
2017/6/7,37.3
2017/6/8,37.3
2017/6/9,39.11
2017/6/12,39.11
2017/6/13,39.11
2017/6/14,39.11
2017/6/15,39.11
2017/6/16,41.59
2017/6/19,41.59
2017/6/20,41.59
2017/6/21,41.59
2017/6/22,41.59
2017/6/23,42.04
2017/6/26,42.04
2017/6/27,42.04
2017/6/28,42.04
2017/6/29,42.04
2017/6/30,41.65
2017/7/3,41.65
2017/7/4,41.65
2017/7/5,41.65
2017/7/6,41.65
2017/7/7,40.91
2017/7/10,40.91
2017/7/11,40.91
2017/7/12,40.91
2017/7/13,40.91
2017/7/14,40.8
2017/7/17,40.8
2017/7/18,40.8
2017/7/19,40.8
2017/7/20,40.8
2017/7/21,41.85
2017/7/24,41.85
2017/7/25,41.85
2017/7/26,41.85
2017/7/27,41.85
2017/7/28,42.28
2017/7/31,42.28
2017/8/1,42.28
2017/8/2,42.28
2017/8/3,42.28
2017/8/4,42.55
2017/8/7,42.55
2017/8/8,42.55
2017/8/9,42.55
2017/8/10,42.55
2017/8/11,42.52
2017/8/14,42.52
2017/8/15,42.52
2017/8/16,42.52
2017/8/17,42.52
2017/8/18,42.41
2017/8/21,42.41
2017/8/22,42.41
2017/8/23,42.41
2017/8/24,42.41
2017/8/25,42.75
2017/8/28,42.75
2017/8/29,42.75
2017/8/30,42.75
2017/8/31,43.02
2017/9/1,43.02
2017/9/4,43.02
2017/9/5,43.02
2017/9/6,43.02
2017/9/7,43.02
2017/9/8,43.85
2017/9/11,43.85
2017/9/12,43.85
2017/9/13,43.85
2017/9/14,43.85
2017/9/15,44.75
2017/9/18,44.75
2017/9/19,44.75
2017/9/20,44.75
2017/9/21,44.75
2017/9/22,46.03
2017/9/25,46.03
2017/9/26,46.03
2017/9/27,46.03
2017/9/28,46.03
2017/9/29,46.35
2017/10/2,46.35
2017/10/3,46.35
2017/10/4,46.35
2017/10/5,46.35
2017/10/6,46.37
2017/10/9,46.37
2017/10/10,46.37
2017/10/11,46.37
2017/10/12,46.37
2017/10/13,46.41
2017/10/16,46.41
2017/10/17,46.41
2017/10/18,46.41
2017/10/19,46.41
2017/10/20,46.8
2017/10/23,46.8
2017/10/24,46.8
2017/10/25,46.8
2017/10/26,46.8
2017/10/27,46.44
2017/10/30,46.44
2017/10/31,46.44
2017/11/1,46.44
2017/11/2,46.44
2017/11/3,46.09
2017/11/6,46.09
2017/11/7,46.09
2017/11/8,46.09
2017/11/9,46.09
2017/11/10,44.88
2017/11/13,44.88
2017/11/14,44.88
2017/11/15,44.88
2017/11/16,44.88
2017/11/17,44.16
2017/11/20,44.16
2017/11/21,44.16
2017/11/22,44.16
2017/11/23,44.16
2017/11/24,43.99
2017/11/27,43.99
2017/11/28,43.99
2017/11/29,43.99
2017/11/30,43.99
2017/12/1,44.2
2017/12/4,44.2
2017/12/5,44.2
2017/12/6,44.2
2017/12/7,44.2
2017/12/8,45.38
2017/12/11,45.38
2017/12/12,45.38
2017/12/13,45.38
2017/12/14,45.38
2017/12/15,46.09
2017/12/18,46.09
2017/12/19,46.09
2017/12/20,46.09
2017/12/21,46.09
2017/12/22,46.34
2017/12/25,46.34
2017/12/26,46.34
2017/12/27,46.34
2017/12/28,46.34
2017/12/29,46.81
2018/1/1,46.81
2018/1/2,46.81
2018/1/3,46.81
2018/1/4,46.81
2018/1/5,47.31
2018/1/8,47.31
2018/1/9,47.31
2018/1/10,47.31
2018/1/11,47.31
2018/1/12,48.02
2018/1/15,48.02
2018/1/16,48.02
2018/1/17,48.02
2018/1/18,48.02
2018/1/19,48.59
2018/1/22,48.59
2018/1/23,48.59
2018/1/24,48.59
2018/1/25,48.59
2018/1/26,48.84
2018/1/29,48.84
2018/1/30,48.84
2018/1/31,48.84
2018/2/1,48.84
2018/2/2,49.58
2018/2/5,49.58
2018/2/6,49.58
2018/2/7,49.58
2018/2/8,49.58
2018/2/9,50.16
2018/2/12,50.16
2018/2/13,50.16
2018/2/14,50.16
2018/2/15,50.32
2018/2/16,50.32
2018/2/19,50.32
2018/2/20,50.32
2018/2/21,50.32
2018/2/22,50.32
2018/2/23,51.04
2018/2/26,51.04
2018/2/27,51.04
2018/2/28,51.04
2018/3/1,51.04
2018/3/2,49.98
2018/3/5,49.98
2018/3/6,49.98
2018/3/7,49.98
2018/3/8,49.98
2018/3/9,48.45
2018/3/12,48.45
2018/3/13,48.45
2018/3/14,48.45
2018/3/15,48.45
2018/3/16,46.12
2018/3/19,46.12
2018/3/20,46.12
2018/3/21,46.12
2018/3/22,46.12
2018/3/23,43.55
2018/3/26,43.55
2018/3/27,43.55
2018/3/28,43.55
2018/3/29,42.19
2018/3/30,42.19
2018/4/2,42.19
2018/4/3,42.19
2018/4/4,42.19
2018/4/5,42.19
2018/4/6,41.48
2018/4/9,41.48
2018/4/10,41.48
2018/4/11,41.48
2018/4/12,41.48
2018/4/13,41.08
2018/4/16,41.08
2018/4/17,41.08
2018/4/18,41.08
2018/4/19,41.08
2018/4/20,41.13
2018/4/23,41.13
2018/4/24,41.13
2018/4/25,41.13
2018/4/26,41.13
2018/4/27,41.85
2018/4/30,41.85
2018/5/1,41.85
2018/5/2,41.85
2018/5/3,41.85
2018/5/4,42.79
2018/5/7,42.79
2018/5/8,42.79
2018/5/9,42.79
2018/5/10,42.79
2018/5/11,44.02
2018/5/14,44.02
2018/5/15,44.02
2018/5/16,44.02
2018/5/17,44.02
2018/5/18,45.55
2018/5/21,45.55
2018/5/22,45.55
2018/5/23,45.55
2018/5/24,45.55
2018/5/25,45.85
2018/5/28,45.85
2018/5/29,45.85
2018/5/30,45.85
2018/5/31,45.85
2018/6/1,46.82
2018/6/4,46.82
2018/6/5,46.82
2018/6/6,46.82
2018/6/7,46.82
2018/6/8,47.74
2018/6/11,47.74
2018/6/12,47.74
2018/6/13,47.74
2018/6/14,48.08
2018/6/15,48.08
2018/6/18,48.08
2018/6/19,48.08
2018/6/20,48.08
2018/6/21,48.08
2018/6/22,48.08
2018/6/25,48.71
2018/6/26,48.71
2018/6/27,48.71
2018/6/28,48.71
2018/6/29,47.82
2018/7/2,47.82
2018/7/3,47.82
2018/7/4,47.82
2018/7/5,47.82
2018/7/6,47.63
2018/7/9,47.63
2018/7/10,47.63
2018/7/11,47.63
2018/7/12,47.63
2018/7/13,47.64
2018/7/16,47.64
2018/7/17,47.64
2018/7/18,47.64
2018/7/19,47.64
2018/7/20,47.48
2018/7/23,47.48
2018/7/24,47.48
2018/7/25,47.48
2018/7/26,47.48
2018/7/27,45.06
2018/7/30,45.06
2018/7/31,45.06
2018/8/1,45.06
2018/8/2,45.06
2018/8/3,42.0
2018/8/6,42.0
2018/8/7,42.0
2018/8/8,42.0
2018/8/9,42.0
2018/8/10,40.48
2018/8/13,40.48
2018/8/14,40.48
2018/8/15,40.48
2018/8/16,40.48
2018/8/17,39.74
2018/8/20,39.74
2018/8/21,39.74
2018/8/22,39.74
2018/8/23,38.09
2018/8/24,38.09
2018/8/27,38.09
2018/8/28,38.09
2018/8/29,38.09
2018/8/30,38.09
2018/8/31,37.72
2018/9/3,37.72
2018/9/4,37.72
2018/9/5,37.72
2018/9/6,37.72
2018/9/7,38.01
2018/9/10,38.01
2018/9/11,38.01
2018/9/12,38.01
2018/9/13,38.01
2018/9/14,38.39
2018/9/17,38.39
2018/9/18,38.39
2018/9/19,38.39
2018/9/20,38.39
2018/9/21,38.72
2018/9/24,38.72
2018/9/25,38.72
2018/9/26,38.72
2018/9/27,38.72
2018/9/28,38.56
2018/10/1,38.56
2018/10/2,38.56
2018/10/3,38.56
2018/10/4,38.56
2018/10/5,38.88
2018/10/8,38.88
2018/10/9,38.88
2018/10/10,38.88
2018/10/11,38.88
2018/10/12,38.43
2018/10/15,38.43
2018/10/16,38.43
2018/10/17,38.43
2018/10/18,38.43
2018/10/19,38.13
2018/10/22,38.13
2018/10/23,38.13
2018/10/24,38.13
2018/10/25,38.13
2018/10/26,37.31
2018/10/29,37.31
2018/10/30,37.31
