dt,zc rmb
2013/10/18,540.0
2013/10/21,540.0
2013/10/22,540.0
2013/10/23,540.0
2013/10/24,540.0
2013/10/25,540.0
2013/10/28,540.0
2013/10/29,540.0
2013/10/30,545.0
2013/10/31,545.0
2013/11/1,550.0
2013/11/4,550.0
2013/11/5,550.0
2013/11/6,550.0
2013/11/7,555.0
2013/11/8,555.0
2013/11/11,560.0
2013/11/12,560.0
2013/11/13,560.0
2013/11/14,565.0
2013/11/15,565.0
2013/11/18,570.0
2013/11/19,570.0
2013/11/20,575.0
2013/11/21,575.0
2013/11/22,585.0
2013/11/25,590.0
2013/11/26,590.0
2013/11/27,590.0
2013/11/28,595.0
2013/11/29,595.0
2013/12/2,605.0
2013/12/3,605.0
2013/12/4,605.0
2013/12/5,610.0
2013/12/6,615.0
2013/12/9,620.0
2013/12/10,625.0
2013/12/11,630.0
2013/12/12,630.0
2013/12/13,630.0
2013/12/16,635.0
2013/12/17,640.0
2013/12/18,640.0
2013/12/19,640.0
2013/12/20,645.0
2013/12/23,655.0
2013/12/24,655.0
2013/12/25,655.0
2013/12/26,655.0
2013/12/27,655.0
2013/12/30,620.0
2013/12/31,615.0
2014/1/2,615.0
2014/1/3,610.0
2014/1/6,605.0
2014/1/7,600.0
2014/1/8,600.0
2014/1/9,590.0
2014/1/10,590.0
2014/1/13,585.0
2014/1/14,580.0
2014/1/15,580.0
2014/1/16,580.0
2014/1/17,580.0
2014/1/20,575.0
2014/1/21,575.0
2014/1/22,570.0
2014/1/23,565.0
2014/1/24,560.0
2014/1/27,555.0
2014/1/28,550.0
2014/1/29,550.0
2014/2/7,510.0
2014/2/10,505.0
2014/2/11,505.0
2014/2/12,505.0
2014/2/13,530.0
2014/2/14,530.0
2014/2/17,530.0
2014/2/18,535.0
2014/2/19,535.0
2014/2/20,540.0
2014/2/21,540.0
2014/2/24,545.0
2014/2/25,545.0
2014/2/26,545.0
2014/2/27,545.0
2014/2/28,545.0
2014/3/3,535.0
2014/3/4,535.0
2014/3/5,535.0
2014/3/6,530.0
2014/3/7,530.0
2014/3/10,530.0
2014/3/11,530.0
2014/3/12,530.0
2014/3/13,530.0
2014/3/14,530.0
2014/3/17,525.0
2014/3/18,525.0
2014/3/19,525.0
2014/3/20,525.0
2014/3/21,525.0
2014/3/24,525.0
2014/3/25,525.0
2014/3/26,525.0
2014/3/27,525.0
2014/3/28,525.0
2014/3/31,530.0
2014/4/1,530.0
2014/4/2,530.0
2014/4/3,530.0
2014/4/4,530.0
2014/4/8,535.0
2014/4/9,535.0
2014/4/10,535.0
2014/4/11,535.0
2014/4/14,535.0
2014/4/15,535.0
2014/4/16,535.0
2014/4/17,535.0
2014/4/18,535.0
2014/4/21,535.0
2014/4/22,535.0
2014/4/23,535.0
2014/4/24,535.0
2014/4/25,535.0
2014/4/28,535.0
