date,LL
2014-1-6,13.15
2014-1-13,14.1
2014-1-20,15.3
2014-1-27,15
2014-2-3,15.7
2014-2-10,20.8
2014-2-17,23.5
2014-2-24,21.1
2014-3-3,18.27
2014-3-10,18.5
2014-3-17,15.38
2014-3-24,14.77
2014-3-31,13.9
2014-4-7,15.11
2014-4-14,16.1
2014-4-21,14.52
2014-4-28,13.55
2014-5-5,13.24
2014-5-12,13.48
2014-5-19,14.66
2014-5-26,13.46
2014-6-2,14.3
2014-6-9,16.3
2014-6-16,16.3
2014-6-23,17.7
2014-6-30,16.5
2014-7-7,15.6
2014-7-14,17.1
2014-7-21,18.3
2014-7-28,18.2
2014-8-4,17.7
2014-8-11,21.6
2014-8-18,21.9
2014-8-25,17.9
2014-9-1,18.1
2014-9-8,18.9013
2014-9-15,21.1
2014-9-22,22.1
2014-9-29,19.5
2014-10-6,19.6
2014-10-13,20.6
2014-10-20,21.4
2014-10-27,19.1
2014-11-3,16.5
2014-11-10,18.3
2014-11-17,18.4
2014-11-24,19.23
2014-12-1,16.1
2014-12-8,19.2
2014-12-15,19.2
2014-12-22,13
2014-12-29,10.3
2015-1-5,12.2
2015-1-12,14.4
2015-1-19,10.7
2015-1-26,10.9
2015-2-2,9.9
2015-2-9,9
2015-2-16,9
2015-2-23,8
2015-3-2,14.5
2015-3-9,15
2015-3-16,17
2015-3-23,14.5
2015-3-30,13
2015-4-6,13.5
2015-4-13,14.5
2015-4-20,16
2015-4-27,13.5
2015-5-4,13.4
2015-5-11,13.6
2015-5-18,15
2015-5-25,13.8
2015-6-1,13.5
2015-6-8,15
2015-6-15,12.5
2015-6-22,13
2015-6-29,13.5
2015-7-6,12.8
2015-7-13,14.5
2015-7-20,13.5
2015-7-27,11.7
2015-8-3,12
2015-8-10,12
2015-8-17,11.5
2015-8-24,14.8
2015-8-31,13.3
2015-9-7,12.9
2015-9-14,12.5
2015-9-21,13
2015-9-28,11.8
2015-10-5,15.1
2015-10-12,15.1
2015-10-19,12.4
2015-10-26,10.2
2015-11-2,9
2015-11-9,9.8
2015-11-16,10.2
2015-11-23,9
2015-11-30,7.65
2015-12-7,9.41
2015-12-14,11.4
2015-12-21,10.4
2015-12-28,8
2016-1-4,10
2016-1-11,10.87
2016-1-18,11.35
2016-1-25,7.6
2016-2-1,8.1
2016-2-8,9.3
2016-2-15,9.3
2016-2-22,19.3
2016-2-29,16.8
2016-3-7,15.4
2016-3-14,14.8
2016-3-21,14.5
2016-3-28,14.9
2016-4-4,16.3
2016-4-11,15.4
2016-4-18,16.16
2016-4-25,15.7
2016-5-2,12.9
2016-5-9,14.27
2016-5-16,11.5
2016-5-23,12
2016-5-30,9.9
2016-6-6,10.45
2016-6-13,10.3
2016-6-20,11.5
2016-6-27,11.4
2016-7-4,12.7
2016-7-11,11.8
2016-7-18,12.3
2016-7-25,13.2
2016-8-1,12.06
2016-8-8,13.2
2016-8-15,14.1
2016-8-22,14.4
2016-8-29,13.4
2016-9-5,15.6
2016-9-12,15.1
2016-9-19,15.2
2016-9-26,13.4
2016-10-3,12
2016-10-10,12
2016-10-17,11
2016-10-24,10.51
2016-10-31,8.87
2016-11-7,8.44
2016-11-14,9.82
2016-11-21,11.73
2016-11-28,11.15
2016-12-5,10.78
2016-12-12,8.8
2016-12-19,8.6
2016-12-26,10.56
2017-1-2,10.08
2017-1-9,12.6
2017-1-16,11.8
2017-1-23,8.2
2017-1-30,8.5
2017-2-6,17.77
2017-2-13,15.4
2017-2-20,17.5
2017-2-27,19.5
2017-3-6,17.01
2017-3-13,17.1
2017-3-20,16.1
2017-3-27,14.8
2017-4-3,16.1
2017-4-10,16.53
2017-4-17,16.2
2017-4-24,18
2017-5-1,15.1
2017-5-8,16.3
2017-5-15,15.2
2017-5-22,13.1
2017-5-29,12.4
2017-6-5,14.7
2017-6-12,13.9
2017-6-19,13.6
2017-6-26,12.2
2017-7-3,11.7
2017-7-10,9
2017-7-17,11.3
2017-7-24,10.5
2017-7-31,10.2
2017-8-7,11.7
2017-8-14,10.7
2017-8-21,11.6
2017-8-28,10.4
2017-9-4,12.1
2017-9-11,11.6
2017-9-18,13.2
2017-9-25,12.9
2017-10-2,11.2
2017-10-16,13.5
2017-10-23,12
2017-10-30,11.8
2017-11-6,11.7
2017-11-13,10.8
2017-11-20,11.9
2017-11-27,10.9
2017-12-4,12
2017-12-11,11.2
2017-12-18,11.9
2017-12-25,10.6
2018-1-1,10.2
2018-1-8,11.3
2018-1-15,10.5
2018-1-22,10.8
2018-1-29,10.2
2018-2-5,11.1
2018-2-26,19.1
2018-3-5,17
2018-3-12,17.9
2018-3-19,17.7
2018-3-26,16.8
2018-4-2,15.7
2018-4-9,17.8
2018-4-16,14.8
2018-4-23,15.1
2018-4-30,13.7
2018-5-7,15.2
2018-5-14,13.7
2018-5-21,14.4
2018-5-28,14
2018-6-4,14.1
2018-6-11,13.1
2018-6-18,13.1
2018-6-25,14.4
2018-7-2,12.5
2018-7-9,13
2018-7-16,12.4
2018-7-23,12.8
2018-7-30,12
2018-8-6,12.4
2018-8-13,12.8
2018-8-20,13.9
2018-8-27,14
2018-9-3,14
2018-9-10,14.2
2018-9-17,13.5
2018-9-24,11.7
2018-10-1,11.9
2018-10-15,13.7
2018-10-22,14.6
2018-10-29,14
2018-11-5,14.3
2018-11-12,14.7
2018-11-19,15.5
2018-11-26,15
2018-12-3,12.7
2018-12-10,10.9
2018-12-17,11.9
2018-12-24,11.3
2018-12-31,10
2019-1-7,12.1
2019-1-14,10.5
2019-1-21,9.6
2019-1-28,9.9
2019-2-4,12.7
2019-2-18,20.3
2019-2-25,17.9
2019-3-4,18.2
2019-3-11,17.4
2019-3-18,17.7
2019-3-25,17.3
2019-4-1,15.3
2019-4-8,16.1
2019-4-15,16.6
2019-4-22,17
2019-4-29,16.3
2019-5-13,18
2019-5-20,16.5
2019-5-27,14.2
2019-6-3,14.1
2019-6-10,15.6
2019-6-17,15.8
2019-6-24,14.2
2019-7-1,12.1
2019-7-8,12.4
2019-7-15,13.7
2019-7-22,14.7
2019-7-29,13.8
2019-8-5,14
2019-8-12,14.7
2019-8-19,14.2
2019-8-26,13.9
2019-9-2,12.5
2019-9-9,11.7
2019-9-16,11.1
2019-9-23,10.7
2019-9-30,10.5
2019-10-14,14.3
2019-10-22,13.4
2019-10-28,12.7
2019-11-4,13.5
2019-11-11,12.7
2019-11-18,12.9
2019-11-25,12.5
2019-12-2,11.4
2019-12-9,11.6
2019-12-16,11.7
2019-12-23,11.4
2019-12-30,10.1
2020-1-6,12.5
2020-1-13,10
2020-1-20,9.1
2020-1-27,11.8
2020-2-10,25.4
2020-2-17,29.6
2020-2-24,23.5
2020-3-2,23.2
2020-3-9,22.9
2020-3-16,24
2020-3-23,24.6
2020-3-30,21.6
2020-4-6,20.2
2020-4-13,18.1
