,PP
2014-1-6,29
2014-1-13,30.5
2014-1-20,32.2
2014-1-27,31.5
2014-2-3,32.4
2014-2-10,41
2014-2-17,46.2
2014-2-24,44
2014-3-3,38.29
2014-3-10,38.5
2014-3-17,36.89
2014-3-24,36.15
2014-3-31,34.06
2014-4-7,35.53
2014-4-14,35.76
2014-4-21,35.83
2014-4-28,33.14
2014-5-5,34.74
2014-5-12,35.77
2014-5-19,35.57
2014-5-26,33.51
2014-6-2,30.3
2014-6-9,32.4
2014-6-16,31.7
2014-6-23,34
2014-6-30,32.8
2014-7-7,31.1
2014-7-14,33.5
2014-7-21,34.8
2014-7-28,31.9
2014-8-4,28.3
2014-8-11,32
2014-8-18,32.4
2014-8-25,28.6
2014-9-1,28.6
2014-9-8,29.2369
2014-9-15,33.7
2014-9-22,32.7
2014-9-29,29.6
2014-10-6,32.8
2014-10-13,37.5
2014-10-20,37
2014-10-27,35.8
2014-11-3,26.8
2014-11-10,33.2
2014-11-17,35.1
2014-11-24,36.15
2014-12-1,32.3
2014-12-8,34.4
2014-12-15,36.2
2014-12-22,32
2014-12-29,27.1
2015-1-5,31.6
2015-1-12,37
2015-1-19,29.2
2015-1-26,29.2
2015-2-2,27.8
2015-2-9,23
2015-2-16,23.1
2015-2-23,22
2015-3-2,38
2015-3-9,37
2015-3-16,41
2015-3-23,37
2015-3-30,34
2015-4-6,34.1
2015-4-13,36
2015-4-20,37.7
2015-4-27,30.9
2015-5-4,28.9
2015-5-11,31
2015-5-18,36
2015-5-25,36.4
2015-6-1,30.8
2015-6-8,34
2015-6-15,28.5
2015-6-22,33
2015-6-29,31.8
2015-7-6,30.8
2015-7-13,34.5
2015-7-20,33.5
2015-7-27,32.3
2015-8-3,31
2015-8-10,31.5
2015-8-17,29.7
2015-8-24,30.2
2015-8-31,29
2015-9-7,28.5
2015-9-14,33
2015-9-21,32
2015-9-28,29.06
2015-10-5,38.4
2015-10-12,38.4
2015-10-19,35.1
2015-10-26,32.8
2015-11-2,29.5
2015-11-9,30.3
2015-11-16,33.3
2015-11-23,33
2015-11-30,27.31
2015-12-7,25.7
2015-12-14,30.1
2015-12-21,27.5
2015-12-28,23.2
2016-1-4,27.5
2016-1-11,29.5
2016-1-18,26.3
2016-1-25,22.2
2016-2-1,21.5
2016-2-8,23.5
2016-2-15,23.5
2016-2-22,41.9
2016-2-29,35.6
2016-3-7,31.9
2016-3-14,30.3
2016-3-21,31
2016-3-28,30.4
2016-4-4,31.7
2016-4-11,32.1
2016-4-18,34.81
2016-4-25,35
2016-5-2,30.3
2016-5-9,33.3
2016-5-16,29
2016-5-23,28
2016-5-30,28
2016-6-6,27.6
2016-6-13,27.4
2016-6-20,27.2
2016-6-27,27
2016-7-4,28.7
2016-7-11,27
2016-7-18,30.1
2016-7-25,30.6
2016-8-1,25.6
2016-8-8,27.5
2016-8-15,27.8
2016-8-22,28.1
2016-8-29,25.7
2016-9-5,28.9
2016-9-12,28.3
2016-9-19,28.8
2016-9-26,26
2016-10-3,24
2016-10-10,30
2016-10-17,24.3
2016-10-24,23.3
2016-10-31,22.3
2016-11-7,22.7
2016-11-14,24.6
2016-11-21,25.8
2016-11-28,24
2016-12-5,23.6
2016-12-12,20.8
2016-12-19,19.4
2016-12-26,24.1
2017-1-2,23.3
2017-1-9,27.6
2017-1-16,27.5
2017-1-23,19.6
2017-1-30,19.9
2017-2-6,39.5
2017-2-13,39.7
2017-2-20,40.4
2017-2-27,43.1
2017-3-6,38.65
2017-3-13,40.7
2017-3-20,36.6
2017-3-27,35.6
2017-4-3,36.05
2017-4-10,36.8
2017-4-17,37.5
2017-4-24,38
2017-5-1,37.1
2017-5-8,36.2
2017-5-15,34.2
2017-5-22,29.1
2017-5-29,28
2017-6-5,34.3
2017-6-12,33.7
2017-6-19,30.8
2017-6-26,30.5
2017-7-3,26.5
2017-7-10,27
2017-7-17,23.9
2017-7-24,22.5
2017-7-31,23
2017-8-7,24.1
2017-8-14,24.3
2017-8-21,26.3
2017-8-28,23.5
2017-9-4,27.4
2017-9-11,26.2
2017-9-18,29.7
2017-9-25,29.2
2017-10-2,25.5
2017-10-16,30.6
2017-10-23,27.3
2017-10-30,26.8
2017-11-6,26.7
2017-11-13,24.5
2017-11-20,27.1
2017-11-27,24.8
2017-12-4,27.2
2017-12-11,25.5
