date,PVC
2014-1-17,27.69
2014-2-14,28.9
2014-2-28,38.49
2014-3-21,36.09
2014-4-4,36.97
2014-4-11,33.24
2014-4-18,30.69
2014-4-25,28.84
2014-5-9,25.29
2014-5-16,22.9
2014-5-23,19.89
2014-5-30,18.04
2014-6-6,15.05
2014-6-13,14.28
2014-6-20,14.11
2014-6-27,12.85
2014-7-4,10.94
2014-7-11,12.18
2014-7-18,11.8
2014-7-25,11.76
2014-8-1,11.6
2014-8-15,11.29
2014-8-22,11.5
2014-8-29,11.83
2014-9-5,11.99
2014-9-12,10.75
2014-9-19,11.27
2014-10-10,11.16
2014-10-17,11.3
2014-10-24,11.56
2014-10-31,12.21
2014-11-7,12.65
2014-11-14,10.97
2014-11-21,10.77
2014-11-28,10.34
2014-12-5,10.03
2014-12-12,10.11
2014-12-19,9.89
2014-12-26,11.01
2015-1-9,14.53
2015-1-16,19.15
2015-1-23,21.11
2015-1-30,26.19
2015-2-6,26.62
2015-2-27,29.5
2015-3-6,33.3
2015-3-13,34.42
2015-3-20,34.3
2015-3-27,34.2
2015-4-3,31.7
2015-4-17,30.5
2015-4-24,28.58
2015-5-1,26.36
2015-5-8,24.32
2015-5-15,22.27
2015-5-22,22.65
2015-5-29,22.82
2015-6-5,22.18
2015-6-12,22.01
2015-6-19,22.26
2015-6-26,22.4
2015-7-3,24.59
2015-7-10,24.22
2015-7-17,24.53
2015-7-24,23.29
2015-7-31,24.3
2015-8-7,24.23
2015-8-14,22.31
2015-8-21,21.31
2015-8-28,22.5
2015-9-4,23.03
2015-9-11,23.49
2015-9-18,23.21
2015-9-25,22.61
2015-10-9,22.58
2015-10-16,22.46
2015-10-23,22.78
2015-10-30,22.85
2015-11-6,22.41
2015-11-13,22.71
2015-11-20,21.31
2015-11-27,20.96
2015-12-4,18.83
2015-12-11,17.75
2015-12-18,16.6
2015-12-25,16.8
2016-1-1,17.15
2016-1-8,18.3
2016-1-15,19.25
2016-1-22,18.2
2016-1-29,18.05
2016-2-19,27
2016-2-26,29.5
2016-3-4,29.3
2016-3-11,29.5
2016-3-18,26.4
2016-3-25,26.5
2016-4-1,24.9
2016-4-8,23.6
2016-4-15,22.2
2016-4-22,22.05
2016-4-29,21.2
2016-5-6,21.1
2016-5-13,21
2016-5-20,20.81
2016-5-27,19.6
2016-6-3,16.67
2016-6-10,16.15
2016-6-17,16.43
2016-6-24,16.9
2016-7-1,17.1
2016-7-8,17.6
2016-7-15,17.4
2016-7-22,17.8
2016-7-29,18.4
2016-8-5,18.9
2016-8-12,18.6
2016-8-19,18
2016-8-26,17.7
2016-9-2,17.5
2016-9-9,17.6
2016-9-16,15.8
2016-9-23,13.5
2016-9-30,14.7
2016-10-14,11.2
2016-10-21,10.5
2016-10-28,11.2
2016-11-4,10.3
2016-11-11,9.9
2016-11-25,10.3
2016-12-2,12.8
2016-12-12,14
2016-12-19,15.5
2016-12-26,20
2017-1-3,20.2
2017-1-10,21
2017-1-17,23.7
2017-2-3,29.5
2017-2-15,31.5
2017-2-24,34
2017-3-3,31
2017-3-10,30.5
2017-3-17,29.9
2017-3-24,30.4
2017-4-3,30.5
2017-4-10,30.3
2017-4-14,31.5
2017-4-21,30.2
2017-4-28,28
2017-5-8,25
2017-5-15,23.8
2017-5-22,23.3
2017-5-31,21.5
2017-6-4,17.7
2017-6-11,19.1
2017-6-18,18.5
2017-6-25,17
2017-6-30,15.8
2017-7-7,15.8
2017-7-14,15.5
2017-7-21,15.4
2017-7-28,14.4
2017-8-4,14.1
2017-8-11,13.7
2017-8-18,14
2017-8-25,14.7
2017-8-31,14.7
2017-9-7,15.7
2017-9-14,16.4
2017-9-21,17.2
2017-9-28,16.1
2017-10-12,18.8
2017-10-19,17.9
2017-10-27,17.3
2017-11-3,17.2
2017-11-9,16.7
2017-11-18,18.1
2017-11-25,17.9
2017-12-1,18
2017-12-8,18.1
2017-12-15,19.5
2017-12-22,18.9
2017-12-29,20.7
2018-1-7,19.7
2018-1-14,21.7
2018-1-21,21.4
2018-1-28,22.5
2018-2-4,24.4
2018-2-25,35
2018-3-2,37.2
2018-3-9,39.4
2018-3-16,39.3
2018-3-23,36.7
2018-3-30,35.8
2018-4-6,35
2018-4-13,34.1
2018-4-20,31.3
2018-4-27,29
2018-5-4,27.8
2018-5-11,26.6
2018-5-18,25.2
2018-5-25,25
2018-6-1,22.4
2018-6-8,20.4
2018-6-15,18.6
2018-6-22,19.3
2018-6-29,20.4
2018-7-6,20.3
2018-7-13,21.1
2018-7-20,20.4
2018-7-27,19.4
2018-8-3,18.95
2018-8-10,17.9
2018-8-17,18.1
2018-8-24,17.1
2018-8-31,17.3
2018-9-7,16.1
2018-9-14,16.6
2018-9-21,16.4
2018-9-28,16.2
2018-10-12,16.7
2018-10-19,17.8
2018-10-26,17
2018-11-2,15.7
2018-11-9,15.4
2018-11-16,14.8
2018-11-23,14.8
2018-11-30,15.1
2018-12-7,13.4
2018-12-14,12.5
2018-12-21,11.6
2018-12-28,11.6
2019-1-4,12.6
2019-1-11,14
2019-1-18,15.4
2019-1-25,18.6
2019-2-1,33.4
2019-2-15,36.2
2019-2-22,39
2019-3-1,41.5
2019-3-8,43.4
2019-3-15,44.2
2019-3-22,44.6
2019-3-29,42.8
2019-4-5,41.2
2019-4-12,39.4
2019-4-19,38.8
2019-4-26,37.1
2019-5-3,36.6
2019-5-10,35.6
2019-5-17,33.6
2019-5-24,32.4
2019-5-31,30.6
2019-6-7,31.1
2019-6-14,30.6
2019-6-21,30.8
2019-6-28,31.5
2019-7-5,31
2019-7-12,30.9
2019-7-19,30
2019-7-26,29.55
2019-8-2,29.05
2019-8-9,26.55
2019-8-16,27
2019-8-23,26.65
2019-8-30,25.33
2019-9-6,23.8
2019-9-13,22.82
2019-9-20,21.58
2019-9-27,19.4
2019-10-8,20.47
2019-10-12,19.52
2019-10-18,18.21
2019-10-25,16.65
2019-11-1,15.71
2019-11-8,13.67
2019-11-15,10.77
2019-11-22,8.26
