日期	华北电石法单一利润	华北电石法单一利润率
2014/1/1	388.865	0.066573534
2014/1/2	388.865	0.066573534
2014/1/3	388.865	0.066573534
2014/1/6	388.865	0.066573534
2014/1/7	358.865	0.061437546
2014/1/8	358.865	0.061437546
2014/1/9	358.865	0.061437546
2014/1/10	358.865	0.061437546
2014/1/13	358.865	0.061437546
2014/1/14	358.865	0.061437546
2014/1/15	358.865	0.061437546
2014/1/16	358.865	0.061437546
2014/1/17	358.865	0.061437546
2014/1/20	438.865	0.07617683
2014/1/21	438.865	0.07617683
2014/1/22	438.865	0.07617683
2014/1/23	438.865	0.07617683
2014/1/24	438.865	0.07617683
2014/1/27	438.865	0.07617683
2014/1/28	438.865	0.07617683
2014/1/29	438.865	0.07617683
2014/1/30	438.865	0.07617683
2014/1/31	438.865	0.07617683
2014/2/3	438.865	0.07617683
2014/2/4	438.865	0.07617683
2014/2/5	438.865	0.07617683
2014/2/6	438.865	0.07617683
2014/2/7	438.865	0.07617683
2014/2/10	438.865	0.07617683
2014/2/11	513.865	0.090371579
2014/2/12	433.865	0.075243642
2014/2/13	513.865	0.090371579
2014/2/14	513.865	0.090371579
2014/2/17	513.865	0.090371579
2014/2/18	513.865	0.090371579
2014/2/19	513.865	0.090371579
2014/2/20	513.865	0.090371579
2014/2/21	513.865	0.090371579
2014/2/24	493.865	0.086854252
2014/2/25	493.865	0.086854252
2014/2/26	413.865	0.071775115
2014/2/27	383.865	0.066572323
2014/2/28	353.865	0.061369531
2014/3/3	333.865	0.057901003
2014/3/4	333.865	0.057901003
2014/3/5	313.865	0.054432475
2014/3/6	313.865	0.054432475
2014/3/7	293.865	0.050963947
2014/3/10	253.865	0.044026891
2014/3/11	253.865	0.044026891
2014/3/12	233.865	0.040558364
2014/3/13	233.865	0.040558364
2014/3/14	133.865	0.022898034
2014/3/17	23.865	0.004027077
2014/3/18	-91.135	-0.015186294
2014/3/19	-121.135	-0.020185348
2014/3/20	-231.135	-0.03800853
2014/3/21	-231.135	-0.03800853
2014/3/24	-306.135	-0.049728442
2014/3/25	-306.135	-0.049728442
2014/3/26	-306.135	-0.049728442
2014/3/27	-306.135	-0.049728442
2014/3/28	-306.135	-0.049728442
2014/3/31	-306.135	-0.049728442
2014/4/1	-306.135	-0.049728442
2014/4/2	-306.135	-0.049728442
2014/4/3	-306.135	-0.049728442
2014/4/4	-226.135	-0.037216915
2014/4/7	-226.135	-0.037216915
2014/4/8	-386.135	-0.061918961
2014/4/9	-386.135	-0.061918961
2014/4/10	-386.135	-0.061918961
2014/4/11	-366.135	-0.058711846
2014/4/14	-346.135	-0.055504732
2014/4/15	-346.135	-0.055504732
2014/4/16	-346.135	-0.055504732
2014/4/17	-346.135	-0.055504732
2014/4/18	-346.135	-0.055504732
2014/4/21	-346.135	-0.055504732
2014/4/22	-346.135	-0.055504732
2014/4/23	-346.135	-0.055504732
2014/4/24	-196.135	-0.031451372
2014/4/25	-196.135	-0.031451372
2014/4/28	-121.135	-0.01966115
2014/4/29	-201.135	-0.032227311
2014/4/30	-201.135	-0.032227311
2014/5/1	-201.135	-0.032227311
2014/5/2	-201.135	-0.032227311
2014/5/5	-201.135	-0.032227311
2014/5/6	-201.135	-0.032227311
2014/5/7	-156.135	-0.025198773
2014/5/8	-156.135	-0.025198773
2014/5/9	-156.135	-0.025198773
2014/5/12	-156.135	-0.025198773
2014/5/13	-156.135	-0.025198773
2014/5/14	-156.135	-0.025198773
2014/5/15	-236.135	-0.03762427
2014/5/16	-236.135	-0.03762427
2014/5/19	-236.135	-0.03762427
2014/5/20	-236.135	-0.03762427
2014/5/21	-236.135	-0.03762427
2014/5/22	-236.135	-0.03762427
2014/5/23	-236.135	-0.03762427
2014/5/26	-206.135	-0.033002008
2014/5/27	-206.135	-0.033002008
2014/5/28	-206.135	-0.033002008
2014/5/29	-236.135	-0.037804979
2014/5/30	-246.135	-0.039405969
2014/6/2	-246.135	-0.039405969
2014/6/3	-166.135	-0.026943134
2014/6/4	-166.135	-0.026943134
2014/6/5	-166.135	-0.026943134
2014/6/6	-166.135	-0.026943134
2014/6/9	-166.135	-0.026943134
2014/6/10	-166.135	-0.026943134
2014/6/11	-166.135	-0.026943134
2014/6/12	-166.135	-0.026943134
2014/6/13	-166.135	-0.026943134
2014/6/16	-166.135	-0.026943134
2014/6/17	-166.135	-0.026943134
2014/6/18	-166.135	-0.026943134
2014/6/19	-86.135	-0.01415266
2014/6/20	-86.135	-0.01415266
2014/6/23	-86.135	-0.01415266
2014/6/24	-6.135	-0.001021456
2014/6/25	-6.135	-0.001021456
2014/6/26	-6.135	-0.001021456
2014/6/27	68.865	0.011610763
2014/6/30	68.865	0.011610763
2014/7/1	68.865	0.011610763
2014/7/2	68.865	0.011610763
2014/7/3	68.865	0.011610763
2014/7/4	-51.135	-0.008450481
2014/7/7	-51.135	-0.008450481
2014/7/8	-51.135	-0.008450481
2014/7/9	-51.135	-0.008450481
2014/7/10	-51.135	-0.008450481
2014/7/11	23.865	0.003993384
2014/7/14	23.865	0.003993384
2014/7/15	63.865	0.010758684
2014/7/16	63.865	0.010758684
2014/7/17	63.865	0.010758684
2014/7/18	143.865	0.024566544
2014/7/21	143.865	0.024566544
2014/7/22	183.865	0.031612918
2014/7/23	183.865	0.031612918
2014/7/24	223.865	0.038756885
2014/7/25	223.865	0.038756885
2014/7/28	223.865	0.038756885
2014/7/29	223.865	0.038756885
2014/7/30	223.865	0.038756885
2014/7/31	223.865	0.038756885
2014/8/1	143.865	0.024566544
