时间,橡胶利润(美元/吨),橡胶利润率
2014/1/2,-20.65533981,-0.009017219
2014/1/3,13.40199939,0.006019048
2014/1/6,110.8364514,0.052850647
2014/1/8,84.76164549,0.040319712
2014/1/9,89.12556732,0.042382734
2014/1/10,157.6399395,0.077185185
2014/1/13,63.57740079,0.030196978
2014/1/14,52.95425435,0.024629362
2014/1/16,31.26485827,0.014550355
2014/1/17,49.6099787,0.023463022
2014/1/21,8.1871007,0.003817163
2014/1/22,12.49133475,0.005827518
2014/1/23,-14.50866525,-0.006768652
2014/1/24,-59.85714286,-0.027933333
2014/1/27,67.29972669,0.03435938
2014/1/29,188.1369572,0.104123529
2014/2/3,-56.25728155,-0.028309008
2014/2/4,-72.063129,-0.036634884
2014/2/5,-149.5602318,-0.07487145
2014/2/6,-121.6175396,-0.062896378
2014/2/7,-182.4390244,-0.089984962
2014/2/10,48.14259598,0.025691707
2014/2/11,36.89436727,0.0193356
2014/2/18,-47.11220715,-0.02333313
2014/2/19,-45.63859865,-0.02233203
2014/2/20,-35.35001535,-0.017850388
2014/2/21,-29.17578365,-0.01471907
2014/2/24,0.469368954,0.000248537
2014/2/25,-127.7661859,-0.0666224
2014/2/26,-99.27201475,-0.052517317
2014/2/28,-38.00245248,-0.01983424
2014/3/3,-28.64691434,-0.014693386
2014/3/4,-108.6733436,-0.054673643
2014/3/5,-50.94427245,-0.025913386
2014/3/6,-45.72772277,-0.023274331
2014/3/7,-57.14126394,-0.028597209
2014/3/12,13.32665639,0.006704651
2014/3/13,-45.49179312,-0.022426412
2014/3/14,-2.913083823,-0.001416241
2014/3/17,-82.37631742,-0.039961805
2014/3/18,-73.05843954,-0.03588229
2014/3/19,-87.14330121,-0.042156391
2014/3/20,-115.654885,-0.055505778
2014/3/21,-127.976536,-0.061409778
2014/3/24,-109.8681454,-0.054447634
2014/3/25,-61.12952732,-0.029948872
2014/3/26,-36.43585021,-0.018123359
2014/3/27,-81.81632653,-0.04009
2014/3/28,-139.2099031,-0.068066316
2014/3/31,-210.9399076,-0.099927007
2014/4/1,-180.6201359,-0.086644148
2014/4/2,-179.8358531,-0.087646316
2014/4/9,-205.6377171,-0.10121771
2014/4/10,-167.8255742,-0.085154961
2014/4/11,-112.3856169,-0.058952195
2014/4/17,-156.2001243,-0.08042432
2014/4/21,-136.1168449,-0.076379304
2014/4/22,22.0409646,0.013081009
2014/4/24,35.82200247,0.021269725
2014/4/25,-65.68461777,-0.037562301
2014/4/28,-31.9379845,-0.018230088
2014/4/29,10.66914498,0.006205405
2014/4/30,43.97899938,0.025658378
2014/5/6,37.74552193,0.02284486
2014/5/8,-5.955665025,-0.003549358
2014/5/14,-98.32922318,-0.054526496
2014/5/15,-68.32019704,-0.038592
2014/5/16,-57.41457789,-0.032466696
2014/5/19,-63.66307361,-0.035335726
2014/5/20,-15.79109063,-0.009097345
2014/5/21,-27.99661434,-0.016099292
2014/5/23,-31.39469244,-0.018111681
2014/5/26,-117.4333487,-0.064331765
2014/5/27,-81.27941176,-0.045349744
2014/5/28,-79.44390095,-0.044420684
2014/5/29,-105.0805124,-0.058898974
2014/6/2,-57.72036474,-0.033026087
2014/6/3,-13.76690119,-0.008108829
2014/6/4,-2.766901193,-0.00162973
2014/6/5,28.31334149,0.016977615
2014/6/6,-0.49907919,-0.000292973
2014/6/9,-36.21399938,-0.020786195
2014/6/10,-84.59913926,-0.047861043
2014/6/11,-53.85828466,-0.031009027
2014/6/12,-112.814541,-0.063137241
2014/6/16,-128.9498069,-0.071363248
2014/6/17,-118.4957634,-0.065739829
2014/6/18,-98.89298893,-0.054974359
2014/6/19,-90.15536375,-0.049153613
2014/6/20,-61.74295395,-0.033688824
2014/6/23,-27.1114189,-0.014559504
2014/6/24,-25.55658341,-0.013699174
2014/6/25,-38.33271776,-0.020931597
2014/6/26,50.44598338,0.028016923
2014/6/27,-47.97151655,-0.02575
2014/6/30,-51.02526186,-0.027836639
2014/7/1,-24.2181146,-0.013437949
2014/7/2,-48.11241507,-0.026404746
2014/7/4,-26.23927138,-0.014780696
2014/7/7,-21.75138803,-0.012481062
2014/7/8,19.03703704,0.011113514
2014/7/9,70.08527132,0.042247664
2014/7/10,17.19055754,0.010155046
2014/7/15,37.92534992,0.022790654
2014/7/16,-23.86203675,-0.013931091
2014/7/17,9.348258706,0.00551633
2014/7/18,-8.377100187,-0.004807857
2014/7/21,-59.08920188,-0.034016216
2014/7/22,-98.28845549,-0.055302478
2014/7/23,-55.83202265,-0.03198018
2014/7/24,29.58533522,0.017287064
2014/7/25,7.72361809,0.004596636
2014/7/29,52.9715543,0.030922752
2014/7/30,-29.81191223,-0.017135135
2014/7/31,-18.02864259,-0.010249204
2014/8/4,-24.67371038,-0.014306306
2014/8/5,4.293714997,0.00253211
2014/8/6,27.05584859,0.016299252
2014/8/7,-0.351920694,-0.00020844
2014/8/18,15.53768844,0.009606214
2014/8/19,86.43771572,0.054549901
2014/8/20,34.61851157,0.021497087
2014/8/21,6.348968105,0.003867429
2014/8/22,53.98434565,0.032229159
2014/8/25,-8.136271292,-0.004865794
2014/8/26,-65.39348371,-0.038300183
2014/8/27,-21.54024428,-0.012855701
2014/8/28,31.09677419,0.01928
2014/8/29,8.293049468,0.005045333
2014/9/1,-58.92057536,-0.035220187
2014/9/2,-6.004671442,-0.003672571
2014/9/3,-13.55458515,-0.008277333
2014/9/4,-41.26677067,-0.024721495
2014/9/5,3.388152767,0.002110194
2014/9/8,-11.87222743,-0.007379223
2014/9/9,-48.22914072,-0.030675644
2014/9/10,-5.267080745,-0.003426263
2014/9/11,-47.0539071,-0.029988713
2014/9/12,27.78881988,0.018449485
2014/9/15,-22.98359641,-0.01470495
2014/9/16,-56.89922481,-0.035631068
2014/9/17,-45.39454094,-0.028417864
2014/9/18,-62.90951348,-0.039419223
2014/9/19,-118.4347826,-0.07264
2014/9/22,-133.8901644,-0.083791845
2014/9/23,-111.3494724,-0.071043168
2014/9/24,-69.83617747,-0.045471111
2014/9/25,-53.01300712,-0.035294639
2014/9/26,-21.54798762,-0.014350515
2014/9/29,8.497993208,0.005794737
2014/9/30,-86.36447734,-0.056581818
2014/10/8,-64.00888753,-0.042194141
2014/10/9,-25.52883133,-0.017070103
2014/10/10,-59.68647983,-0.039959175
2014/10/14,-49.89052891,-0.032127525
2014/10/15,-56.41315709,-0.03633901
2014/10/16,-25.20467117,-0.016568889
2014/10/17,-32.36390304,-0.020754554
2014/10/20,-26.87875039,-0.01655219
2014/10/21,-43.89036854,-0.026994667
2014/10/24,20.29293864,0.012300935
2014/10/27,-43.98952557,-0.0262
2014/10/28,-85.98952557,-0.051215046
2014/10/29,-27.73094101,-0.016518991
2014/10/30,-83.31900522,-0.049792661
2014/10/31,-108.6705557,-0.064352727
2014/11/3,-88.26648267,-0.052814128
2014/11/4,-96.0869033,-0.058693832
2014/11/6,-19.69591712,-0.012800396
2014/11/7,32.24116931,0.020966337
2014/11/10,-1.600792925,-0.001019223
2014/11/11,-57.2298571,-0.035853143
2014/11/12,8.221782781,0.005247573
2014/11/13,-5.878104525,-0.003674095
2014/11/14,-48.20109522,-0.030178476
2014/11/17,-38.60079292,-0.024577087
2014/11/18,-2.164888753,-0.001406535
2014/11/20,9.772768809,0.006353267
2014/11/21,14.3136239,0.009487475
2014/11/24,10.70928463,0.006966337
2014/11/25,56.46231156,0.037453333
2014/11/26,80.11602378,0.054173299
2014/11/27,65.8905154,0.044547423
2014/11/28,110.593179,0.076460632
2014/12/1,35.79203405,0.024783158
2014/12/2,82.76642336,0.058523871
2014/12/4,107.0212766,0.077384615
2014/12/8,53.74161378,0.038243226
2014/12/9,79.46889226,0.058842697
2014/12/11,102.3958587,0.077302989
2014/12/12,74.17019979,0.053443297
2014/12/15,85.05457853,0.060324731
2014/12/16,45.60606061,0.031684211
2014/12/17,43.29633,0.030052211
2014/12/18,34.66970526,0.024020632
2014/12/19,40.9132948,0.028312
2014/12/22,37.23100304,0.025787368
2014/12/23,-1.164133739,-0.000789691
2014/12/24,-10.16413374,-0.006894845
2014/12/26,2.072837633,0.001408247
2014/12/29,9.411764706,0.0064
2014/12/30,23.89790337,0.015888485
2015/1/6,-7.102096627,-0.004721818
2015/1/7,-61.10209663,-0.040623636
2015/1/8,-45.13538976,-0.030309796
2015/1/9,-33.90914616,-0.02277449
2015/1/12,-44.81453329,-0.030080612
2015/1/13,-53.95861229,-0.036558351
2015/1/14,-50.17073171,-0.034644211
2015/1/15,-54.49649069,-0.037596842
2015/1/16,-42.75995101,-0.030033118
2015/1/19,-15.70552147,-0.011252747
2015/1/20,10.11457379,0.007356667
2015/1/21,-11.99509804,-0.008604835
2015/1/22,-8.610242257,-0.006103913
2015/1/23,-7.177805028,-0.00509
2015/1/26,-15.04294479,-0.01066087
2015/1/27,-25.01044868,-0.017501935
2015/1/28,-20.57142857,-0.0144
2015/1/29,-15.58361357,-0.010962151
2015/1/30,-31.28100183,-0.022024516
2015/2/2,-13.81804234,-0.009684516
2015/2/3,-8.950980392,-0.00621617
2015/2/4,-13.39227705,-0.00929766
2015/2/5,-29.50995406,-0.0205
2015/2/6,-12.1905933,-0.008348632
2015/2/9,-9.588235294,-0.00652
2015/2/10,-22.94112236,-0.015585625
2015/2/11,-2.137825421,-0.001454167
2015/2/12,-57.4411495,-0.03914375
2015/2/13,30.51011649,0.020734167
2015/2/16,-53.50191688,-0.035967629
2015/2/17,-17.55773956,-0.011787216
2015/2/18,-36.64333947,-0.024615258
2015/2/23,-52.27384238,-0.035147423
2015/2/24,-40.29650092,-0.02735125
2015/2/25,-28.1905933,-0.019306105
2015/2/26,1.776368698,0.001209053
2015/2/27,-36.23005566,-0.02441
2015/3/2,-42.68914321,-0.028752917
2015/3/3,-24.00061833,-0.016172917
2015/3/5,-29.69318532,-0.020272632
2015/3/6,-56.46739633,-0.038558316
2015/3/9,28.0089039,0.020049451
2015/3/10,-6.714940422,-0.004726452
2015/3/11,22.3424408,0.015827097
2015/3/12,-0.490094483,-0.000342128
2015/3/13,-10.89185905,-0.007548632
2015/3/16,-13.01578628,-0.009026105
2015/3/17,-17.52324521,-0.012014375
2015/3/18,-30.52324521,-0.0209275
2015/3/19,-51.91603053,-0.035056701
2015/3/20,-37.09651802,-0.025302917
2015/3/23,-43.2014742,-0.029305
2015/3/24,-24.61925265,-0.016505052
2015/3/25,-20.55773956,-0.013801237
2015/3/26,-11.01536098,-0.007392784
2015/3/27,-17.73006135,-0.011917526
2015/3/30,-28.10039914,-0.018870722
2015/3/31,-56.24427715,-0.037741649
2015/4/1,-58.5610206,-0.039687292
2015/4/2,-64.83251232,-0.04387
2015/4/7,-73.29650092,-0.04975
2015/4/8,-73.06926739,-0.050079368
2015/4/9,-77.06926739,-0.052820842
2015/4/10,-56.48894349,-0.039133617
2015/4/16,-66.16970071,-0.045628936
2015/4/17,-64.06514356,-0.044150426
2015/4/20,-71.06514356,-0.048974468
2015/4/21,-21.06514356,-0.014517021
2015/4/22,-51.41038319,-0.035396596
2015/4/23,-59.98830409,-0.041032
2015/4/24,-51.29339478,-0.035149474
2015/4/27,-10.40724881,-0.007015773
2015/4/28,3.182096873,0.002140206
2015/4/29,12.82531954,0.008600816
2015/4/30,12.63512284,0.008415758
2015/5/6,26.31193761,0.01687
2015/5/7,-25.0020852,-0.016140769
