日期,华北融指1线性（天津9085）
2013-01-04,11400.0
2013-01-07,11350.0
2013-01-08,11350.0
2013-01-09,11300.0
2013-01-10,11300.0
2013-01-11,11300.0
2013-01-14,11200.0
2013-01-15,11150.0
2013-01-16,11150.0
2013-01-17,11150.0
2013-01-18,11070.0
2013-01-21,11070.0
2013-01-22,11050.0
2013-01-23,11050.0
2013-01-24,11050.0
2013-01-25,11050.0
2013-01-28,11100.0
2013-01-29,11200.0
2013-01-30,11200.0
2013-01-31,11200.0
2013-02-01,11200.0
2013-02-04,11200.0
2013-02-05,11200.0
2013-02-06,11200.0
2013-02-07,11200.0
2013-02-08,11200.0
2013-02-18,11250.0
2013-02-19,11250.0
2013-02-20,11150.0
2013-02-21,11150.0
2013-02-22,11050.0
2013-02-25,11050.0
2013-02-26,11100.0
2013-02-27,11000.0
2013-02-28,11000.0
2013-03-01,11050.0
2013-03-04,11050.0
2013-03-05,11050.0
2013-03-06,11000.0
2013-03-07,10850.0
2013-03-08,10900.0
2013-03-11,10950.0
2013-03-12,10950.0
2013-03-13,10950.0
2013-03-14,10950.0
2013-03-15,10950.0
2013-03-18,10950.0
2013-03-19,10950.0
2013-03-20,10800.0
2013-03-21,10800.0
2013-03-22,10850.0
2013-03-25,10900.0
2013-03-26,10950.0
2013-03-27,10950.0
2013-03-28,10850.0
2013-03-29,10850.0
2013-04-01,10850.0
2013-04-02,10750.0
2013-04-03,10750.0
2013-04-08,10750.0
2013-04-09,10800.0
2013-04-10,10800.0
2013-04-11,10800.0
2013-04-12,10800.0
2013-04-15,10800.0
2013-04-16,10600.0
2013-04-17,10600.0
2013-04-18,10400.0
2013-04-19,10400.0
2013-04-22,10400.0
2013-04-23,10400.0
2013-04-24,10300.0
2013-04-25,10300.0
2013-04-26,10400.0
2013-05-02,10400.0
2013-05-03,10450.0
2013-05-06,10550.0
2013-05-07,10550.0
2013-05-08,10550.0
2013-05-09,10600.0
2013-05-10,10600.0
2013-05-13,10650.0
2013-05-14,10650.0
2013-05-15,10650.0
2013-05-16,10650.0
2013-05-17,10650.0
2013-05-20,10600.0
2013-05-21,10650.0
2013-05-22,10650.0
2013-05-23,10600.0
2013-05-24,10600.0
2013-05-27,10600.0
2013-05-28,10600.0
2013-05-29,10650.0
2013-05-30,10650.0
2013-05-31,10650.0
2013-06-03,10650.0
2013-06-04,10650.0
2013-06-05,10700.0
2013-06-06,10700.0
2013-06-07,10750.0
2013-06-13,10850.0
2013-06-14,10850.0
2013-06-17,10850.0
2013-06-18,10880.0
2013-06-19,10880.0
2013-06-20,10850.0
2013-06-21,10700.0
2013-06-24,10770.0
2013-06-25,10650.0
2013-06-26,10650.0
2013-06-27,10650.0
2013-06-28,10650.0
2013-07-01,10650.0
2013-07-02,10650.0
2013-07-03,10650.0
2013-07-04,10700.0
2013-07-05,10700.0
2013-07-08,10800.0
2013-07-09,10800.0
2013-07-10,10800.0
2013-07-11,10850.0
2013-07-12,10800.0
2013-07-15,10850.0
2013-07-16,10850.0
2013-07-17,10850.0
2013-07-18,10850.0
2013-07-19,10900.0
2013-07-22,10900.0
2013-07-23,10920.0
2013-07-24,11000.0
2013-07-25,11050.0
2013-07-26,11050.0
2013-07-29,11050.0
2013-07-30,11050.0
2013-07-31,11050.0
2013-08-01,11050.0
2013-08-02,11050.0
2013-08-05,11500.0
2013-08-06,11500.0
2013-08-07,11550.0
2013-08-08,11550.0
2013-08-09,11550.0
2013-08-12,11500.0
2013-08-13,11300.0
2013-08-14,11300.0
2013-08-15,11300.0
2013-08-16,11250.0
2013-08-19,11250.0
2013-08-20,11250.0
2013-08-21,11250.0
2013-08-22,11250.0
2013-08-23,11150.0
2013-08-26,11150.0
2013-08-27,11150.0
2013-08-28,11400.0
2013-08-29,11400.0
2013-08-30,11400.0
2013-09-02,11400.0
2013-09-03,11400.0
2013-09-04,11550.0
2013-09-05,11450.0
2013-09-06,11450.0
2013-09-09,11550.0
2013-09-10,11750.0
2013-09-11,11750.0
2013-09-12,11750.0
2013-09-13,11750.0
2013-09-16,11750.0
2013-09-17,11600.0
2013-09-18,11550.0
2013-09-23,11550.0
2013-09-24,11500.0
2013-09-25,11300.0
2013-09-26,11300.0
2013-09-27,11300.0
2013-10-08,11400.0
2013-10-09,11400.0
2013-10-10,11700.0
2013-10-11,11700.0
2013-10-14,11700.0
2013-10-15,11800.0
2013-10-16,11800.0
2013-10-17,11800.0
2013-10-18,11800.0
2013-10-21,11800.0
2013-10-22,11800.0
2013-10-23,11800.0
2013-10-24,11800.0
2013-10-25,11800.0
2013-10-28,11800.0
2013-10-29,11800.0
2013-10-30,11800.0
2013-10-31,11800.0
2013-11-01,11800.0
2013-11-04,11850.0
2013-11-05,11900.0
2013-11-06,11900.0
2013-11-07,12000.0
2013-11-08,11850.0
2013-11-11,11850.0
2013-11-12,11850.0
2013-11-13,11850.0
2013-11-14,11850.0
2013-11-15,11900.0
2013-11-18,11900.0
2013-11-19,11900.0
2013-11-20,11900.0
2013-11-21,11900.0
2013-11-22,11900.0
2013-11-25,11900.0
2013-11-26,12000.0
2013-11-27,12000.0
2013-11-28,12000.0
2013-11-29,12000.0
2013-12-02,12000.0
2013-12-03,12100.0
2013-12-04,12100.0
2013-12-05,12150.0
2013-12-06,12150.0
2013-12-09,12150.0
2013-12-10,12150.0
2013-12-11,12150.0
2013-12-12,12050.0
2013-12-13,12000.0
2013-12-16,12000.0
2013-12-17,11900.0
2013-12-18,11900.0
2013-12-19,12100.0
2013-12-20,12100.0
2013-12-23,12150.0
2013-12-24,12150.0
2013-12-25,12050.0
2013-12-26,12000.0
2013-12-27,12000.0
2013-12-30,12000.0
2013-12-31,12150.0
2014-01-02,12150.0
2014-01-03,12150.0
2014-01-06,12050.0
2014-01-07,11850.0
2014-01-08,11900.0
2014-01-09,11900.0
2014-01-10,11900.0
2014-01-13,11900.0
2014-01-14,11830.0
2014-01-15,11830.0
2014-01-16,11830.0
2014-01-17,11830.0
2014-01-20,11830.0
2014-01-21,11830.0
2014-01-22,11830.0
2014-01-23,11830.0
2014-01-24,11500.0
2014-01-27,11500.0
2014-01-28,11500.0
2014-01-29,11500.0
2014-01-30,11500.0
2014-02-07,11600.0
2014-02-10,11450.0
2014-02-11,11400.0
2014-02-12,11200.0
2014-02-13,11200.0
2014-02-14,11200.0
2014-02-17,11000.0
2014-02-18,11000.0
2014-02-19,10800.0
2014-02-20,10800.0
2014-02-21,10900.0
2014-02-24,10950.0
2014-02-25,11100.0
2014-02-26,11200.0
2014-02-27,11200.0
2014-02-28,11200.0
2014-03-03,11200.0
2014-03-04,11200.0
2014-03-05,11100.0
2014-03-06,11100.0
2014-03-07,11000.0
2014-03-10,11000.0
2014-03-11,10800.0
2014-03-12,10800.0
2014-03-13,10800.0
2014-03-14,10800.0
2014-03-17,11100.0
2014-03-18,11100.0
2014-03-19,11300.0
2014-03-20,11300.0
2014-03-21,11300.0
2014-03-24,11300.0
2014-03-25,11300.0
2014-03-26,11300.0
2014-03-27,11300.0
2014-03-28,11300.0
2014-03-31,11300.0
2014-04-01,11550.0
2014-04-02,11550.0
2014-04-03,11550.0
2014-04-04,11750.0
2014-04-08,11750.0
2014-04-09,11600.0
2014-04-10,11600.0
2014-04-11,11600.0
2014-04-14,11600.0
2014-04-15,11600.0
2014-04-16,11600.0
2014-04-17,11600.0
2014-04-18,11900.0
2014-04-21,11800.0
2014-04-22,11800.0
2014-04-23,11850.0
2014-04-24,11900.0
2014-04-25,11900.0
2014-04-28,11900.0
2014-04-29,11900.0
2014-04-30,11900.0
2014-05-05,11900.0
2014-05-06,11900.0
2014-05-07,11900.0
2014-05-08,11900.0
2014-05-09,11900.0
2014-05-12,11900.0
2014-05-13,11900.0
2014-05-14,11900.0
2014-05-15,11900.0
2014-05-16,11750.0
2014-05-19,11750.0
2014-05-20,11750.0
2014-05-21,11750.0
2014-05-22,11750.0
2014-05-23,11750.0
2014-05-26,11750.0
2014-05-27,11730.0
2014-05-28,11730.0
2014-05-29,11730.0
2014-05-30,11730.0
2014-06-03,11730.0
2014-06-04,11730.0
2014-06-05,11900.0
2014-06-06,11900.0
2014-06-09,11900.0
2014-06-10,11900.0
2014-06-11,12000.0
2014-06-12,12000.0
2014-06-13,12000.0
2014-06-16,12000.0
2014-06-17,12100.0
2014-06-18,12100.0
2014-06-19,12000.0
2014-06-20,11900.0
2014-06-23,11900.0
2014-06-24,11900.0
2014-06-25,11900.0
2014-06-26,11900.0
2014-06-27,11900.0
2014-06-30,11800.0
2014-07-01,11900.0
2014-07-02,11900.0
2014-07-03,11900.0
2014-07-04,11900.0
2014-07-07,11900.0
2014-07-08,11900.0
2014-07-09,11950.0
2014-07-10,11900.0
2014-07-11,11900.0
2014-07-14,11900.0
2014-07-15,11900.0
2014-07-16,11900.0
2014-07-17,11800.0
2014-07-18,11800.0
2014-07-21,11800.0
2014-07-22,11800.0
2014-07-23,11800.0
2014-07-24,11800.0
2014-07-25,11850.0
2014-07-28,11850.0
2014-07-29,11850.0
2014-07-30,11850.0
2014-07-31,11850.0
2014-08-01,11850.0
2014-08-04,11850.0
2014-08-05,11850.0
2014-08-06,11800.0
2014-08-07,11800.0
2014-08-08,11750.0
2014-08-11,11750.0
2014-08-12,11600.0
2014-08-13,11600.0
2014-08-14,11500.0
2014-08-15,11500.0
2014-08-18,11500.0
2014-08-19,11500.0
2014-08-20,11500.0
2014-08-21,11500.0
2014-08-22,11500.0
2014-08-25,11500.0
2014-08-26,11500.0
2014-08-27,11400.0
2014-08-28,11400.0
2014-08-29,11400.0
2014-09-01,11500.0
2014-09-02,11500.0
2014-09-03,11500.0
2014-09-04,11500.0
2014-09-05,11500.0
2014-09-09,11450.0
2014-09-10,11450.0
2014-09-11,11250.0
2014-09-12,11250.0
2014-09-15,11250.0
2014-09-16,11000.0
2014-09-17,11000.0
2014-09-18,11000.0
2014-09-19,11000.0
2014-09-22,11000.0
2014-09-23,10600.0
2014-09-24,10600.0
2014-09-25,10900.0
2014-09-26,10950.0
2014-09-29,10950.0
2014-09-30,10950.0
2014-10-08,10950.0
2014-10-09,10950.0
2014-10-10,10700.0
2014-10-13,10600.0
2014-10-14,10600.0
2014-10-15,10600.0
2014-10-16,10600.0
2014-10-17,10600.0
2014-10-20,10600.0
2014-10-21,10630.0
2014-10-22,10630.0
2014-10-23,10630.0
2014-10-24,10630.0
2014-10-27,10630.0
2014-10-28,10630.0
2014-10-29,10630.0
2014-10-30,10630.0
2014-10-31,10630.0
2014-11-03,10850.0
2014-11-04,10850.0
2014-11-05,10800.0
2014-11-06,10750.0
2014-11-07,10750.0
2014-11-10,10750.0
2014-11-11,10750.0
2014-11-12,10750.0
2014-11-13,10730.0
2014-11-14,10700.0
2014-11-17,10700.0
2014-11-18,10630.0
2014-11-19,10600.0
2014-11-20,10600.0
2014-11-21,10600.0
2014-11-24,10600.0
2014-11-25,10570.0
2014-11-26,10570.0
2014-11-27,10500.0
2014-11-28,10500.0
2014-12-01,10500.0
2014-12-02,10500.0
2014-12-03,10500.0
2014-12-04,10500.0
2014-12-05,10000.0
2014-12-08,10000.0
2014-12-09,9550.0
2014-12-10,9400.0
2014-12-11,9100.0
2014-12-12,9100.0
2014-12-15,9100.0
2014-12-16,9150.0
2014-12-17,9150.0
2014-12-18,9300.0
2014-12-19,9300.0
2014-12-22,9600.0
2014-12-23,10200.0
2014-12-24,9800.0
2014-12-25,9800.0
2014-12-26,9600.0
2014-12-29,9600.0
2014-12-30,9600.0
2014-12-31,9600.0
2015-01-05,9600.0
2015-01-06,9600.0
2015-01-07,9600.0
2015-01-08,9300.0
2015-01-09,9100.0
2015-01-12,9100.0
2015-01-13,9100.0
2015-01-14,9100.0
2015-01-15,9200.0
2015-01-16,9300.0
2015-01-19,9300.0
2015-01-20,9400.0
2015-01-21,9500.0
2015-01-22,9430.0
2015-01-23,9350.0
2015-01-26,9350.0
2015-01-27,9000.0
2015-01-28,9000.0
2015-01-29,9000.0
2015-01-30,9000.0
2015-02-02,9000.0
2015-02-03,9000.0
2015-02-04,9300.0
2015-02-05,9300.0
2015-02-06,9300.0
2015-02-09,9300.0
2015-02-10,9300.0
2015-02-11,9300.0
2015-02-12,9300.0
2015-02-13,9300.0
2015-02-16,9300.0
2015-02-17,9300.0
