日期,华北电石法 SG5
2012-01-04,6530.0
2012-01-05,6530.0
2012-01-06,6530.0
2012-01-09,6530.0
2012-01-10,6530.0
2012-01-11,6530.0
2012-01-12,6530.0
2012-01-13,6530.0
2012-01-16,6530.0
2012-01-17,6530.0
2012-01-18,6530.0
2012-01-19,6530.0
2012-01-20,6530.0
2012-01-30,6530.0
2012-01-31,6530.0
2012-02-01,6530.0
2012-02-02,6550.0
2012-02-03,6550.0
2012-02-06,6550.0
2012-02-07,6550.0
2012-02-08,6580.0
2012-02-09,6580.0
2012-02-10,6580.0
2012-02-13,6580.0
2012-02-14,6580.0
2012-02-15,6580.0
2012-02-16,6580.0
2012-02-17,6580.0
2012-02-20,6580.0
2012-02-21,6580.0
2012-02-22,6580.0
2012-02-23,6580.0
2012-02-24,6580.0
2012-02-27,6580.0
2012-02-28,6580.0
2012-02-29,6580.0
2012-03-01,6580.0
2012-03-02,6580.0
2012-03-05,6580.0
2012-03-06,6580.0
2012-03-07,6580.0
2012-03-08,6580.0
2012-03-09,6580.0
2012-03-12,6580.0
2012-03-13,6580.0
2012-03-14,6580.0
2012-03-15,6580.0
2012-03-16,6580.0
2012-03-19,6580.0
2012-03-20,6580.0
2012-03-21,6580.0
2012-03-22,6580.0
2012-03-23,6580.0
2012-03-26,6580.0
2012-03-27,6580.0
2012-03-28,6580.0
2012-03-29,6580.0
2012-03-30,6580.0
2012-04-05,6580.0
2012-04-06,6580.0
2012-04-09,6580.0
2012-04-10,6580.0
2012-04-11,6580.0
2012-04-12,6580.0
2012-04-13,6600.0
2012-04-16,6600.0
2012-04-17,6600.0
2012-04-18,6600.0
2012-04-19,6600.0
2012-04-20,6600.0
2012-04-23,6650.0
2012-04-24,6650.0
2012-04-25,6650.0
2012-04-26,6650.0
2012-04-27,6650.0
2012-05-02,6650.0
2012-05-03,6650.0
2012-05-04,6650.0
2012-05-07,6650.0
2012-05-08,6650.0
2012-05-09,6650.0
2012-05-10,6650.0
2012-05-11,6650.0
2012-05-14,6650.0
2012-05-15,6650.0
2012-05-16,6650.0
2012-05-17,6650.0
2012-05-18,6650.0
2012-05-21,6650.0
2012-05-22,6650.0
2012-05-23,6650.0
2012-05-24,6650.0
2012-05-25,6650.0
2012-05-28,6550.0
2012-05-29,6500.0
2012-05-30,6460.0
2012-05-31,6460.0
2012-06-01,6460.0
2012-06-04,6450.0
2012-06-05,6450.0
2012-06-06,6450.0
2012-06-07,6450.0
2012-06-08,6450.0
2012-06-11,6450.0
2012-06-12,6450.0
2012-06-13,6450.0
2012-06-14,6450.0
2012-06-15,6450.0
2012-06-18,6450.0
2012-06-19,6450.0
2012-06-20,6450.0
2012-06-21,6450.0
2012-06-25,6450.0
2012-06-26,6450.0
2012-06-27,6450.0
2012-06-28,6450.0
2012-06-29,6200.0
2012-07-02,6200.0
2012-07-03,6200.0
2012-07-04,6300.0
2012-07-05,6300.0
2012-07-06,6300.0
2012-07-09,6300.0
2012-07-10,6300.0
2012-07-11,6300.0
2012-07-12,6300.0
2012-07-13,6300.0
2012-07-16,6300.0
2012-07-17,6300.0
2012-07-18,6320.0
2012-07-19,6320.0
2012-07-20,6320.0
2012-07-23,6320.0
2012-07-24,6320.0
2012-07-25,6320.0
2012-07-26,6320.0
2012-07-27,6320.0
2012-07-30,6320.0
2012-07-31,6320.0
2012-08-01,6320.0
2012-08-02,6320.0
2012-08-03,6320.0
2012-08-06,6320.0
2012-08-07,6350.0
2012-08-08,6350.0
2012-08-09,6350.0
2012-08-10,6350.0
2012-08-13,6350.0
2012-08-14,6350.0
2012-08-15,6350.0
2012-08-16,6360.0
2012-08-17,6360.0
2012-08-20,6360.0
