日期,SM
2015-01-05,7125.0
2015-01-06,6975.0
2015-01-07,6650.0
2015-01-08,6675.0
2015-01-09,6825.0
2015-01-12,6825.0
2015-01-13,6550.0
2015-01-14,6725.0
2015-01-15,6825.0
2015-01-16,6875.0
2015-01-19,7150.0
2015-01-20,7050.0
2015-01-21,7075.0
2015-01-22,7025.0
2015-01-23,7025.0
2015-01-26,6925.0
2015-01-27,6925.0
2015-01-28,7025.0
2015-01-29,7025.0
2015-01-30,6925.0
2015-02-02,6950.0
2015-02-03,7075.0
2015-02-04,7200.0
2015-02-05,7065.0
2015-02-06,7125.0
2015-02-09,7175.0
2015-02-10,7175.0
2015-02-11,7165.0
2015-02-12,7240.0
2015-02-13,7375.0
2015-02-16,7375.0
2015-02-17,7375.0
2015-02-25,7340.0
2015-02-26,7575.0
2015-02-27,7800.0
2015-03-02,8350.0
2015-03-03,8350.0
2015-03-04,8325.0
2015-03-05,8425.0
2015-03-06,8575.0
2015-03-09,8550.0
2015-03-10,8425.0
2015-03-11,8375.0
2015-03-12,8350.0
2015-03-13,8425.0
2015-03-16,8225.0
2015-03-17,8075.0
2015-03-18,7875.0
2015-03-19,8025.0
2015-03-20,8025.0
2015-03-23,8275.0
2015-03-24,8375.0
2015-03-25,8365.0
2015-03-26,8475.0
2015-03-27,8500.0
2015-03-30,8475.0
2015-03-31,8525.0
2015-04-01,8700.0
2015-04-02,9000.0
2015-04-03,9150.0
2015-04-07,9400.0
2015-04-08,9425.0
2015-04-09,9475.0
2015-04-10,9625.0
2015-04-13,9875.0
2015-04-14,10050.0
2015-04-15,9975.0
2015-04-16,10200.0
2015-04-17,10500.0
2015-04-20,10925.0
2015-04-21,10725.0
2015-04-22,10875.0
2015-04-23,10975.0
2015-04-24,10975.0
2015-04-27,10840.0
2015-04-28,10600.0
2015-04-29,10725.0
2015-04-30,10825.0
2015-05-04,11075.0
2015-05-05,11100.0
2015-05-06,11025.0
2015-05-07,10925.0
2015-05-08,10875.0
2015-05-11,11000.0
2015-05-12,10925.0
2015-05-13,10950.0
2015-05-14,11125.0
2015-05-15,11150.0
2015-05-18,10975.0
2015-05-19,10900.0
2015-05-20,10800.0
2015-05-21,10650.0
2015-05-22,10565.0
2015-05-25,10400.0
2015-05-26,10075.0
2015-05-27,10075.0
2015-05-28,10075.0
2015-05-29,10075.0
2015-06-01,10075.0
2015-06-02,9950.0
2015-06-03,9925.0
2015-06-04,9945.0
2015-06-05,10025.0
2015-06-08,10075.0
2015-06-09,10275.0
2015-06-10,10675.0
2015-06-11,10625.0
2015-06-12,10625.0
2015-06-15,10575.0
2015-06-16,10675.0
2015-06-17,10575.0
2015-06-18,10500.0
2015-06-19,10500.0
2015-06-23,10450.0
2015-06-24,10365.0
2015-06-25,10375.0
2015-06-26,10325.0
2015-06-29,10285.0
2015-06-30,10175.0
2015-07-01,10075.0
2015-07-02,9975.0
2015-07-03,9950.0
2015-07-06,9850.0
2015-07-07,9475.0
2015-07-08,8975.0
2015-07-09,9500.0
2015-07-10,9550.0
2015-07-13,9425.0
2015-07-14,9450.0
2015-07-15,9525.0
2015-07-16,9550.0
2015-07-17,9750.0
2015-07-20,9755.0
2015-07-21,9675.0
2015-07-22,9550.0
2015-07-23,9350.0
2015-07-24,9225.0
2015-07-27,9150.0
2015-07-28,9200.0
2015-07-29,9275.0
2015-07-30,9075.0
2015-07-31,9125.0
2015-08-03,9075.0
2015-08-04,8875.0
2015-08-05,8925.0
2015-08-06,8725.0
2015-08-07,8775.0
2015-08-10,8900.0
2015-08-11,8950.0
2015-08-12,9075.0
2015-08-13,9025.0
2015-08-14,8725.0
2015-08-17,8775.0
2015-08-18,8475.0
2015-08-19,8350.0
2015-08-20,7975.0
2015-08-21,7600.0
2015-08-24,7125.0
2015-08-25,7250.0
2015-08-26,7375.0
2015-08-27,7550.0
2015-08-28,7950.0
2015-08-31,7775.0
2015-09-01,7875.0
2015-09-02,7800.0
2015-09-07,7875.0
2015-09-08,7775.0
2015-09-09,7775.0
2015-09-10,7500.0
2015-09-11,7375.0
2015-09-14,7225.0
2015-09-15,7375.0
2015-09-16,7375.0
2015-09-17,7400.0
2015-09-18,7550.0
2015-09-21,7625.0
2015-09-22,7750.0
2015-09-23,7600.0
2015-09-24,7550.0
2015-09-25,7525.0
2015-09-28,7375.0
2015-09-29,7475.0
2015-09-30,7425.0
2015-10-08,7575.0
2015-10-09,7675.0
2015-10-12,7700.0
2015-10-13,7750.0
2015-10-14,7675.0
2015-10-15,7675.0
2015-10-16,7725.0
2015-10-19,7825.0
2015-10-20,7825.0
2015-10-21,7825.0
2015-10-22,7825.0
2015-10-23,7875.0
2015-10-26,7825.0
2015-10-27,7725.0
2015-10-28,7775.0
2015-10-29,7825.0
2015-10-30,7800.0
2015-11-02,7765.0
2015-11-03,7725.0
2015-11-04,7685.0
2015-11-05,7575.0
2015-11-06,7575.0
2015-11-09,7715.0
2015-11-10,7740.0
2015-11-11,7775.0
2015-11-12,7775.0
2015-11-13,7765.0
2015-11-16,7840.0
2015-11-17,8025.0
2015-11-18,7910.0
2015-11-19,7875.0
2015-11-20,7725.0
2015-11-23,7500.0
2015-11-24,7425.0
2015-11-25,7425.0
2015-11-26,7525.0
2015-11-27,7475.0
2015-11-30,7425.0
2015-12-01,7325.0
2015-12-02,7425.0
2015-12-03,7475.0
2015-12-04,7515.0
2015-12-07,7625.0
2015-12-08,7625.0
2015-12-09,7600.0
2015-12-10,7525.0
2015-12-11,7425.0
2015-12-14,7275.0
2015-12-15,7250.0
2015-12-16,7200.0
2015-12-17,7120.0
2015-12-18,7025.0
2015-12-21,7035.0
2015-12-22,7075.0
2015-12-23,7090.0
2015-12-24,7135.0
2015-12-25,7275.0
2015-12-28,7225.0
2015-12-29,7275.0
2015-12-30,7325.0
2015-12-31,7275.0
2016-01-04,7315.0
2016-01-05,7355.0
2016-01-06,7475.0
2016-01-07,7400.0
2016-01-08,7500.0
2016-01-11,7485.0
2016-01-12,7355.0
2016-01-13,7325.0
2016-01-14,7360.0
2016-01-15,7425.0
2016-01-18,7305.0
2016-01-19,7325.0
2016-01-20,7175.0
2016-01-21,7025.0
2016-01-22,7085.0
2016-01-25,7225.0
2016-01-26,7155.0
2016-01-27,7240.0
2016-01-28,7315.0
2016-01-29,7445.0
2016-02-01,7510.0
2016-02-02,7475.0
2016-02-03,7495.0
2016-02-04,7500.0
2016-02-05,7500.0
2016-02-15,7475.0
2016-02-16,7495.0
2016-02-17,7525.0
2016-02-18,7775.0
2016-02-19,7750.0
2016-02-22,7925.0
2016-02-23,7950.0
2016-02-24,7875.0
2016-02-25,7890.0
2016-02-26,7965.0
2016-02-29,8250.0
2016-03-01,8360.0
2016-03-02,8550.0
2016-03-03,8650.0
2016-03-04,8800.0
2016-03-07,9075.0
2016-03-08,8835.0
2016-03-09,8790.0
2016-03-10,8670.0
2016-03-11,8660.0
2016-03-14,8725.0
2016-03-15,8625.0
2016-03-16,8725.0
2016-03-17,8925.0
2016-03-18,8925.0
2016-03-21,8775.0
2016-03-22,8725.0
2016-03-23,8575.0
2016-03-24,8625.0
2016-03-25,8725.0
2016-03-28,8775.0
2016-03-29,8625.0
2016-03-30,8625.0
2016-03-31,8600.0
2016-04-01,8700.0
2016-04-05,8625.0
2016-04-06,8525.0
2016-04-07,8400.0
2016-04-08,8425.0
2016-04-11,8425.0
2016-04-12,8375.0
2016-04-13,8350.0
2016-04-14,8325.0
2016-04-15,8295.0
2016-04-18,8110.0
2016-04-19,8125.0
2016-04-20,8175.0
2016-04-21,8375.0
2016-04-22,8285.0
2016-04-25,8175.0
2016-04-26,8125.0
2016-04-27,8165.0
2016-04-28,8155.0
2016-04-29,8225.0
2016-05-03,8225.0
2016-05-04,8205.0
2016-05-05,8185.0
2016-05-06,8125.0
2016-05-09,7990.0
2016-05-10,7875.0
2016-05-11,7885.0
2016-05-12,7925.0
2016-05-13,7825.0
2016-05-16,7875.0
2016-05-17,7940.0
2016-05-18,7925.0
2016-05-19,7890.0
2016-05-20,7955.0
2016-05-23,7875.0
2016-05-24,7800.0
2016-05-25,7765.0
2016-05-26,7715.0
2016-05-27,7655.0
2016-05-30,7725.0
2016-05-31,7800.0
2016-06-01,7775.0
2016-06-02,7780.0
2016-06-03,7740.0
2016-06-06,7720.0
2016-06-07,7810.0
2016-06-08,7890.0
2016-06-13,7865.0
2016-06-14,7795.0
2016-06-15,7775.0
2016-06-16,7740.0
2016-06-17,7830.0
2016-06-20,7840.0
2016-06-21,7840.0
2016-06-22,7865.0
2016-06-23,7960.0
2016-06-24,7940.0
2016-06-27,8075.0
2016-06-28,8165.0
2016-06-29,8225.0
2016-06-30,8290.0
2016-07-01,8400.0
2016-07-04,8575.0
2016-07-05,8475.0
2016-07-06,8415.0
2016-07-07,8425.0
2016-07-08,8390.0
2016-07-11,8335.0
2016-07-12,8415.0
2016-07-13,8415.0
2016-07-14,8385.0
2016-07-15,8370.0
2016-07-18,8250.0
2016-07-19,8235.0
2016-07-20,8165.0
2016-07-21,8235.0
2016-07-22,8275.0
2016-07-25,8215.0
2016-07-26,8230.0
2016-07-27,8275.0
2016-07-28,8270.0
2016-07-29,8230.0
2016-08-01,8190.0
2016-08-02,8110.0
2016-08-03,7985.0
2016-08-04,8025.0
2016-08-05,8065.0
2016-08-08,8075.0
2016-08-09,8070.0
2016-08-10,8130.0
2016-08-11,8155.0
2016-08-12,8190.0
2016-08-15,8175.0
2016-08-16,8205.0
2016-08-17,8225.0
2016-08-18,8240.0
2016-08-19,8285.0
2016-08-22,8220.0
2016-08-23,8235.0
2016-08-24,8220.0
2016-08-25,8270.0
2016-08-26,8315.0
2016-08-29,8340.0
2016-08-30,8375.0
2016-08-31,8360.0
2016-09-01,8425.0
2016-09-02,8465.0
2016-09-05,8525.0
2016-09-06,8475.0
2016-09-07,8435.0
2016-09-08,8465.0
2016-09-09,8465.0
2016-09-12,8390.0
2016-09-13,8440.0
2016-09-14,8375.0
2016-09-19,8350.0
2016-09-20,8345.0
2016-09-21,8365.0
2016-09-22,8410.0
2016-09-23,8355.0
2016-09-26,8360.0
2016-09-27,8325.0
2016-09-28,8330.0
2016-09-29,8360.0
2016-09-30,8375.0
2016-10-10,8295.0
2016-10-11,8235.0
2016-10-12,8235.0
2016-10-13,8230.0
2016-10-14,8290.0
2016-10-17,8260.0
2016-10-18,8265.0
2016-10-19,8325.0
2016-10-20,8425.0
2016-10-21,8425.0
2016-10-24,8475.0
2016-10-25,8575.0
2016-10-26,8575.0
2016-10-27,8625.0
2016-10-28,8525.0
2016-10-31,8540.0
2016-11-01,8575.0
2016-11-02,8750.0
2016-11-03,9150.0
2016-11-04,9450.0
2016-11-07,9325.0
2016-11-08,9325.0
2016-11-09,9560.0
2016-11-10,9925.0
2016-11-11,10190.0
2016-11-14,9900.0
2016-11-15,9725.0
2016-11-16,9875.0
2016-11-17,10300.0
2016-11-18,10275.0
2016-11-21,10475.0
2016-11-22,10700.0
2016-11-23,10900.0
2016-11-24,10500.0
2016-11-25,10550.0
2016-11-28,10450.0
2016-11-29,10150.0
2016-11-30,10075.0
2016-12-01,10200.0
2016-12-02,10300.0
2016-12-05,10475.0
2016-12-06,10475.0
2016-12-07,10700.0
2016-12-08,10600.0
2016-12-09,10700.0
2016-12-12,10925.0
2016-12-13,10775.0
2016-12-14,10600.0
2016-12-15,10450.0
2016-12-16,10250.0
2016-12-19,9850.0
2016-12-20,9925.0
2016-12-21,9925.0
2016-12-22,9975.0
2016-12-23,10000.0
2016-12-26,10075.0
2016-12-27,9975.0
2016-12-28,9925.0
2016-12-29,9850.0
2016-12-30,9875.0
2017-01-03,9850.0
2017-01-04,9725.0
2017-01-05,9925.0
2017-01-06,10175.0
2017-01-09,10135.0
2017-01-10,10300.0
2017-01-11,10390.0
2017-01-12,10450.0
2017-01-13,10550.0
2017-01-16,10605.0
2017-01-17,10450.0
2017-01-18,10425.0
2017-01-19,10700.0
2017-01-20,10790.0
2017-01-23,10825.0
2017-01-24,10825.0
2017-01-25,10925.0
2017-01-26,11090.0
2017-02-03,12050.0
2017-02-06,11925.0
2017-02-07,11525.0
2017-02-08,11375.0
2017-02-09,11390.0
2017-02-10,11650.0
2017-02-13,11825.0
2017-02-14,11685.0
2017-02-15,11625.0
2017-02-16,11525.0
2017-02-17,11425.0
2017-02-20,11275.0
2017-02-21,11025.0
2017-02-22,10875.0
2017-02-23,10825.0
2017-02-24,11075.0
2017-02-27,11050.0
2017-02-28,10675.0
2017-03-01,10625.0
2017-03-02,10775.0
2017-03-03,10775.0
2017-03-06,10775.0
2017-03-07,10625.0
2017-03-08,10225.0
2017-03-09,9965.0
2017-03-10,9965.0
2017-03-13,9815.0
2017-03-14,10025.0
2017-03-15,10200.0
2017-03-16,10250.0
2017-03-17,10375.0
2017-03-20,10110.0
2017-03-21,9875.0
2017-03-22,9550.0
2017-03-23,9260.0
2017-03-24,9305.0
2017-03-27,9200.0
2017-03-28,9275.0
2017-03-29,9575.0
2017-03-30,9515.0
2017-03-31,9625.0
2017-04-05,9835.0
2017-04-06,9720.0
2017-04-07,9625.0
2017-04-10,9565.0
2017-04-11,9725.0
2017-04-12,9775.0
2017-04-13,9735.0
2017-04-14,9425.0
2017-04-17,9325.0
2017-04-18,9050.0
2017-04-19,9100.0
2017-04-20,9225.0
2017-04-21,9150.0
2017-04-24,9040.0
2017-04-25,9105.0
2017-04-26,8975.0
2017-04-27,9010.0
2017-04-28,9025.0
2017-05-02,8800.0
2017-05-03,8750.0
2017-05-04,8750.0
2017-05-05,8575.0
2017-05-08,8450.0
2017-05-09,8325.0
2017-05-10,8190.0
2017-05-11,8415.0
2017-05-12,8500.0
2017-05-15,8875.0
2017-05-16,9025.0
2017-05-17,9025.0
2017-05-18,9050.0
2017-05-19,9400.0
2017-05-22,9325.0
2017-05-23,9050.0
2017-05-24,9050.0
2017-05-25,9100.0
2017-05-26,9125.0
2017-05-31,9225.0
2017-06-01,9075.0
2017-06-02,9130.0
2017-06-05,9175.0
2017-06-06,9210.0
2017-06-07,9250.0
2017-06-08,9330.0
2017-06-09,9300.0
