date,VOLUME,OI,specific_contract,DEALNUM,HIGH,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2012-05-10,129998.0,16863.0,AG1209.SHF,,6196.0,6126.0,6082.0,2012-05-10,6140.0,6190.0,2012-09-17,2012-05-10,True,130 days 00:00:00.000000000
2012-05-11,103402.0,27510.0,AG1209.SHF,,6115.0,6056.0,6000.0,2012-05-11,6002.0,6110.0,2012-09-17,2012-05-10,False,129 days 00:00:00.000000000
2012-05-14,103834.0,28514.0,AG1209.SHF,,6045.0,5999.0,5960.0,2012-05-14,5976.0,6040.0,2012-09-17,2012-05-10,False,126 days 00:00:00.000000000
2012-05-15,222575.0,41119.0,AG1209.SHF,,5910.0,5813.0,5711.0,2012-05-15,5842.0,5895.0,2012-09-17,2012-05-10,False,125 days 00:00:00.000000000
2012-05-16,299601.0,54188.0,AG1209.SHF,,5786.0,5704.0,5643.0,2012-05-16,5647.0,5750.0,2012-09-17,2012-05-10,False,124 days 00:00:00.000000000
2012-05-17,279144.0,44869.0,AG1209.SHF,,5787.0,5748.0,5691.0,2012-05-17,5763.0,5705.0,2012-09-17,2012-05-10,False,123 days 00:00:00.000000000
2012-05-18,347788.0,46081.0,AG1209.SHF,,5881.0,5827.0,5768.0,2012-05-18,5863.0,5808.0,2012-09-17,2012-05-10,False,122 days 00:00:00.000000000
2012-05-21,202883.0,48843.0,AG1209.SHF,,5964.0,5932.0,5903.0,2012-05-21,5940.0,5957.0,2012-09-17,2012-05-10,False,119 days 00:00:00.000000000
2012-05-22,185544.0,45358.0,AG1209.SHF,,5930.0,5903.0,5882.0,2012-05-22,5890.0,5920.0,2012-09-17,2012-05-10,False,118 days 00:00:00.000000000
2012-05-23,150085.0,45101.0,AG1209.SHF,,5818.0,5791.0,5759.0,2012-05-23,5791.0,5800.0,2012-09-17,2012-05-10,False,117 days 00:00:00.000000000
2012-05-24,150635.0,42969.0,AG1209.SHF,,5838.0,5804.0,5766.0,2012-05-24,5832.0,5785.0,2012-09-17,2012-05-10,False,116 days 00:00:00.000000000
2012-05-25,210139.0,46272.0,AG1209.SHF,,5912.0,5849.0,5804.0,2012-05-25,5904.0,5858.0,2012-09-17,2012-05-10,False,115 days 00:00:00.000000000
2012-05-28,190709.0,47460.0,AG1209.SHF,,5992.0,5955.0,5916.0,2012-05-28,5986.0,5940.0,2012-09-17,2012-05-10,False,112 days 00:00:00.000000000
2012-05-29,174960.0,46552.0,AG1209.SHF,,5982.0,5950.0,5922.0,2012-05-29,5962.0,5933.0,2012-09-17,2012-05-10,False,111 days 00:00:00.000000000
2012-05-30,174805.0,47274.0,AG1209.SHF,,5855.0,5826.0,5798.0,2012-05-30,5801.0,5817.0,2012-09-17,2012-05-10,False,110 days 00:00:00.000000000
2012-05-31,182979.0,42928.0,AG1209.SHF,,5878.0,5853.0,5826.0,2012-05-31,5851.0,5836.0,2012-09-17,2012-05-10,False,109 days 00:00:00.000000000
2012-06-01,148492.0,43264.0,AG1209.SHF,,5840.0,5811.0,5771.0,2012-06-01,5832.0,5800.0,2012-09-17,2012-05-10,False,108 days 00:00:00.000000000
2012-06-04,196844.0,43637.0,AG1209.SHF,,5998.0,5951.0,5901.0,2012-06-04,5949.0,5923.0,2012-09-17,2012-05-10,False,105 days 00:00:00.000000000
2012-06-05,161697.0,43994.0,AG1209.SHF,,5985.0,5952.0,5921.0,2012-06-05,5931.0,5954.0,2012-09-17,2012-05-10,False,104 days 00:00:00.000000000
2012-06-06,171923.0,44973.0,AG1209.SHF,,6092.0,6050.0,5991.0,2012-06-06,6088.0,6001.0,2012-09-17,2012-05-10,False,103 days 00:00:00.000000000
2012-06-07,136363.0,45822.0,AG1209.SHF,,6154.0,6125.0,6110.0,2012-06-07,6134.0,6145.0,2012-09-17,2012-05-10,False,102 days 00:00:00.000000000
2012-06-08,158240.0,39859.0,AG1209.SHF,,6023.0,5959.0,5905.0,2012-06-08,5935.0,6005.0,2012-09-17,2012-05-10,False,101 days 00:00:00.000000000
2012-06-11,103547.0,38650.0,AG1209.SHF,,6099.0,6068.0,6031.0,2012-06-11,6062.0,6054.0,2012-09-17,2012-05-10,False,98 days 00:00:00.000000000
2012-06-12,121851.0,43976.0,AG1209.SHF,,6038.0,6005.0,5978.0,2012-06-12,5989.0,5992.0,2012-09-17,2012-05-10,False,97 days 00:00:00.000000000
2012-06-13,92318.0,40094.0,AG1209.SHF,,6083.0,6062.0,6040.0,2012-06-13,6083.0,6050.0,2012-09-17,2012-05-10,False,96 days 00:00:00.000000000
2012-06-14,94623.0,41026.0,AG1209.SHF,,6128.0,6086.0,6061.0,2012-06-14,6080.0,6068.0,2012-09-17,2012-05-10,False,95 days 00:00:00.000000000
2012-06-15,104273.0,40418.0,AG1209.SHF,,6085.0,6062.0,6032.0,2012-06-15,6070.0,6050.0,2012-09-17,2012-05-10,False,94 days 00:00:00.000000000
