date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2012-05-11,2012-05-11,AG1212.SHF,2012-12-17,23475.0,8949.0,,6130.0,6085.0,6029.0,6034.0,6115.0,2012-05-10,True,220 days 00:00:00.000000000
2012-05-14,2012-05-14,AG1212.SHF,2012-12-17,18429.0,10655.0,,6079.0,6026.0,5978.0,5994.0,6070.0,2012-05-10,False,217 days 00:00:00.000000000
2012-05-15,2012-05-15,AG1212.SHF,2012-12-17,32100.0,12795.0,,5929.0,5841.0,5740.0,5861.0,5900.0,2012-05-10,False,216 days 00:00:00.000000000
2012-05-16,2012-05-16,AG1212.SHF,2012-12-17,40789.0,15832.0,,5796.0,5719.0,5658.0,5661.0,5763.0,2012-05-10,False,215 days 00:00:00.000000000
2012-05-17,2012-05-17,AG1212.SHF,2012-12-17,39290.0,13848.0,,5810.0,5771.0,5711.0,5794.0,5711.0,2012-05-10,False,214 days 00:00:00.000000000
2012-05-18,2012-05-18,AG1212.SHF,2012-12-17,54729.0,15075.0,,5913.0,5858.0,5797.0,5896.0,5854.0,2012-05-10,False,213 days 00:00:00.000000000
2012-05-21,2012-05-21,AG1212.SHF,2012-12-17,33006.0,13415.0,,5995.0,5956.0,5926.0,5961.0,5971.0,2012-05-10,False,210 days 00:00:00.000000000
2012-05-22,2012-05-22,AG1212.SHF,2012-12-17,21364.0,14055.0,,5952.0,5926.0,5908.0,5919.0,5951.0,2012-05-10,False,209 days 00:00:00.000000000
2012-05-23,2012-05-23,AG1212.SHF,2012-12-17,20003.0,13160.0,,5840.0,5814.0,5783.0,5811.0,5831.0,2012-05-10,False,208 days 00:00:00.000000000
2012-05-24,2012-05-24,AG1212.SHF,2012-12-17,21339.0,12501.0,,5867.0,5832.0,5795.0,5863.0,5820.0,2012-05-10,False,207 days 00:00:00.000000000
2012-05-25,2012-05-25,AG1212.SHF,2012-12-17,24851.0,11639.0,,5938.0,5876.0,5833.0,5930.0,5876.0,2012-05-10,False,206 days 00:00:00.000000000
2012-05-28,2012-05-28,AG1212.SHF,2012-12-17,22587.0,11964.0,,6022.0,5983.0,5944.0,6018.0,5970.0,2012-05-10,False,203 days 00:00:00.000000000
2012-05-29,2012-05-29,AG1212.SHF,2012-12-17,20519.0,12405.0,,6015.0,5980.0,5951.0,6000.0,5956.0,2012-05-10,False,202 days 00:00:00.000000000
2012-05-30,2012-05-30,AG1212.SHF,2012-12-17,22485.0,12079.0,,5885.0,5858.0,5820.0,5840.0,5861.0,2012-05-10,False,201 days 00:00:00.000000000
2012-05-31,2012-05-31,AG1212.SHF,2012-12-17,21865.0,12019.0,,5912.0,5886.0,5863.0,5880.0,5876.0,2012-05-10,False,200 days 00:00:00.000000000
2012-06-01,2012-06-01,AG1212.SHF,2012-12-17,20384.0,12297.0,,5880.0,5843.0,5804.0,5868.0,5840.0,2012-05-10,False,199 days 00:00:00.000000000
2012-06-04,2012-06-04,AG1212.SHF,2012-12-17,31340.0,10635.0,,6028.0,5981.0,5936.0,5981.0,5952.0,2012-05-10,False,196 days 00:00:00.000000000
2012-06-05,2012-06-05,AG1212.SHF,2012-12-17,22918.0,10681.0,,6021.0,5989.0,5960.0,5969.0,5990.0,2012-05-10,False,195 days 00:00:00.000000000
2012-06-06,2012-06-06,AG1212.SHF,2012-12-17,27096.0,12628.0,,6136.0,6093.0,6030.0,6135.0,6032.0,2012-05-10,False,194 days 00:00:00.000000000
2012-06-07,2012-06-07,AG1212.SHF,2012-12-17,22652.0,11553.0,,6195.0,6160.0,6143.0,6171.0,6168.0,2012-05-10,False,193 days 00:00:00.000000000
2012-06-08,2012-06-08,AG1212.SHF,2012-12-17,27787.0,11843.0,,6060.0,6004.0,5950.0,5982.0,6050.0,2012-05-10,False,192 days 00:00:00.000000000
2012-06-11,2012-06-11,AG1212.SHF,2012-12-17,17286.0,11265.0,,6150.0,6117.0,6080.0,6112.0,6099.0,2012-05-10,False,189 days 00:00:00.000000000
2012-06-12,2012-06-12,AG1212.SHF,2012-12-17,14488.0,11745.0,,6087.0,6055.0,6029.0,6040.0,6034.0,2012-05-10,False,188 days 00:00:00.000000000
2012-06-13,2012-06-13,AG1212.SHF,2012-12-17,11809.0,11949.0,,6131.0,6110.0,6089.0,6129.0,6096.0,2012-05-10,False,187 days 00:00:00.000000000
2012-06-14,2012-06-14,AG1212.SHF,2012-12-17,11821.0,12010.0,,6175.0,6134.0,6110.0,6128.0,6110.0,2012-05-10,False,186 days 00:00:00.000000000
2012-06-15,2012-06-15,AG1212.SHF,2012-12-17,15750.0,10418.0,,6135.0,6112.0,6084.0,6122.0,6104.0,2012-05-10,False,185 days 00:00:00.000000000
2012-06-18,2012-06-18,AG1212.SHF,2012-12-17,17514.0,11841.0,,6144.0,6076.0,6050.0,6055.0,6137.0,2012-05-10,False,182 days 00:00:00.000000000
2012-06-19,2012-06-19,AG1212.SHF,2012-12-17,12416.0,11276.0,,6124.0,6107.0,6092.0,6102.0,6113.0,2012-05-10,False,181 days 00:00:00.000000000
2012-06-20,2012-06-20,AG1212.SHF,2012-12-17,13578.0,11987.0,,6074.0,6054.0,6036.0,6058.0,6045.0,2012-05-10,False,180 days 00:00:00.000000000
2012-06-21,2012-06-21,AG1212.SHF,2012-12-17,13526.0,11756.0,,5974.0,5956.0,5936.0,5952.0,5946.0,2012-05-10,False,179 days 00:00:00.000000000
2012-06-25,2012-06-25,AG1212.SHF,2012-12-17,17380.0,13563.0,,5791.0,5769.0,5736.0,5752.0,5750.0,2012-05-10,False,175 days 00:00:00.000000000
2012-06-26,2012-06-26,AG1212.SHF,2012-12-17,13204.0,13261.0,,5869.0,5848.0,5821.0,5828.0,5860.0,2012-05-10,False,174 days 00:00:00.000000000
2012-06-27,2012-06-27,AG1212.SHF,2012-12-17,12552.0,14331.0,,5811.0,5787.0,5763.0,5783.0,5802.0,2012-05-10,False,173 days 00:00:00.000000000
2012-06-28,2012-06-28,AG1212.SHF,2012-12-17,10241.0,15036.0,,5820.0,5791.0,5776.0,5784.0,5820.0,2012-05-10,False,172 days 00:00:00.000000000
2012-06-29,2012-06-29,AG1212.SHF,2012-12-17,27766.0,15931.0,,5815.0,5754.0,5680.0,5808.0,5703.0,2012-05-10,False,171 days 00:00:00.000000000
2012-07-02,2012-07-02,AG1212.SHF,2012-12-17,16922.0,15033.0,,5890.0,5851.0,5833.0,5845.0,5890.0,2012-05-10,False,168 days 00:00:00.000000000
2012-07-03,2012-07-03,AG1212.SHF,2012-12-17,21215.0,14002.0,,5965.0,5923.0,5860.0,5965.0,5863.0,2012-05-10,False,167 days 00:00:00.000000000
2012-07-04,2012-07-04,AG1212.SHF,2012-12-17,17276.0,13761.0,,6026.0,6000.0,5982.0,5998.0,6000.0,2012-05-10,False,166 days 00:00:00.000000000
2012-07-05,2012-07-05,AG1212.SHF,2012-12-17,14118.0,14105.0,,6044.0,6018.0,5993.0,6041.0,6015.0,2012-05-10,False,165 days 00:00:00.000000000
2012-07-06,2012-07-06,AG1212.SHF,2012-12-17,18800.0,15485.0,,5995.0,5943.0,5913.0,5919.0,5980.0,2012-05-10,False,164 days 00:00:00.000000000
2012-07-09,2012-07-09,AG1212.SHF,2012-12-17,20264.0,16277.0,,5878.0,5852.0,5826.0,5848.0,5847.0,2012-05-10,False,161 days 00:00:00.000000000
2012-07-10,2012-07-10,AG1212.SHF,2012-12-17,13638.0,17628.0,,5876.0,5852.0,5833.0,5835.0,5852.0,2012-05-10,False,160 days 00:00:00.000000000
2012-07-11,2012-07-11,AG1212.SHF,2012-12-17,13366.0,18090.0,,5826.0,5812.0,5796.0,5822.0,5797.0,2012-05-10,False,159 days 00:00:00.000000000
2012-07-12,2012-07-12,AG1212.SHF,2012-12-17,14674.0,19300.0,,5825.0,5788.0,5771.0,5784.0,5822.0,2012-05-10,False,158 days 00:00:00.000000000
