date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2017-12-25,2017-12-25,AP810.CZC,2018-10-19,18327.0,5909.0,3619.0,7190.0,7061.0,7044.0,7044.0,7150.0,2017-12-22,True,298 days 00:00:00.000000000
2017-12-26,2017-12-26,AP810.CZC,2018-10-19,29822.0,4799.0,8303.0,7200.0,7100.0,6984.0,7066.0,7000.0,2017-12-22,False,297 days 00:00:00.000000000
2017-12-27,2017-12-27,AP810.CZC,2018-10-19,7315.0,4027.0,3156.0,7117.0,7097.0,7064.0,7101.0,7071.0,2017-12-22,False,296 days 00:00:00.000000000
2017-12-28,2017-12-28,AP810.CZC,2018-10-19,5880.0,3136.0,2685.0,7212.0,7152.0,7102.0,7189.0,7102.0,2017-12-22,False,295 days 00:00:00.000000000
2017-12-29,2017-12-29,AP810.CZC,2018-10-19,3045.0,2800.0,1620.0,7196.0,7165.0,7137.0,7164.0,7180.0,2017-12-22,False,294 days 00:00:00.000000000
2018-01-02,2018-01-02,AP810.CZC,2018-10-19,1970.0,2295.0,996.0,7218.0,7191.0,7163.0,7187.0,7163.0,2017-12-22,False,290 days 00:00:00.000000000
2018-01-03,2018-01-03,AP810.CZC,2018-10-19,1194.0,2435.0,,7215.0,7176.0,7155.0,7173.0,7185.0,2017-12-22,False,289 days 00:00:00.000000000
2018-01-04,2018-01-04,AP810.CZC,2018-10-19,500.0,2314.0,322.0,7187.0,7175.0,7161.0,7180.0,7162.0,2017-12-22,False,288 days 00:00:00.000000000
2018-01-05,2018-01-05,AP810.CZC,2018-10-19,1032.0,2139.0,578.0,7240.0,7220.0,7175.0,7231.0,7180.0,2017-12-22,False,287 days 00:00:00.000000000
2018-01-08,2018-01-08,AP810.CZC,2018-10-19,813.0,2213.0,522.0,7249.0,7208.0,7172.0,7181.0,7232.0,2017-12-22,False,284 days 00:00:00.000000000
2018-01-09,2018-01-09,AP810.CZC,2018-10-19,1028.0,2347.0,699.0,7195.0,7156.0,7134.0,7151.0,7171.0,2017-12-22,False,283 days 00:00:00.000000000
2018-01-10,2018-01-10,AP810.CZC,2018-10-19,533.0,2262.0,380.0,7167.0,7146.0,7131.0,7133.0,7145.0,2017-12-22,False,282 days 00:00:00.000000000
2018-01-11,2018-01-11,AP810.CZC,2018-10-19,663.0,2308.0,430.0,7154.0,7117.0,7102.0,7108.0,7126.0,2017-12-22,False,281 days 00:00:00.000000000
2018-01-12,2018-01-12,AP810.CZC,2018-10-19,736.0,2208.0,529.0,7118.0,7097.0,7070.0,7102.0,7094.0,2017-12-22,False,280 days 00:00:00.000000000
2018-01-15,2018-01-15,AP810.CZC,2018-10-19,649.0,2282.0,353.0,7098.0,7088.0,7070.0,7090.0,7070.0,2017-12-22,False,277 days 00:00:00.000000000
2018-01-16,2018-01-16,AP810.CZC,2018-10-19,940.0,2423.0,524.0,7108.0,7073.0,7050.0,7060.0,7092.0,2017-12-22,False,276 days 00:00:00.000000000
2018-01-17,2018-01-17,AP810.CZC,2018-10-19,2151.0,2892.0,1354.0,7072.0,7001.0,6970.0,6993.0,7060.0,2017-12-22,False,275 days 00:00:00.000000000
2018-01-18,2018-01-18,AP810.CZC,2018-10-19,1114.0,2864.0,631.0,7026.0,6997.0,6981.0,6982.0,6985.0,2017-12-22,False,274 days 00:00:00.000000000
2018-01-19,2018-01-19,AP810.CZC,2018-10-19,933.0,2885.0,599.0,7015.0,6997.0,6961.0,6998.0,6982.0,2017-12-22,False,273 days 00:00:00.000000000
2018-01-22,2018-01-22,AP810.CZC,2018-10-19,562.0,2771.0,365.0,7040.0,7022.0,7001.0,7022.0,7001.0,2017-12-22,False,270 days 00:00:00.000000000
2018-01-23,2018-01-23,AP810.CZC,2018-10-19,594.0,2673.0,393.0,7044.0,7019.0,6996.0,7021.0,7010.0,2017-12-22,False,269 days 00:00:00.000000000
2018-01-24,2018-01-24,AP810.CZC,2018-10-19,257.0,2660.0,165.0,7018.0,7011.0,7001.0,7005.0,7018.0,2017-12-22,False,268 days 00:00:00.000000000
2018-01-25,2018-01-25,AP810.CZC,2018-10-19,386.0,2563.0,166.0,7019.0,7009.0,6993.0,6995.0,7016.0,2017-12-22,False,267 days 00:00:00.000000000
2018-01-26,2018-01-26,AP810.CZC,2018-10-19,219.0,2514.0,160.0,7022.0,7011.0,6990.0,7008.0,6995.0,2017-12-22,False,266 days 00:00:00.000000000
2018-01-29,2018-01-29,AP810.CZC,2018-10-19,796.0,2614.0,437.0,7018.0,6962.0,6931.0,6947.0,7018.0,2017-12-22,False,263 days 00:00:00.000000000
2018-01-30,2018-01-30,AP810.CZC,2018-10-19,437.0,2640.0,308.0,6962.0,6938.0,6925.0,6925.0,6950.0,2017-12-22,False,262 days 00:00:00.000000000
2018-01-31,2018-01-31,AP810.CZC,2018-10-19,444.0,2685.0,338.0,6950.0,6922.0,6896.0,6917.0,6926.0,2017-12-22,False,261 days 00:00:00.000000000
2018-02-01,2018-02-01,AP810.CZC,2018-10-19,329.0,2670.0,248.0,6939.0,6927.0,6900.0,6905.0,6917.0,2017-12-22,False,260 days 00:00:00.000000000
2018-02-02,2018-02-02,AP810.CZC,2018-10-19,718.0,2743.0,496.0,6939.0,6913.0,6880.0,6895.0,6910.0,2017-12-22,False,259 days 00:00:00.000000000
2018-02-05,2018-02-05,AP810.CZC,2018-10-19,768.0,2886.0,509.0,6892.0,6870.0,6853.0,6853.0,6876.0,2017-12-22,False,256 days 00:00:00.000000000
2018-02-06,2018-02-06,AP810.CZC,2018-10-19,4926.0,3716.0,2640.0,6872.0,6664.0,6535.0,6566.0,6855.0,2017-12-22,False,255 days 00:00:00.000000000
2018-02-07,2018-02-07,AP810.CZC,2018-10-19,9293.0,5985.0,3697.0,6604.0,6423.0,6330.0,6330.0,6588.0,2017-12-22,False,254 days 00:00:00.000000000
2018-02-08,2018-02-08,AP810.CZC,2018-10-19,15764.0,5572.0,6002.0,6283.0,6192.0,6063.0,6215.0,6240.0,2017-12-22,False,253 days 00:00:00.000000000
2018-02-09,2018-02-09,AP810.CZC,2018-10-19,8109.0,6208.0,3640.0,6261.0,6206.0,6166.0,6188.0,6218.0,2017-12-22,False,252 days 00:00:00.000000000
2018-02-12,2018-02-12,AP810.CZC,2018-10-19,15035.0,8087.0,5714.0,6278.0,6151.0,6080.0,6103.0,6198.0,2017-12-22,False,249 days 00:00:00.000000000
2018-02-13,2018-02-13,AP810.CZC,2018-10-19,12468.0,8055.0,4450.0,6130.0,6100.0,6054.0,6073.0,6100.0,2017-12-22,False,248 days 00:00:00.000000000
2018-02-14,2018-02-14,AP810.CZC,2018-10-19,18194.0,9695.0,6772.0,6088.0,5959.0,5890.0,5924.0,6071.0,2017-12-22,False,247 days 00:00:00.000000000
2018-02-22,2018-02-22,AP810.CZC,2018-10-19,13373.0,10384.0,4564.0,5918.0,5891.0,5841.0,5896.0,5900.0,2017-12-22,False,239 days 00:00:00.000000000
2018-02-23,2018-02-23,AP810.CZC,2018-10-19,28090.0,10175.0,6666.0,6186.0,6046.0,5900.0,6186.0,5905.0,2017-12-22,False,238 days 00:00:00.000000000
2018-02-26,2018-02-26,AP810.CZC,2018-10-19,40387.0,9713.0,9121.0,6330.0,6237.0,6170.0,6210.0,6290.0,2017-12-22,False,235 days 00:00:00.000000000
2018-02-27,2018-02-27,AP810.CZC,2018-10-19,40933.0,9023.0,9553.0,6324.0,6219.0,6131.0,6245.0,6210.0,2017-12-22,False,234 days 00:00:00.000000000
2018-02-28,2018-02-28,AP810.CZC,2018-10-19,32697.0,9670.0,8708.0,6310.0,6263.0,6200.0,6257.0,6230.0,2017-12-22,False,233 days 00:00:00.000000000
2018-03-01,2018-03-01,AP810.CZC,2018-10-19,26342.0,9554.0,7501.0,6361.0,6292.0,6230.0,6291.0,6240.0,2017-12-22,False,232 days 00:00:00.000000000
2018-03-02,2018-03-02,AP810.CZC,2018-10-19,41842.0,14315.0,8734.0,6328.0,6210.0,6070.0,6097.0,6282.0,2017-12-22,False,231 days 00:00:00.000000000
2018-03-05,2018-03-05,AP810.CZC,2018-10-19,49765.0,15418.0,10735.0,6121.0,6071.0,6028.0,6105.0,6085.0,2017-12-22,False,228 days 00:00:00.000000000
2018-03-06,2018-03-06,AP810.CZC,2018-10-19,115710.0,13793.0,15454.0,6375.0,6303.0,6097.0,6359.0,6100.0,2017-12-22,False,227 days 00:00:00.000000000
2018-03-07,2018-03-07,AP810.CZC,2018-10-19,78381.0,13095.0,12774.0,6428.0,6366.0,6296.0,6299.0,6365.0,2017-12-22,False,226 days 00:00:00.000000000
