date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2013-10-10,2013-10-10,BU1402.SHF,2014-02-17,102440.0,27004.0,,4522.0,4494.0,4452.0,4502.0,4460.0,2013-10-09,True,130 days 00:00:00.000000000
2013-10-11,2013-10-11,BU1402.SHF,2014-02-17,90050.0,30468.0,,4524.0,4492.0,4456.0,4466.0,4510.0,2013-10-09,False,129 days 00:00:00.000000000
2013-10-14,2013-10-14,BU1402.SHF,2014-02-17,74499.0,33693.0,,4490.0,4456.0,4434.0,4444.0,4476.0,2013-10-09,False,126 days 00:00:00.000000000
2013-10-15,2013-10-15,BU1402.SHF,2014-02-17,100772.0,31850.0,,4494.0,4462.0,4436.0,4442.0,4448.0,2013-10-09,False,125 days 00:00:00.000000000
2013-10-16,2013-10-16,BU1402.SHF,2014-02-17,103187.0,33539.0,,4484.0,4452.0,4428.0,4432.0,4428.0,2013-10-09,False,124 days 00:00:00.000000000
2013-10-17,2013-10-17,BU1402.SHF,2014-02-17,71432.0,36501.0,,4460.0,4434.0,4408.0,4410.0,4448.0,2013-10-09,False,123 days 00:00:00.000000000
2013-10-18,2013-10-18,BU1402.SHF,2014-02-17,44370.0,37582.0,,4430.0,4414.0,4402.0,4404.0,4412.0,2013-10-09,False,122 days 00:00:00.000000000
2013-10-21,2013-10-21,BU1402.SHF,2014-02-17,77481.0,29419.0,,4466.0,4448.0,4406.0,4452.0,4410.0,2013-10-09,False,119 days 00:00:00.000000000
2013-10-22,2013-10-22,BU1402.SHF,2014-02-17,28945.0,28070.0,,4454.0,4436.0,4428.0,4440.0,4444.0,2013-10-09,False,118 days 00:00:00.000000000
2013-10-23,2013-10-23,BU1402.SHF,2014-02-17,42640.0,27038.0,,4444.0,4426.0,4408.0,4436.0,4432.0,2013-10-09,False,117 days 00:00:00.000000000
2013-10-24,2013-10-24,BU1402.SHF,2014-02-17,80555.0,26767.0,,4482.0,4458.0,4426.0,4458.0,4434.0,2013-10-09,False,116 days 00:00:00.000000000
2013-10-25,2013-10-25,BU1402.SHF,2014-02-17,57785.0,20111.0,,4464.0,4420.0,4406.0,4406.0,4460.0,2013-10-09,False,115 days 00:00:00.000000000
2013-10-28,2013-10-28,BU1402.SHF,2014-02-17,177641.0,46966.0,,4412.0,4306.0,4250.0,4268.0,4410.0,2013-10-09,False,112 days 00:00:00.000000000
2013-10-29,2013-10-29,BU1402.SHF,2014-02-17,115867.0,46389.0,,4288.0,4264.0,4248.0,4270.0,4266.0,2013-10-09,False,111 days 00:00:00.000000000
2013-10-30,2013-10-30,BU1402.SHF,2014-02-17,195737.0,30197.0,,4328.0,4278.0,4228.0,4316.0,4270.0,2013-10-09,False,110 days 00:00:00.000000000
2013-10-31,2013-10-31,BU1402.SHF,2014-02-17,64419.0,26599.0,,4324.0,4304.0,4288.0,4292.0,4308.0,2013-10-09,False,109 days 00:00:00.000000000
2013-11-01,2013-11-01,BU1402.SHF,2014-02-17,95736.0,21456.0,,4340.0,4306.0,4256.0,4310.0,4288.0,2013-10-09,False,108 days 00:00:00.000000000
2013-11-04,2013-11-04,BU1402.SHF,2014-02-17,46859.0,21101.0,,4336.0,4314.0,4276.0,4314.0,4280.0,2013-10-09,False,105 days 00:00:00.000000000
2013-11-05,2013-11-05,BU1402.SHF,2014-02-17,62960.0,19873.0,,4332.0,4296.0,4264.0,4308.0,4310.0,2013-10-09,False,104 days 00:00:00.000000000
