date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
1995-04-18,1995-04-18,CU9507.SHF,1995-07-17,2125.0,10935.0,,29320.0,29260.0,29200.0,29250.0,29200.0,1995-04-17,True,90 days 00:00:00.000000000
1995-04-19,1995-04-19,CU9507.SHF,1995-07-17,2170.0,11615.0,,29230.0,29110.0,29080.0,29100.0,29230.0,1995-04-17,False,89 days 00:00:00.000000000
1995-04-20,1995-04-20,CU9507.SHF,1995-07-17,5125.0,12180.0,,28700.0,28520.0,28520.0,28520.0,28520.0,1995-04-17,False,88 days 00:00:00.000000000
1995-04-21,1995-04-21,CU9507.SHF,1995-07-17,8850.0,11085.0,,28550.0,28200.0,28050.0,28200.0,28510.0,1995-04-17,False,87 days 00:00:00.000000000
1995-04-24,1995-04-24,CU9507.SHF,1995-07-17,3865.0,11575.0,,28680.0,28560.0,28400.0,28670.0,28400.0,1995-04-17,False,84 days 00:00:00.000000000
1995-04-25,1995-04-25,CU9507.SHF,1995-07-17,3205.0,11165.0,,28350.0,28280.0,28150.0,28300.0,28200.0,1995-04-17,False,83 days 00:00:00.000000000
1995-04-26,1995-04-26,CU9507.SHF,1995-07-17,1225.0,11235.0,,27730.0,27730.0,27730.0,27730.0,27730.0,1995-04-17,False,82 days 00:00:00.000000000
1995-04-27,1995-04-27,CU9507.SHF,1995-07-17,6210.0,9845.0,,27740.0,27610.0,27530.0,27530.0,27680.0,1995-04-17,False,81 days 00:00:00.000000000
1995-04-28,1995-04-28,CU9507.SHF,1995-07-17,2215.0,9165.0,,27700.0,27660.0,27580.0,27660.0,27600.0,1995-04-17,False,80 days 00:00:00.000000000
1995-05-02,1995-05-02,CU9507.SHF,1995-07-17,2325.0,9560.0,,27860.0,27770.0,27600.0,27860.0,27700.0,1995-04-17,False,76 days 00:00:00.000000000
1995-05-03,1995-05-03,CU9507.SHF,1995-07-17,5080.0,10180.0,,28300.0,28120.0,27800.0,28160.0,27800.0,1995-04-17,False,75 days 00:00:00.000000000
1995-05-04,1995-05-04,CU9507.SHF,1995-07-17,3455.0,10645.0,,28400.0,28290.0,28100.0,28180.0,28360.0,1995-04-17,False,74 days 00:00:00.000000000
1995-05-05,1995-05-05,CU9507.SHF,1995-07-17,2955.0,10635.0,,27940.0,27830.0,27620.0,27920.0,27640.0,1995-04-17,False,73 days 00:00:00.000000000
1995-05-08,1995-05-08,CU9507.SHF,1995-07-17,2060.0,11440.0,,28280.0,28210.0,28100.0,28250.0,28180.0,1995-04-17,False,70 days 00:00:00.000000000
1995-05-09,1995-05-09,CU9507.SHF,1995-07-17,1740.0,11155.0,,28340.0,28260.0,28200.0,28250.0,28300.0,1995-04-17,False,69 days 00:00:00.000000000
1995-05-10,1995-05-10,CU9507.SHF,1995-07-17,,11155.0,,,28260.0,,28250.0,,1995-04-17,False,68 days 00:00:00.000000000
1995-05-11,1995-05-11,CU9507.SHF,1995-07-17,1920.0,11490.0,,28480.0,28290.0,28200.0,28200.0,28460.0,1995-04-17,False,67 days 00:00:00.000000000
1995-05-12,1995-05-12,CU9507.SHF,1995-07-17,3215.0,12085.0,,28300.0,28210.0,28130.0,28220.0,28300.0,1995-04-17,False,66 days 00:00:00.000000000
1995-05-15,1995-05-15,CU9507.SHF,1995-07-17,2185.0,12495.0,,28400.0,28240.0,28110.0,28390.0,28200.0,1995-04-17,False,63 days 00:00:00.000000000
1995-05-16,1995-05-16,CU9507.SHF,1995-07-17,1540.0,12640.0,,28500.0,28400.0,28350.0,28350.0,28450.0,1995-04-17,False,62 days 00:00:00.000000000
1995-05-17,1995-05-17,CU9507.SHF,1995-07-17,995.0,12400.0,,28450.0,28410.0,28380.0,28420.0,28400.0,1995-04-17,False,61 days 00:00:00.000000000
1995-05-18,1995-05-18,CU9507.SHF,1995-07-17,1130.0,12235.0,,28340.0,28270.0,28230.0,28270.0,28320.0,1995-04-17,False,60 days 00:00:00.000000000
1995-05-19,1995-05-19,CU9507.SHF,1995-07-17,1520.0,12315.0,,28240.0,28150.0,28120.0,28180.0,28230.0,1995-04-17,False,59 days 00:00:00.000000000
1995-05-22,1995-05-22,CU9507.SHF,1995-07-17,1310.0,12300.0,,28020.0,27970.0,27920.0,28020.0,28000.0,1995-04-17,False,56 days 00:00:00.000000000
1995-05-23,1995-05-23,CU9507.SHF,1995-07-17,950.0,12155.0,,28200.0,28080.0,27820.0,28160.0,27820.0,1995-04-17,False,55 days 00:00:00.000000000
1995-05-24,1995-05-24,CU9507.SHF,1995-07-17,3505.0,10510.0,,28550.0,28510.0,28450.0,28510.0,28500.0,1995-04-17,False,54 days 00:00:00.000000000
1995-05-25,1995-05-25,CU9507.SHF,1995-07-17,3355.0,9255.0,,28880.0,28750.0,28680.0,28870.0,28680.0,1995-04-17,False,53 days 00:00:00.000000000
1995-05-26,1995-05-26,CU9507.SHF,1995-07-17,2205.0,8820.0,,28900.0,28820.0,28760.0,28850.0,28900.0,1995-04-17,False,52 days 00:00:00.000000000
