date,date,specific_contract,last_trade_date,HIGH,OI,DEALNUM,VOLUME,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2018-12-11,2018-12-11,EG1906.DCE,2019-06-25,5680.0,41561.0,17226.0,240977.0,5569.0,5497.0,5541.0,5618.0,2018-12-10,True,196 days 00:00:00.000000000
2018-12-12,2018-12-12,EG1906.DCE,2019-06-25,5598.0,44256.0,16032.0,150993.0,5551.0,5513.0,5544.0,5580.0,2018-12-10,False,195 days 00:00:00.000000000
2018-12-13,2018-12-13,EG1906.DCE,2019-06-25,5646.0,44994.0,17140.0,178462.0,5560.0,5475.0,5591.0,5519.0,2018-12-10,False,194 days 00:00:00.000000000
2018-12-14,2018-12-14,EG1906.DCE,2019-06-25,5666.0,46865.0,12720.0,93932.0,5620.0,5583.0,5606.0,5647.0,2018-12-10,False,193 days 00:00:00.000000000
2018-12-17,2018-12-17,EG1906.DCE,2019-06-25,5637.0,49596.0,10757.0,61887.0,5615.0,5566.0,5618.0,5592.0,2018-12-10,False,190 days 00:00:00.000000000
2018-12-18,2018-12-18,EG1906.DCE,2019-06-25,5628.0,47831.0,9209.0,61376.0,5602.0,5570.0,5627.0,5588.0,2018-12-10,False,189 days 00:00:00.000000000
2018-12-19,2018-12-19,EG1906.DCE,2019-06-25,5635.0,44420.0,11347.0,73894.0,5590.0,5551.0,5620.0,5579.0,2018-12-10,False,188 days 00:00:00.000000000
2018-12-20,2018-12-20,EG1906.DCE,2019-06-25,5635.0,45048.0,8521.0,49598.0,5599.0,5564.0,5576.0,5628.0,2018-12-10,False,187 days 00:00:00.000000000
2018-12-21,2018-12-21,EG1906.DCE,2019-06-25,5576.0,55850.0,18466.0,275542.0,5410.0,5320.0,5418.0,5561.0,2018-12-10,False,186 days 00:00:00.000000000
2018-12-24,2018-12-24,EG1906.DCE,2019-06-25,5385.0,61480.0,14949.0,126470.0,5344.0,5306.0,5332.0,5380.0,2018-12-10,False,183 days 00:00:00.000000000
2018-12-25,2018-12-25,EG1906.DCE,2019-06-25,5231.0,60073.0,16569.0,158313.0,5174.0,5128.0,5174.0,5200.0,2018-12-10,False,182 days 00:00:00.000000000
2018-12-26,2018-12-26,EG1906.DCE,2019-06-25,5229.0,60505.0,14921.0,136210.0,5169.0,5128.0,5152.0,5200.0,2018-12-10,False,181 days 00:00:00.000000000
2018-12-27,2018-12-27,EG1906.DCE,2019-06-25,5377.0,71043.0,15236.0,157777.0,5215.0,5135.0,5135.0,5301.0,2018-12-10,False,180 days 00:00:00.000000000
2018-12-28,2018-12-28,EG1906.DCE,2019-06-25,5166.0,62970.0,15849.0,165545.0,5122.0,5088.0,5134.0,5141.0,2018-12-10,False,179 days 00:00:00.000000000
2019-01-02,2019-01-02,EG1906.DCE,2019-06-25,5134.0,72217.0,13486.0,122708.0,5084.0,5046.0,5051.0,5105.0,2018-12-10,False,174 days 00:00:00.000000000
2019-01-03,2019-01-03,EG1906.DCE,2019-06-25,5152.0,73291.0,14410.0,133101.0,5111.0,5068.0,5127.0,5093.0,2018-12-10,False,173 days 00:00:00.000000000
2019-01-04,2019-01-04,EG1906.DCE,2019-06-25,5181.0,72764.0,15222.0,141912.0,5137.0,5094.0,5152.0,5150.0,2018-12-10,False,172 days 00:00:00.000000000
2019-01-07,2019-01-07,EG1906.DCE,2019-06-25,5200.0,83520.0,12380.0,109827.0,5155.0,5125.0,5133.0,5167.0,2018-12-10,False,169 days 00:00:00.000000000
2019-01-08,2019-01-08,EG1906.DCE,2019-06-25,5168.0,94088.0,16130.0,164400.0,5100.0,5066.0,5080.0,5140.0,2018-12-10,False,168 days 00:00:00.000000000
2019-01-09,2019-01-09,EG1906.DCE,2019-06-25,5187.0,96407.0,16400.0,176816.0,5153.0,5111.0,5122.0,5136.0,2018-12-10,False,167 days 00:00:00.000000000
2019-01-10,2019-01-10,EG1906.DCE,2019-06-25,5168.0,106957.0,14614.0,146054.0,5137.0,5087.0,5092.0,5162.0,2018-12-10,False,166 days 00:00:00.000000000
2019-01-11,2019-01-11,EG1906.DCE,2019-06-25,5135.0,112648.0,13838.0,153952.0,5100.0,5067.0,5117.0,5080.0,2018-12-10,False,165 days 00:00:00.000000000
2019-01-14,2019-01-14,EG1906.DCE,2019-06-25,5177.0,113378.0,14761.0,164698.0,5135.0,5096.0,5143.0,5125.0,2018-12-10,False,162 days 00:00:00.000000000
2019-01-15,2019-01-15,EG1906.DCE,2019-06-25,5236.0,119263.0,17822.0,245201.0,5188.0,5129.0,5221.0,5141.0,2018-12-10,False,161 days 00:00:00.000000000
2019-01-16,2019-01-16,EG1906.DCE,2019-06-25,5243.0,120230.0,13647.0,138063.0,5216.0,5193.0,5226.0,5225.0,2018-12-10,False,160 days 00:00:00.000000000
2019-01-17,2019-01-17,EG1906.DCE,2019-06-25,5225.0,126512.0,12486.0,125749.0,5182.0,5155.0,5159.0,5210.0,2018-12-10,False,159 days 00:00:00.000000000
2019-01-18,2019-01-18,EG1906.DCE,2019-06-25,5176.0,146094.0,16870.0,211768.0,5151.0,5117.0,5156.0,5139.0,2018-12-10,False,158 days 00:00:00.000000000
2019-01-21,2019-01-21,EG1906.DCE,2019-06-25,5323.0,154876.0,20803.0,356396.0,5262.0,5188.0,5273.0,5219.0,2018-12-10,False,155 days 00:00:00.000000000
2019-01-22,2019-01-22,EG1906.DCE,2019-06-25,5457.0,151034.0,20258.0,374422.0,5340.0,5260.0,5277.0,5273.0,2018-12-10,False,154 days 00:00:00.000000000
2019-01-23,2019-01-23,EG1906.DCE,2019-06-25,5280.0,153084.0,15131.0,177443.0,5248.0,5222.0,5254.0,5240.0,2018-12-10,False,153 days 00:00:00.000000000
2019-01-24,2019-01-24,EG1906.DCE,2019-06-25,5273.0,153545.0,14808.0,164284.0,5241.0,5206.0,5245.0,5239.0,2018-12-10,False,152 days 00:00:00.000000000
2019-01-25,2019-01-25,EG1906.DCE,2019-06-25,5323.0,150548.0,17042.0,209980.0,5287.0,5232.0,5234.0,5275.0,2018-12-10,False,151 days 00:00:00.000000000
2019-01-28,2019-01-28,EG1906.DCE,2019-06-25,5264.0,149405.0,15526.0,167582.0,5220.0,5175.0,5180.0,5254.0,2018-12-10,False,148 days 00:00:00.000000000
2019-01-29,2019-01-29,EG1906.DCE,2019-06-25,5198.0,144519.0,12159.0,125369.0,5168.0,5136.0,5157.0,5150.0,2018-12-10,False,147 days 00:00:00.000000000
2019-01-30,2019-01-30,EG1906.DCE,2019-06-25,5239.0,131228.0,12287.0,131327.0,5201.0,5171.0,5207.0,5181.0,2018-12-10,False,146 days 00:00:00.000000000
2019-01-31,2019-01-31,EG1906.DCE,2019-06-25,5289.0,123736.0,11836.0,109946.0,5266.0,5229.0,5279.0,5230.0,2018-12-10,False,145 days 00:00:00.000000000
2019-02-01,2019-02-01,EG1906.DCE,2019-06-25,5330.0,118591.0,10748.0,88412.0,5295.0,5265.0,5322.0,5290.0,2018-12-10,False,144 days 00:00:00.000000000
2019-02-11,2019-02-11,EG1906.DCE,2019-06-25,5299.0,129587.0,10362.0,84944.0,5248.0,5216.0,5223.0,5295.0,2018-12-10,False,134 days 00:00:00.000000000
2019-02-12,2019-02-12,EG1906.DCE,2019-06-25,5274.0,140410.0,11551.0,100054.0,5246.0,5228.0,5234.0,5245.0,2018-12-10,False,133 days 00:00:00.000000000
2019-02-13,2019-02-13,EG1906.DCE,2019-06-25,5225.0,153926.0,12685.0,131320.0,5184.0,5151.0,5162.0,5200.0,2018-12-10,False,132 days 00:00:00.000000000
2019-02-14,2019-02-14,EG1906.DCE,2019-06-25,5195.0,162182.0,11547.0,97620.0,5164.0,5135.0,5170.0,5173.0,2018-12-10,False,131 days 00:00:00.000000000
2019-02-15,2019-02-15,EG1906.DCE,2019-06-25,5180.0,160877.0,11833.0,128418.0,5130.0,5092.0,5131.0,5159.0,2018-12-10,False,130 days 00:00:00.000000000
2019-02-18,2019-02-18,EG1906.DCE,2019-06-25,5184.0,184037.0,16173.0,202257.0,5096.0,5032.0,5039.0,5170.0,2018-12-10,False,127 days 00:00:00.000000000
2019-02-19,2019-02-19,EG1906.DCE,2019-06-25,5074.0,181371.0,13413.0,138620.0,5041.0,5007.0,5064.0,5046.0,2018-12-10,False,126 days 00:00:00.000000000
2019-02-20,2019-02-20,EG1906.DCE,2019-06-25,5082.0,181821.0,11755.0,91249.0,5064.0,5044.0,5054.0,5069.0,2018-12-10,False,125 days 00:00:00.000000000
2019-02-21,2019-02-21,EG1906.DCE,2019-06-25,5148.0,173277.0,13757.0,151705.0,5115.0,5084.0,5123.0,5104.0,2018-12-10,False,124 days 00:00:00.000000000
2019-02-22,2019-02-22,EG1906.DCE,2019-06-25,5169.0,170572.0,12045.0,96632.0,5145.0,5116.0,5142.0,5123.0,2018-12-10,False,123 days 00:00:00.000000000
2019-02-25,2019-02-25,EG1906.DCE,2019-06-25,5187.0,170384.0,10609.0,86808.0,5152.0,5120.0,5135.0,5157.0,2018-12-10,False,120 days 00:00:00.000000000
2019-02-26,2019-02-26,EG1906.DCE,2019-06-25,5168.0,167848.0,10590.0,88961.0,5144.0,5084.0,5158.0,5098.0,2018-12-10,False,119 days 00:00:00.000000000
2019-02-27,2019-02-27,EG1906.DCE,2019-06-25,5183.0,167170.0,8865.0,59144.0,5164.0,5145.0,5153.0,5170.0,2018-12-10,False,118 days 00:00:00.000000000
2019-02-28,2019-02-28,EG1906.DCE,2019-06-25,5216.0,168439.0,11744.0,110555.0,5184.0,5154.0,5175.0,5170.0,2018-12-10,False,117 days 00:00:00.000000000
2019-03-01,2019-03-01,EG1906.DCE,2019-06-25,5298.0,162982.0,13502.0,123641.0,5238.0,5186.0,5290.0,5195.0,2018-12-10,False,116 days 00:00:00.000000000
2019-03-04,2019-03-04,EG1906.DCE,2019-06-25,5421.0,162141.0,14860.0,189576.0,5350.0,5265.0,5351.0,5285.0,2018-12-10,False,113 days 00:00:00.000000000
2019-03-05,2019-03-05,EG1906.DCE,2019-06-25,5350.0,159666.0,9900.0,85112.0,5327.0,5304.0,5333.0,5320.0,2018-12-10,False,112 days 00:00:00.000000000
2019-03-06,2019-03-06,EG1906.DCE,2019-06-25,5438.0,166543.0,13753.0,150972.0,5387.0,5312.0,5432.0,5325.0,2018-12-10,False,111 days 00:00:00.000000000
2019-03-07,2019-03-07,EG1906.DCE,2019-06-25,5428.0,159133.0,13236.0,145785.0,5363.0,5303.0,5336.0,5412.0,2018-12-10,False,110 days 00:00:00.000000000
2019-03-08,2019-03-08,EG1906.DCE,2019-06-25,5320.0,157306.0,11589.0,120323.0,5284.0,5254.0,5298.0,5281.0,2018-12-10,False,109 days 00:00:00.000000000
