date,date,specific_contract,last_trade_date,HIGH,OI,DEALNUM,VOLUME,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2012-12-04,2012-12-04,FG1305.CZC,2013-05-15,1326.0,84331.0,,686543.0,1311.0,1296.0,1311.0,1309.0,2012-12-03,True,162 days 00:00:00.000000000
2012-12-05,2012-12-05,FG1305.CZC,2013-05-15,1345.0,74045.0,,763270.0,1326.0,1311.0,1331.0,1313.0,2012-12-03,False,161 days 00:00:00.000000000
2012-12-06,2012-12-06,FG1305.CZC,2013-05-15,1338.0,83389.0,,502604.0,1330.0,1320.0,1325.0,1333.0,2012-12-03,False,160 days 00:00:00.000000000
2012-12-07,2012-12-07,FG1305.CZC,2013-05-15,1340.0,68392.0,,451842.0,1329.0,1319.0,1331.0,1322.0,2012-12-03,False,159 days 00:00:00.000000000
2012-12-10,2012-12-10,FG1305.CZC,2013-05-15,1344.0,74373.0,,315724.0,1337.0,1331.0,1336.0,1331.0,2012-12-03,False,156 days 00:00:00.000000000
2012-12-11,2012-12-11,FG1305.CZC,2013-05-15,1337.0,152774.0,,812193.0,1312.0,1286.0,1293.0,1335.0,2012-12-03,False,155 days 00:00:00.000000000
2012-12-12,2012-12-12,FG1305.CZC,2013-05-15,1306.0,111751.0,,877581.0,1295.0,1283.0,1299.0,1289.0,2012-12-03,False,154 days 00:00:00.000000000
2012-12-13,2012-12-13,FG1305.CZC,2013-05-15,1312.0,153122.0,,993428.0,1296.0,1282.0,1289.0,1297.0,2012-12-03,False,153 days 00:00:00.000000000
2012-12-14,2012-12-14,FG1305.CZC,2013-05-15,1315.0,119633.0,,963181.0,1297.0,1283.0,1304.0,1287.0,2012-12-03,False,152 days 00:00:00.000000000
2012-12-17,2012-12-17,FG1305.CZC,2013-05-15,1335.0,115075.0,,998573.0,1323.0,1307.0,1327.0,1307.0,2012-12-03,False,149 days 00:00:00.000000000
2012-12-18,2012-12-18,FG1305.CZC,2013-05-15,1339.0,119625.0,,944287.0,1325.0,1316.0,1325.0,1328.0,2012-12-03,False,148 days 00:00:00.000000000
2012-12-19,2012-12-19,FG1305.CZC,2013-05-15,1353.0,209615.0,,1387192.0,1339.0,1318.0,1351.0,1324.0,2012-12-03,False,147 days 00:00:00.000000000
2012-12-20,2012-12-20,FG1305.CZC,2013-05-15,1356.0,195613.0,,1296970.0,1349.0,1342.0,1350.0,1348.0,2012-12-03,False,146 days 00:00:00.000000000
2012-12-21,2012-12-21,FG1305.CZC,2013-05-15,1354.0,139289.0,,980633.0,1339.0,1330.0,1336.0,1345.0,2012-12-03,False,145 days 00:00:00.000000000
2012-12-24,2012-12-24,FG1305.CZC,2013-05-15,1349.0,139517.0,,617022.0,1343.0,1334.0,1344.0,1336.0,2012-12-03,False,142 days 00:00:00.000000000
2012-12-25,2012-12-25,FG1305.CZC,2013-05-15,1363.0,139409.0,,780518.0,1351.0,1339.0,1352.0,1344.0,2012-12-03,False,141 days 00:00:00.000000000
2012-12-26,2012-12-26,FG1305.CZC,2013-05-15,1354.0,126373.0,,497942.0,1349.0,1344.0,1352.0,1351.0,2012-12-03,False,140 days 00:00:00.000000000
2012-12-27,2012-12-27,FG1305.CZC,2013-05-15,1367.0,112036.0,,481753.0,1356.0,1349.0,1352.0,1358.0,2012-12-03,False,139 days 00:00:00.000000000
2012-12-28,2012-12-28,FG1305.CZC,2013-05-15,1364.0,94687.0,,587663.0,1353.0,1343.0,1351.0,1353.0,2012-12-03,False,138 days 00:00:00.000000000
2012-12-31,2012-12-31,FG1305.CZC,2013-05-15,1365.0,68001.0,,250056.0,1357.0,1349.0,1363.0,1352.0,2012-12-03,False,135 days 00:00:00.000000000
2013-01-04,2013-01-04,FG1305.CZC,2013-05-15,1425.0,120727.0,,500874.0,1406.0,1367.0,1425.0,1371.0,2012-12-03,False,131 days 00:00:00.000000000
2013-01-07,2013-01-07,FG1305.CZC,2013-05-15,1468.0,108879.0,,779276.0,1448.0,1433.0,1445.0,1440.0,2012-12-03,False,128 days 00:00:00.000000000
2013-01-08,2013-01-08,FG1305.CZC,2013-05-15,1470.0,153245.0,,1380700.0,1450.0,1427.0,1457.0,1438.0,2012-12-03,False,127 days 00:00:00.000000000
2013-01-09,2013-01-09,FG1305.CZC,2013-05-15,1476.0,222181.0,,1050156.0,1461.0,1452.0,1476.0,1459.0,2012-12-03,False,126 days 00:00:00.000000000
2013-01-10,2013-01-10,FG1305.CZC,2013-05-15,1484.0,188406.0,,1155676.0,1468.0,1456.0,1463.0,1479.0,2012-12-03,False,125 days 00:00:00.000000000
2013-01-11,2013-01-11,FG1305.CZC,2013-05-15,1465.0,155902.0,,958135.0,1444.0,1428.0,1439.0,1462.0,2012-12-03,False,124 days 00:00:00.000000000
2013-01-14,2013-01-14,FG1305.CZC,2013-05-15,1502.0,254038.0,,939385.0,1468.0,1438.0,1502.0,1438.0,2012-12-03,False,121 days 00:00:00.000000000
