date,HIGH,OI,specific_contract,DEALNUM,VOLUME,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2015-04-16,3288.2,28848.0,IH1505.CFE,,144423.0,3223.6,3088.8,2015-04-16,3283.8,3100.0,2015-05-15,2015-04-16,True,29 days 00:00:00.000000000
2015-04-17,3341.6,37853.0,IH1505.CFE,,271224.0,3280.8,3238.0,2015-04-17,3254.0,3303.6,2015-05-15,2015-04-16,False,28 days 00:00:00.000000000
2015-04-20,3315.0,37975.0,IH1505.CFE,,267213.0,3176.8,3143.6,2015-04-20,3146.8,3258.0,2015-05-15,2015-04-16,False,25 days 00:00:00.000000000
2015-04-21,3242.2,37771.0,IH1505.CFE,,239311.0,3211.2,3153.0,2015-04-21,3234.0,3176.8,2015-05-15,2015-04-16,False,24 days 00:00:00.000000000
2015-04-22,3333.2,42623.0,IH1505.CFE,,239676.0,3309.6,3229.8,2015-04-22,3308.0,3250.0,2015-05-15,2015-04-16,False,23 days 00:00:00.000000000
2015-04-23,3348.2,39573.0,IH1505.CFE,,246929.0,3273.2,3253.4,2015-04-23,3267.8,3318.6,2015-05-15,2015-04-16,False,22 days 00:00:00.000000000
2015-04-24,3267.8,36034.0,IH1505.CFE,,224297.0,3236.6,3170.0,2015-04-24,3233.0,3248.8,2015-05-15,2015-04-16,False,21 days 00:00:00.000000000
2015-04-27,3358.0,45698.0,IH1505.CFE,,259172.0,3326.4,3257.8,2015-04-27,3357.6,3260.0,2015-05-15,2015-04-16,False,18 days 00:00:00.000000000
2015-04-28,3376.0,36374.0,IH1505.CFE,,329692.0,3287.0,3265.0,2015-04-28,3286.8,3339.0,2015-05-15,2015-04-16,False,17 days 00:00:00.000000000
2015-04-29,3325.6,39968.0,IH1505.CFE,,242567.0,3301.6,3261.0,2015-04-29,3295.2,3282.0,2015-05-15,2015-04-16,False,16 days 00:00:00.000000000
2015-04-30,3331.2,41181.0,IH1505.CFE,,202408.0,3275.4,3247.2,2015-04-30,3269.4,3315.2,2015-05-15,2015-04-16,False,15 days 00:00:00.000000000
2015-05-04,3301.8,40335.0,IH1505.CFE,,189061.0,3269.4,3225.8,2015-05-04,3273.2,3295.8,2015-05-15,2015-04-16,False,11 days 00:00:00.000000000
2015-05-05,3281.6,38274.0,IH1505.CFE,,217674.0,3165.8,3141.2,2015-05-05,3163.0,3279.6,2015-05-15,2015-04-16,False,10 days 00:00:00.000000000
2015-05-06,3257.4,36206.0,IH1505.CFE,,261933.0,3149.0,3116.0,2015-05-06,3153.0,3171.2,2015-05-15,2015-04-16,False,9 days 00:00:00.000000000
2015-05-07,3170.0,40498.0,IH1505.CFE,,234619.0,3128.4,3103.0,2015-05-07,3111.2,3159.6,2015-05-15,2015-04-16,False,8 days 00:00:00.000000000
2015-05-08,3149.0,37887.0,IH1505.CFE,,215483.0,3099.2,3051.2,2015-05-08,3099.8,3131.0,2015-05-15,2015-04-16,False,7 days 00:00:00.000000000
2015-05-11,3170.4,30050.0,IH1505.CFE,,201465.0,3160.8,3078.0,2015-05-11,3160.0,3112.0,2015-05-15,2015-04-16,False,4 days 00:00:00.000000000
2015-05-12,3194.6,23176.0,IH1505.CFE,,189729.0,3173.4,3138.0,2015-05-12,3175.0,3151.0,2015-05-15,2015-04-16,False,3 days 00:00:00.000000000
2015-05-13,3204.8,17535.0,IH1505.CFE,,165986.0,3129.4,3112.4,2015-05-13,3125.4,3200.0,2015-05-15,2015-04-16,False,2 days 00:00:00.000000000
2015-05-14,3158.4,10750.0,IH1505.CFE,,106178.0,3125.2,3108.0,2015-05-14,3129.4,3131.2,2015-05-15,2015-04-16,False,1 days 00:00:00.000000000
2015-05-15,3140.0,0.0,IH1505.CFE,,42093.0,3072.81,3054.8,2015-05-15,3073.2,3140.0,2015-05-15,2015-04-16,False,0 days 00:00:00.000000000
